,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000024,DD,"DUPONT DE NEMOURS, INC.",2018-09-30,10-K,2019-02-11,8548.0,-12635000000.0,497.0,20123000000.0,,784143000.0,94292.0,187855.0,91955.0
1970-01-01 00:00:00.000000028,DD,"DUPONT DE NEMOURS, INC.",2018-12-31,10-K,2021-02-12,8548.0,-12635000000.0,3845.0,22594000000.0,,784143000.0,94292.0,187855.0,91955.0
1970-01-01 00:00:00.000000031,DD,"DUPONT DE NEMOURS, INC.",2019-09-30,10-K,2020-02-14,1540.0,-15618000000.0,372.0,5426000000.0,15436000000.0,738565000.0,40987.0,69349.0,27793.0
1970-01-01 00:00:00.000000034,DD,"DUPONT DE NEMOURS, INC.",2019-12-31,10-K,2022-02-11,1540.0,-15618000000.0,498.0,5204000000.0,15436000000.0,738565000.0,40987.0,69349.0,27793.0
1970-01-01 00:00:00.000000037,DD,"DUPONT DE NEMOURS, INC.",2020-12-31,10-K,2023-02-15,2544.0,15612000000.0,-2951.0,5252000000.0,11128000000.0,734204000.0,38504.0,70903.0,31834.0
