,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000008,BBY,"BEST BUY CO., INC.",2009-11-28,10-K,2011-04-25,1826.0,1139000000.0,227.0,376.0,,418815000.0,6320.0,18302.0
1970-01-01 00:00:00.000000011,BBY,"BEST BUY CO., INC.",2010-02-27,10-K,2012-05-01,1826.0,1139000000.0,1317.0,2368.0,,418815000.0,6320.0,18302.0
1970-01-01 00:00:00.000000018,BBY,"BEST BUY CO., INC.",2011-01-31,10-K,2014-03-28,1103.0,1152000000.0,-33.0,-1.0,249000000.0,392590000.0,6602.0,17849.0
1970-01-01 00:00:00.000000021,BBY,"BEST BUY CO., INC.",2011-02-26,10-K,2014-03-28,1103.0,1152000000.0,651.0,1137.0,,392590000.0,6602.0,17849.0
1970-01-01 00:00:00.000000026,BBY,"BEST BUY CO., INC.",2012-01-31,10-K,2014-03-28,1199.0,1728000000.0,-14.0,-14.0,189000000.0,341400000.0,3745.0,16005.0
1970-01-01 00:00:00.000000028,BBY,"BEST BUY CO., INC.",2012-03-03,10-K,2014-03-28,1199.0,1728000000.0,-1231.0,2200.0,,341400000.0,3745.0,16005.0
1970-01-01 00:00:00.000000035,BBY,"BEST BUY CO., INC.",2013-02-02,10-K,2016-03-23,1826.0,1700000000.0,-441.0,90.0,,338276000.0,3061.0,16787.0
1970-01-01 00:00:00.000000041,BBY,"BEST BUY CO., INC.",2013-11-02,10-K,2014-03-28,2678.0,1657000000.0,54.0,90.0,,351468000.0,3986.0,13990.0
1970-01-01 00:00:00.000000045,BBY,"BEST BUY CO., INC.",2014-02-01,10-K,2016-03-23,2678.0,1657000000.0,532.0,1144.0,,351468000.0,3986.0,13990.0
1970-01-01 00:00:00.000000051,BBY,"BEST BUY CO., INC.",2014-11-01,10-K,2015-03-31,2432.0,1502000000.0,107.0,205.0,,323779000.0,4995.0,15245.0
1970-01-01 00:00:00.000000055,BBY,"BEST BUY CO., INC.",2015-01-31,10-K,2017-03-24,2432.0,1502000000.0,1233.0,1450.0,,323779000.0,4995.0,15245.0
1970-01-01 00:00:00.000000064,BBY,"BEST BUY CO., INC.",2016-01-30,10-K,2018-04-02,1976.0,1525000000.0,897.0,1375.0,,323779000.0,4378.0,13519.0
1970-01-01 00:00:00.000000073,BBY,"BEST BUY CO., INC.",2017-01-28,10-K,2019-03-28,2240.0,1163000000.0,1228.0,1854.0,39403000000.0,311108000.0,,13856.0
1970-01-01 00:00:00.000000087,BBY,"BEST BUY CO., INC.",2018-11-03,10-K,2019-03-28,1980.0,1388000000.0,277.0,322.0,42879000000.0,265703000.0,3306.0,12901.0
1970-01-01 00:00:00.000000091,BBY,"BEST BUY CO., INC.",2019-02-02,10-K,2021-03-19,1980.0,1388000000.0,1464.0,1900.0,42879000000.0,265703000.0,3306.0,12901.0
1970-01-01 00:00:00.000000094,BBY,"BEST BUY CO., INC.",2019-11-02,10-K,2020-03-23,2229.0,1271000000.0,293.0,395.0,43638000000.0,256000000.0,3479.0,15591.0
1970-01-01 00:00:00.000000097,BBY,"BEST BUY CO., INC.",2020-02-01,10-K,2022-03-18,2229.0,1271000000.0,1541.0,2009.0,43638000000.0,256000000.0,3479.0,15591.0
1970-01-01 00:00:00.000000100,BBY,"BEST BUY CO., INC.",2021-01-30,10-K,2023-03-17,5494.0,1267000000.0,1798.0,2391.0,47262000000.0,256900000.0,4587.0,19067.0
1970-01-01 00:00:00.000000103,BBY,"BEST BUY CO., INC.",2022-01-29,10-K,2024-03-15,2936.0,1229000000.0,2454.0,3039.0,51761000000.0,227400000.0,3020.0,17504.0
1970-01-01 00:00:00.000000106,BBY,"BEST BUY CO., INC.",2023-01-28,10-K,2025-03-19,1874.0,1176000000.0,1419.0,1795.0,46298000000.0,218100000.0,2795.0,15803.0
1970-01-01 00:00:00.000000108,BBY,"BEST BUY CO., INC.",2024-02-03,10-K,2025-03-19,1447.0,1165000000.0,1241.0,1574.0,43452000000.0,215400000.0,3053.0,14967.0
1970-01-01 00:00:00.000000109,BBY,"BEST BUY CO., INC.",2025-02-01,10-K,2025-03-19,1578.0,1154000000.0,927.0,1262.0,41528000000.0,211400000.0,2808.0,14782.0
