,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,BIIB,Biogen Inc.,2008-12-31,10-K,2012-02-03,622.385,,783.167,1213.611,4097507000.0,288046000.0,5806.083,8478.991,2645.039
1970-01-01 00:00:00.000000012,BIIB,Biogen Inc.,2009-12-31,10-K,2013-02-05,581.889,,970.132,1295.427,4377348000.0,274855.0,6221.53,8551.854,2289.972
1970-01-01 00:00:00.000000022,BIIB,Biogen Inc.,2010-12-31,10-K,2014-02-06,759.598,,1005.273,1248.889,4716423000.0,240538000.0,5396.506,8092.493,2643.05
1970-01-01 00:00:00.000000032,BIIB,Biogen Inc.,2011-12-31,10-K,2015-02-04,514.542,,1234.428,1724.691,5048634000.0,242115000.0,6425.499,9049.604,2622.617
1970-01-01 00:00:00.000000042,BIIB,Biogen Inc.,2012-12-31,10-K,2016-02-03,570.7,687396000.0,1380.033,1855.849,5516461000.0,236582000.0,6961.523,10130.118,3166.323
1970-01-01 00:00:00.000000052,BIIB,Biogen Inc.,2013-12-31,10-K,2017-02-02,602.6,592433000.0,1862.3,2515.5,6932200000.0,236332000.0,8620.2,11863.335,3242.497
1970-01-01 00:00:00.000000062,BIIB,Biogen Inc.,2014-12-31,10-K,2018-02-01,1204.9,580300000.0,2934.8,3972.4,9703300000.0,234600000.0,10809.0,14314.7,3500.7
1970-01-01 00:00:00.000000072,BIIB,Biogen Inc.,2015-12-31,10-K,2019-02-06,1308.0,6521500000.0,3547.0,4891.0,10763800000.0,218600000.0,9372.8,19504.8,10129.9
1970-01-01 00:00:00.000000082,BIIB,Biogen Inc.,2016-12-31,10-K,2020-02-06,2326.5,6512700000.0,3702.8,5151.7,11448800000.0,215900000.0,12140.1,22876.8,10748.2
1970-01-01 00:00:00.000000087,BIIB,Biogen Inc.,2017-09-30,10-K,2018-02-01,1573.8,5935000000.0,1226.1,5345.8,3077800000.0,211500000.0,12612.8,23652.6,11054.5
1970-01-01 00:00:00.000000091,BIIB,Biogen Inc.,2017-12-31,10-K,2020-02-06,1573.8,5935000000.0,2539.1,5345.8,12273900000.0,211500000.0,12612.8,23652.6,11054.5
1970-01-01 00:00:00.000000096,BIIB,Biogen Inc.,2018-09-30,10-K,2019-02-06,1224.6,5936500000.0,1444.4,5888.6,3439000000.0,197200000.0,13039.6,25288.9,12257.3
1970-01-01 00:00:00.000000100,BIIB,Biogen Inc.,2018-12-31,10-K,2021-02-03,1224.6,5936500000.0,4430.7,5888.6,13452900000.0,197200000.0,13039.6,25288.9,12257.3
1970-01-01 00:00:00.000000105,BIIB,Biogen Inc.,2019-09-30,10-K,2020-02-06,,4459000000.0,1545.9,7042.6,3600100000.0,174200000.0,13343.2,27234.3,13895.2
1970-01-01 00:00:00.000000109,BIIB,Biogen Inc.,2019-12-31,10-K,2022-02-03,2913.7,4459000000.0,5888.5,7042.6,14377900000.0,174200000.0,13343.2,27234.3,13895.2
1970-01-01 00:00:00.000000112,BIIB,Biogen Inc.,2020-09-30,10-K,2021-02-03,,7426200000.0,701.5,4550.1,3376100000.0,152400000.0,10700.3,24618.9,13932.8
1970-01-01 00:00:00.000000115,BIIB,Biogen Inc.,2020-12-31,10-K,2023-02-15,,7426200000.0,4000.6,4550.1,13444600000.0,152400000.0,10700.3,24618.9,13932.8
1970-01-01 00:00:00.000000118,BIIB,Biogen Inc.,2021-12-31,10-K,2024-02-14,,6274000000.0,1556.1,2840.7,10981700000.0,147000000.0,10896.2,23877.3,12917.6
