,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000000,SHOP,Shopify Inc.,2012-12-31,20-F,2016-02-17,17.655,-4.837,-4.269,,39310446.0,17.969,95.193
1970-01-01 00:00:00.000000001,SHOP,Shopify Inc.,2013-12-31,20-F,2016-02-17,83.529,-4.837,-4.269,,39310446.0,85.381,95.193
1970-01-01 00:00:00.000000002,SHOP,Shopify Inc.,2014-12-31,20-F,2016-02-17,41.953,-22.311,-21.615,,39310446.0,67.732,95.193
1970-01-01 00:00:00.000000003,SHOP,Shopify Inc.,2015-12-31,20-F,2016-02-17,110.07,-18.79,-17.756,,0.0,195.317,243.712
1970-01-01 00:00:00.000000005,SHOP,Shopify Inc.,2022-12-31,10-K,2025-02-11,1413.0,-3460.0,-822.0,5600000000.0,,8239.0,11299.0
1970-01-01 00:00:00.000000008,SHOP,Shopify Inc.,2023-12-31,10-K,2026-02-11,1413.0,132.0,-1418.0,7060000000.0,,9066.0,11299.0
1970-01-01 00:00:00.000000010,SHOP,Shopify Inc.,2024-12-31,10-K,2026-02-11,1498.0,2019.0,1075.0,8880000000.0,,11558.0,13924.0
1970-01-01 00:00:00.000000011,SHOP,Shopify Inc.,2025-12-31,10-K,2026-02-11,1545.0,1231.0,1468.0,11556000000.0,,13473.0,15189.0
