,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000031,COP,ConocoPhillips,2015-12-31,10-K,2017-02-21,2368.0,,-4428.0,30935000000.0,23693000000.0,39762.0,97484.0,57402.0
1970-01-01 00:00:00.000000035,COP,ConocoPhillips,2016-12-31,10-K,2019-02-19,3610.0,,-3615.0,24360000000.0,23693000000.0,34974.0,89772.0,54546.0
1970-01-01 00:00:00.000000038,COP,ConocoPhillips,2017-12-31,10-K,2020-02-18,6325.0,22435000000.0,-855.0,32584000000.0,29106000000.0,30607.0,73362.0,42561.0
1970-01-01 00:00:00.000000041,COP,ConocoPhillips,2018-12-31,10-K,2021-02-16,5915.0,16147000000.0,6257.0,38727000000.0,36417000000.0,31939.0,69980.0,37916.0
1970-01-01 00:00:00.000000044,COP,ConocoPhillips,2019-12-31,10-K,2022-02-17,5088.0,,7189.0,36670000000.0,32567000000.0,34981.0,70514.0,35464.0
1970-01-01 00:00:00.000000048,COP,ConocoPhillips,2020-12-31,10-K,2024-02-15,2991.0,,-2701.0,18784000000.0,13662000000.0,29849.0,62618.0,32769.0
1970-01-01 00:00:00.000000052,COP,ConocoPhillips,2021-12-31,10-K,2025-02-18,5028.0,,8079.0,45828000000.0,34590000000.0,45406.0,90661.0,45255.0
1970-01-01 00:00:00.000000056,COP,ConocoPhillips,2022-12-31,10-K,2026-02-17,6458.0,,18680.0,78494000000.0,61049000000.0,48003.0,93829.0,45826.0
1970-01-01 00:00:00.000000059,COP,ConocoPhillips,2023-12-31,10-K,2026-02-17,5635.0,,10957.0,56141000000.0,48522000000.0,49279.0,95924.0,46645.0
1970-01-01 00:00:00.000000061,COP,ConocoPhillips,2024-12-31,10-K,2026-02-17,5607.0,,9245.0,54745000000.0,49418000000.0,64796.0,122780.0,57984.0
1970-01-01 00:00:00.000000062,COP,ConocoPhillips,2025-12-31,10-K,2026-02-17,6497.0,,7988.0,58944000000.0,51824000000.0,64487.0,121939.0,57452.0
