,ticker,company,end_date,form,filed,shares_outstanding
1970-01-01 00:00:00.000000000,ASML,ASML HOLDING NV,2010-12-31,20-F,2012-02-14,436592972
1970-01-01 00:00:00.000000002,ASML,ASML HOLDING NV,2011-12-31,20-F,2013-02-13,413669257
1970-01-01 00:00:00.000000005,ASML,ASML HOLDING NV,2012-12-31,20-F,2015-02-11,407165221
1970-01-01 00:00:00.000000008,ASML,ASML HOLDING NV,2013-12-31,20-F,2016-02-05,440852334
1970-01-01 00:00:00.000000011,ASML,ASML HOLDING NV,2014-12-31,20-F,2017-02-08,432935288
1970-01-01 00:00:00.000000013,ASML,ASML HOLDING NV,2015-12-31,20-F,2018-02-07,427986682
1970-01-01 00:00:00.000000015,ASML,ASML HOLDING NV,2016-12-31,20-F,2019-02-06,429941232
1970-01-01 00:00:00.000000017,ASML,ASML HOLDING NV,2017-12-31,20-F,2020-02-12,427393592
1970-01-01 00:00:00.000000019,ASML,ASML HOLDING NV,2018-12-31,20-F,2021-02-10,421097729
1970-01-01 00:00:00.000000021,ASML,ASML HOLDING NV,2019-12-31,20-F,2022-02-09,419810706
1970-01-01 00:00:00.000000024,ASML,ASML HOLDING NV,2020-12-31,20-F,2023-02-15,416514034
1970-01-01 00:00:00.000000027,ASML,ASML HOLDING NV,2021-12-31,20-F,2024-02-14,402601613
1970-01-01 00:00:00.000000030,ASML,ASML HOLDING NV,2022-12-31,20-F,2025-03-05,394589411
1970-01-01 00:00:00.000000033,ASML,ASML HOLDING NV,2023-12-31,20-F,2026-02-25,393421721
1970-01-01 00:00:00.000000035,ASML,ASML HOLDING NV,2024-12-31,20-F,2026-02-25,393283720
1970-01-01 00:00:00.000000036,ASML,ASML HOLDING NV,2025-12-31,20-F,2026-02-25,385417665
