,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000009,KO,COCA COLA CO,2009-12-31,10-K,2013-02-27,7021.0,5110000000.0,6824.0,8231.0,,24799.0,48671.0
1970-01-01 00:00:00.000000013,KO,COCA COLA CO,2010-12-31,10-K,2014-02-27,8517.0,15317000000.0,11787.0,8413.0,,31003.0,72921.0
1970-01-01 00:00:00.000000017,KO,COCA COLA CO,2011-12-31,10-K,2015-02-25,12803.0,15697000000.0,8584.0,10173.0,,31635.0,79974.0
1970-01-01 00:00:00.000000021,KO,COCA COLA CO,2012-12-31,10-K,2016-02-25,8442.0,16313000000.0,9019.0,10779.0,,32790.0,86174.0
1970-01-01 00:00:00.000000025,KO,COCA COLA CO,2013-12-31,10-K,2017-02-24,10414.0,20178000000.0,8584.0,10228.0,,33173.0,90055.0
1970-01-01 00:00:00.000000029,KO,COCA COLA CO,2014-12-31,10-K,2018-02-23,8958.0,22615000000.0,7098.0,9708.0,,30320.0,92023.0
1970-01-01 00:00:00.000000032,KO,COCA COLA CO,2015-12-31,10-K,2018-02-23,7309.0,30987000000.0,7351.0,8728.0,,25554.0,89996.0
1970-01-01 00:00:00.000000035,KO,COCA COLA CO,2016-12-31,10-K,2019-02-21,8555.0,33211000000.0,6527.0,8657.0,41863000000.0,23062.0,87270.0
1970-01-01 00:00:00.000000038,KO,COCA COLA CO,2017-12-31,10-K,2020-02-24,6102.0,34480000000.0,1248.0,7755.0,36212000000.0,17072.0,87896.0
1970-01-01 00:00:00.000000041,KO,COCA COLA CO,2018-12-31,10-K,2021-02-25,9077.0,30379000000.0,6434.0,9152.0,34300000000.0,16981.0,83216.0
1970-01-01 00:00:00.000000044,KO,COCA COLA CO,2019-12-31,10-K,2022-02-22,6480.0,31769000000.0,8920.0,10086.0,37266000000.0,18981.0,86381.0
1970-01-01 00:00:00.000000047,KO,COCA COLA CO,2020-12-31,10-K,2023-02-21,6795.0,40610000000.0,7747.0,8997.0,33014000000.0,19299.0,87296.0
1970-01-01 00:00:00.000000050,KO,COCA COLA CO,2021-12-31,10-K,2024-02-20,9684.0,39454000000.0,9771.0,10308.0,38655000000.0,22999.0,94354.0
1970-01-01 00:00:00.000000053,KO,COCA COLA CO,2022-12-31,10-K,2025-02-20,9519.0,36776000000.0,9542.0,10909.0,43004000000.0,24105.0,92763.0
1970-01-01 00:00:00.000000056,KO,COCA COLA CO,2023-12-31,10-K,2026-02-20,9366.0,37507000000.0,10714.0,11311.0,45754000000.0,25941.0,97703.0
1970-01-01 00:00:00.000000058,KO,COCA COLA CO,2024-12-31,10-K,2026-02-20,10828.0,,10631.0,9992.0,47061000000.0,24856.0,100549.0
1970-01-01 00:00:00.000000059,KO,COCA COLA CO,2025-12-31,10-K,2026-02-20,10270.0,,13107.0,13762.0,47941000000.0,32169.0,104816.0
