,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000003,BG,BUNGE GLOBAL SA,2022-09-30,10-K,2024-02-22,1104.0,4105000000.0,380.0,16759000000.0,21074000000.0,9224.0,24580.0
1970-01-01 00:00:00.000000005,BG,BUNGE GLOBAL SA,2022-12-31,10-K,2025-02-20,1104.0,4105000000.0,1610.0,67232000000.0,21074000000.0,9224.0,24580.0
1970-01-01 00:00:00.000000010,BG,BUNGE GLOBAL SA,2023-09-30,10-K,2024-02-22,2602.0,4085000000.0,373.0,14227000000.0,17831000000.0,10851.0,25372.0
1970-01-01 00:00:00.000000014,BG,BUNGE GLOBAL SA,2023-12-31,10-K,2026-02-19,2602.0,4085000000.0,2243.0,59540000000.0,17831000000.0,10851.0,25372.0
1970-01-01 00:00:00.000000020,BG,BUNGE GLOBAL SA,2024-09-30,10-K,2026-02-19,3311.0,5363000000.0,221.0,12908000000.0,15550000000.0,9913.0,24899.0
1970-01-01 00:00:00.000000022,BG,BUNGE GLOBAL SA,2024-12-31,10-K,2026-02-19,3311.0,5363000000.0,602.0,13542000000.0,15550000000.0,9913.0,24899.0
1970-01-01 00:00:00.000000024,BG,BUNGE GLOBAL SA,2025-06-30,10-K,2026-02-19,1135.0,10168000000.0,354.0,12769000000.0,16944000000.0,15904.0,44528.0
1970-01-01 00:00:00.000000025,BG,BUNGE GLOBAL SA,2025-09-30,10-K,2026-02-19,1135.0,10168000000.0,166.0,22155000000.0,16944000000.0,15904.0,44528.0
1970-01-01 00:00:00.000000026,BG,BUNGE GLOBAL SA,2025-12-31,10-K,2026-02-19,1135.0,10168000000.0,95.0,23762000000.0,16944000000.0,15904.0,44528.0
