,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,BLDR,"BUILDERS FIRSTSOURCE, INC.",2011-12-31,10-K,2015-03-03,146.833,297509000.0,-64.995,-37.475,,96806000.0,101.224,493.794,392.57
1970-01-01 00:00:00.000000022,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-12-31,10-K,2016-03-11,131.432,360955000.0,-56.856,-8.703,,96916000.0,48.096,550.841,502.745
1970-01-01 00:00:00.000000032,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-12-31,10-K,2017-03-01,54.696,353971000.0,-42.691,48.042,,97905000.0,15.368,515.839,500.471
1970-01-01 00:00:00.000000041,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-12-31,10-K,2017-03-01,17.773,383904000.0,18.15,49.61,,98226000.0,40.2,574.065,533.865
1970-01-01 00:00:00.000000062,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-12-31,10-K,2020-02-21,14.449,,144.341,236.336,6367284000.0,111564000.0,309.62,2909.887,2600.267
1970-01-01 00:00:00.000000072,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-12-31,10-K,2021-02-26,57.533,,38.781,285.103,7034209000.0,113572000.0,376.209,3006.124,2629.915
1970-01-01 00:00:00.000000082,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-12-31,10-K,2022-03-01,10.127,,205.191,368.968,7724771000.0,115078000.0,596.338,2932.309,2335.971
1970-01-01 00:00:00.000000092,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-12-31,10-K,2023-02-28,14.096,,221.809,392.306,7280431000.0,116052000.0,824.953,3249.49,2424.537
1970-01-01 00:00:00.000000099,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-12-31,10-K,2024-02-22,423.806,,313.537,543.854,8558874000.0,116829000.0,1152.783,4173.671,3020.888
1970-01-01 00:00:00.000000103,BLDR,"BUILDERS FIRSTSOURCE, INC.",2021-12-31,10-K,2025-02-20,42.603,,1725.416,2387.424,19893856000.0,179820000.0,4802.481,10714.343,5911.862
1970-01-01 00:00:00.000000107,BLDR,"BUILDERS FIRSTSOURCE, INC.",2022-12-31,10-K,2026-02-17,80.445,,2749.369,3770.206,22726418000.0,138864000.0,4962.566,10595.16,5632.594
1970-01-01 00:00:00.000000110,BLDR,"BUILDERS FIRSTSOURCE, INC.",2023-12-31,10-K,2026-02-17,66.156,,1540.555,2176.319,17097330000.0,121857000.0,4732.351,10499.452,5767.101
1970-01-01 00:00:00.000000112,BLDR,"BUILDERS FIRSTSOURCE, INC.",2024-12-31,10-K,2026-02-17,153.624,,1077.898,1595.249,16400492000.0,113578000.0,4296.47,10583.086,6286.616
1970-01-01 00:00:00.000000113,BLDR,"BUILDERS FIRSTSOURCE, INC.",2025-12-31,10-K,2026-02-17,181.753,,435.199,786.276,15190638000.0,110585000.0,4352.251,11237.53,6885.279
