,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000021,AMD,"ADVANCED MICRO DEVICES, INC.",2011-12-31,10-K,2014-02-18,869.0,2065000000.0,491.0,368.0,,698000000.0,1590.0,4954.0
1970-01-01 00:00:00.000000062,AMD,"ADVANCED MICRO DEVICES, INC.",2015-12-26,10-K,2019-02-08,785.0,2237000000.0,-660.0,-481.0,,792000000.0,-350.0,3084.0
1970-01-01 00:00:00.000000067,AMD,"ADVANCED MICRO DEVICES, INC.",2016-09-24,10-K,2017-02-21,1264.0,1435000000.0,-498.0,-293.0,4319000000.0,935000000.0,477.0,3321.0
1970-01-01 00:00:00.000000071,AMD,"ADVANCED MICRO DEVICES, INC.",2016-12-31,10-K,2019-02-08,1264.0,1435000000.0,-498.0,-373.0,4319000000.0,935000000.0,477.0,3321.0
1970-01-01 00:00:00.000000076,AMD,"ADVANCED MICRO DEVICES, INC.",2017-09-30,10-K,2018-02-27,1185.0,1395000000.0,71.0,126.0,5253000000.0,967000000.0,596.0,3552.0
1970-01-01 00:00:00.000000080,AMD,"ADVANCED MICRO DEVICES, INC.",2017-12-30,10-K,2020-02-04,1185.0,1395000000.0,-33.0,127.0,5253000000.0,967000000.0,596.0,3552.0
1970-01-01 00:00:00.000000085,AMD,"ADVANCED MICRO DEVICES, INC.",2018-09-29,10-K,2019-02-08,1078.0,1250000000.0,102.0,150.0,1653000000.0,1005000000.0,1266.0,4556.0
1970-01-01 00:00:00.000000089,AMD,"ADVANCED MICRO DEVICES, INC.",2018-12-29,10-K,2021-01-29,1078.0,1250000000.0,337.0,451.0,6475000000.0,1005000000.0,1266.0,4556.0
1970-01-01 00:00:00.000000094,AMD,"ADVANCED MICRO DEVICES, INC.",2019-09-28,10-K,2020-02-04,1466.0,486000000.0,120.0,186.0,1801000000.0,1170000000.0,2827.0,6028.0
1970-01-01 00:00:00.000000098,AMD,"ADVANCED MICRO DEVICES, INC.",2019-12-28,10-K,2022-02-03,1466.0,486000000.0,341.0,631.0,6731000000.0,1170000000.0,2827.0,6028.0
1970-01-01 00:00:00.000000101,AMD,"ADVANCED MICRO DEVICES, INC.",2020-09-26,10-K,2021-01-29,1595.0,330000000.0,390.0,449.0,2801000000.0,1211000000.0,5837.0,8962.0
1970-01-01 00:00:00.000000104,AMD,"ADVANCED MICRO DEVICES, INC.",2020-12-26,10-K,2023-02-27,1595.0,330000000.0,2490.0,1369.0,9763000000.0,1211000000.0,5837.0,8962.0
1970-01-01 00:00:00.000000107,AMD,"ADVANCED MICRO DEVICES, INC.",2021-12-25,10-K,2024-01-31,2535.0,1000000.0,3162.0,3648.0,16434000000.0,1207000000.0,7497.0,12419.0
1970-01-01 00:00:00.000000110,AMD,"ADVANCED MICRO DEVICES, INC.",2022-12-31,10-K,2025-02-05,4835.0,,1320.0,1264.0,23601000000.0,1612000000.0,54750.0,67580.0
1970-01-01 00:00:00.000000113,AMD,"ADVANCED MICRO DEVICES, INC.",2023-12-30,10-K,2026-02-04,3933.0,,854.0,401.0,22680000000.0,1616000000.0,55892.0,67885.0
1970-01-01 00:00:00.000000115,AMD,"ADVANCED MICRO DEVICES, INC.",2024-12-28,10-K,2026-02-04,3787.0,,1641.0,1900.0,25785000000.0,1622000000.0,57568.0,69226.0
1970-01-01 00:00:00.000000116,AMD,"ADVANCED MICRO DEVICES, INC.",2025-12-27,10-K,2026-02-04,5539.0,,4335.0,3694.0,34639000000.0,1630000000.0,62999.0,76926.0
