,ticker,date,sentiment_mean,sentiment_std,article_count
0,ADM,2026-03-03,-0.18641000000000002,0.49439748617214196,10
1,ADM,2026-03-04,-0.5342,0.5389567886203865,2
2,BG,2026-03-03,-0.09901578947368421,0.3801395171704987,19
3,BG,2026-03-04,0.0,0.0,5
4,CAG,2026-03-03,0.2202,0.31140982643455556,2
5,CAG,2026-03-04,-0.1531,,1
6,CHD,2026-03-04,0.0,,1
7,CL,2026-03-03,-0.06298235294117646,0.6921513239849489,17
8,CL,2026-03-04,0.0516,,1
9,CLX,2026-03-03,0.49993333333333334,0.2164486159191907,3
10,CLX,2026-03-04,-0.8689,,1
11,CPB,2026-03-03,-0.836,,1
12,KO,2026-03-03,0.4595444444444445,0.3589581480147007,18
13,KO,2026-03-04,0.16745000000000002,0.3124039420365883,6
14,MO,2026-03-03,0.10753636363636364,0.5978065430931945,66
15,MO,2026-03-04,0.012380952380952366,0.5981570919240594,21
