,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000077,DVN,DEVON ENERGY CORP/DE,2016-12-31,10-K,2019-02-20,1947.0,,-1056.0,-2895.0,6753000000.0,2772000000.0,8274.0,28675.0
1970-01-01 00:00:00.000000099,DVN,DEVON ENERGY CORP/DE,2020-12-31,10-K,2021-02-17,2047.0,6482000000.0,-2680.0,,4828000000.0,4673000000.0,2885.0,9912.0
1970-01-01 00:00:00.000000104,DVN,DEVON ENERGY CORP/DE,2021-12-31,10-K,2024-02-28,2099.0,6482000000.0,2813.0,,12206000000.0,13750000000.0,9262.0,21025.0
1970-01-01 00:00:00.000000107,DVN,DEVON ENERGY CORP/DE,2022-12-31,10-K,2025-02-19,1314.0,6440000000.0,6015.0,,19169000000.0,19827000000.0,11167.0,23271.0
1970-01-01 00:00:00.000000110,DVN,DEVON ENERGY CORP/DE,2023-12-31,10-K,2026-02-18,853.0,6155000000.0,3747.0,,15258000000.0,15140000000.0,12061.0,24490.0
1970-01-01 00:00:00.000000112,DVN,DEVON ENERGY CORP/DE,2024-12-31,10-K,2026-02-18,811.0,8883000000.0,2891.0,,15940000000.0,15919000000.0,14496.0,30489.0
1970-01-01 00:00:00.000000113,DVN,DEVON ENERGY CORP/DE,2025-12-31,10-K,2026-02-18,1384.0,8389000000.0,2642.0,,17188000000.0,16786000000.0,15528.0,31599.0
