,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,AKAM,"Akamai Technologies, Inc.",2008-12-31,10-K,2012-02-29,156.074,145.138,212.264,790924000.0,169371675.0,1568.77,1880.951,312.181
1970-01-01 00:00:00.000000012,AKAM,"Akamai Technologies, Inc.",2009-12-31,10-K,2013-03-01,181.305,145.913,223.48,859773000.0,171248356.0,1738.722,2087.51,348.788
1970-01-01 00:00:00.000000022,AKAM,"Akamai Technologies, Inc.",2010-12-31,10-K,2014-03-03,231.866,171.22,254.277,1023586000.0,186603380.0,2177.605,2352.676,175.071
1970-01-01 00:00:00.000000032,AKAM,"Akamai Technologies, Inc.",2011-12-31,10-K,2015-03-02,559.197,200.904,290.649,1158538000.0,177504624.0,2156.25,2345.501,189.251
1970-01-01 00:00:00.000000042,AKAM,"Akamai Technologies, Inc.",2012-12-31,10-K,2016-02-29,201.989,203.989,314.487,1373947000.0,177782814.0,2345.754,2600.627,254.873
1970-01-01 00:00:00.000000052,AKAM,"Akamai Technologies, Inc.",2013-12-31,10-K,2017-02-28,333.891,293.487,413.968,1577922000.0,178580696.0,2629.431,2957.685,328.254
1970-01-01 00:00:00.000000062,AKAM,"Akamai Technologies, Inc.",2014-12-31,10-K,2018-03-01,238.65,333.948,489.519,1963874000.0,178300603.0,2945.335,4001.546,1056.211
1970-01-01 00:00:00.000000072,AKAM,"Akamai Technologies, Inc.",2015-12-31,10-K,2019-02-28,289.473,321.406,466.15,2197448000.0,177212181.0,3162.865,4181.684,1060.806
1970-01-01 00:00:00.000000082,AKAM,"Akamai Technologies, Inc.",2016-12-31,10-K,2020-02-28,324.169,320.727,466.51,616124000.0,173254797.0,3270.218,4373.146,1148.776
1970-01-01 00:00:00.000000092,AKAM,"Akamai Technologies, Inc.",2017-12-31,10-K,2021-02-26,313.382,222.766,314.289,,169893324.0,3362.469,4648.916,1286.447
1970-01-01 00:00:00.000000102,AKAM,"Akamai Technologies, Inc.",2018-12-31,10-K,2022-02-28,1036.455,298.373,362.499,,162904550.0,3191.86,5461.77,2269.91
1970-01-01 00:00:00.000000112,AKAM,"Akamai Technologies, Inc.",2019-12-31,10-K,2023-02-28,393.745,478.035,548.918,,162000843.0,3657.958,7006.886,3348.928
1970-01-01 00:00:00.000000119,AKAM,"Akamai Technologies, Inc.",2020-12-31,10-K,2024-02-28,352.917,557.054,658.534,,162709720.0,4251.296,7764.13,3512.834
1970-01-01 00:00:00.000000126,AKAM,"Akamai Technologies, Inc.",2021-12-31,10-K,2025-02-24,536.725,651.642,783.148,,160512111.0,4530.014,8138.673,3608.659
1970-01-01 00:00:00.000000133,AKAM,"Akamai Technologies, Inc.",2022-12-31,10-K,2026-02-20,542.337,523.672,676.274,,156494816.0,4360.187,8303.4,3943.213
1970-01-01 00:00:00.000000136,AKAM,"Akamai Technologies, Inc.",2023-12-31,10-K,2026-02-20,489.468,547.629,637.338,,151232908.0,4597.155,9900.037,5302.882
1970-01-01 00:00:00.000000138,AKAM,"Akamai Technologies, Inc.",2024-12-31,10-K,2026-02-20,517.707,504.918,533.411,,150025096.0,4878.357,10368.785,5490.428
1970-01-01 00:00:00.000000139,AKAM,"Akamai Technologies, Inc.",2025-12-31,10-K,2026-02-20,930.231,452.031,566.944,,144711094.0,4977.371,11479.643,6502.272
