,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000001,PDD,PDD Holdings Inc.,2017-12-31,20-F,2019-04-24,2059.533,-1486.02,-1570.758,1908223000.0,1758769820.0,2737.631,6280.571,3542.94
1970-01-01 00:00:00.000000004,PDD,PDD Holdings Inc.,2018-12-31,20-F,2020-04-24,2059.533,-1486.02,-1570.758,1908223000.0,4455688688.0,2737.631,6280.571,3542.94
1970-01-01 00:00:00.000000005,PDD,PDD Holdings Inc.,2019-12-31,20-F,2020-04-24,828.548,-1000.834,-1226.437,4329611000.0,,3540.3,10924.953,7384.653
1970-01-01 00:00:00.000000006,PDD,PDD Holdings Inc.,2020-12-31,20-F,2021-04-30,3436.198,-1100.344,-1437.598,9117527000.0,5278348396.0,9222.358,24353.811,15131.453
1970-01-01 00:00:00.000000007,PDD,PDD Holdings Inc.,2021-12-31,20-F,2022-04-25,1008.492,1219.074,1082.252,14742796000.0,5278348396.0,11787.112,28435.759,16648.647
1970-01-01 00:00:00.000000009,PDD,PDD Holdings Inc.,2022-12-31,20-F,2024-04-25,4976.83,4572.589,4407.864,18929071000.0,5278348396.0,17075.177,34379.162,17303.985
1970-01-01 00:00:00.000000011,PDD,PDD Holdings Inc.,2023-12-31,20-F,2025-04-28,8421.875,8454.562,8267.548,34879253000.0,5503491148.0,26372.429,49025.778,22653.349
1970-01-01 00:00:00.000000012,PDD,PDD Holdings Inc.,2024-12-31,20-F,2025-04-28,7914.191,15403.464,14853.871,53955324000.0,5568585848.0,42923.722,69189.417,26265.695
