,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-09-30,10-K,2012-11-20,488.2,4167700000.0,631.3,846.3,,211260264.0,4791.9,13029.1,8099.1
1970-01-01 00:00:00.000000022,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-09-30,10-K,2013-11-26,373.7,3842300000.0,1029.1,1267.7,,213802865.0,5546.9,13505.9,7808.3
1970-01-01 00:00:00.000000032,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-09-30,10-K,2014-11-24,421.4,3999700000.0,1224.2,1508.1,,210185256.0,5795.8,14290.7,8352.0
1970-01-01 00:00:00.000000042,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-09-30,10-K,2015-11-24,454.4,4658500000.0,1167.3,1282.4,,212475880.0,6477.2,16941.8,9926.0
1970-01-01 00:00:00.000000052,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-09-30,10-K,2016-11-21,450.4,5563700000.0,994.2,1324.4,,211179257.0,7042.1,17850.1,10275.4
1970-01-01 00:00:00.000000062,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-09-30,10-K,2017-11-16,336.6,4889800000.0,991.7,1339.1,,213538144.0,7365.8,17668.3,9970.5
1970-01-01 00:00:00.000000072,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-09-30,10-K,2018-11-20,183.1,4384700000.0,1277.9,1233.2,,215359113.0,7249.0,17316.6,9953.4
1970-01-01 00:00:00.000000082,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-09-30,10-K,2019-11-26,1293.2,,631.1,1535.1,7503700000.0,217350825.0,7079.6,18028.6,10815.2
1970-01-01 00:00:00.000000092,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-09-30,10-K,2020-11-19,3273.6,,3000.4,1440.0,8187600000.0,218346074.0,10086.2,18467.2,8281.7
1970-01-01 00:00:00.000000102,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-09-30,10-K,2021-11-18,2791.3,,1497.8,1965.6,8930200000.0,219515245.0,10857.5,19178.3,8002.0
1970-01-01 00:00:00.000000113,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-09-30,10-K,2022-11-22,2248.7,,1760.0,2144.4,8918900000.0,220415262.0,11053.6,18942.8,7554.5
1970-01-01 00:00:00.000000120,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2020-09-30,10-K,2023-11-16,5253.0,,1886.7,2237.6,8856300000.0,221017459.0,12079.8,25168.5,12725.4
1970-01-01 00:00:00.000000124,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2021-09-30,10-K,2024-11-21,4468.9,,2099.1,2281.4,10323000000.0,221396755.0,13539.7,26859.2,12771.2
1970-01-01 00:00:00.000000128,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2022-09-30,10-K,2025-11-20,2711.0,,2256.1,2338.8,12698600000.0,221838696.0,13144.0,27192.6,13490.2
1970-01-01 00:00:00.000000131,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2023-09-30,10-K,2025-11-20,1617.0,,2300.2,2494.6,12600000000.0,222199845.0,14312.9,32002.5,16342.2
1970-01-01 00:00:00.000000133,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2024-09-30,10-K,2025-11-20,2979.7,,3828.2,4466.1,12100600000.0,222372418.0,17036.5,39574.6,20900.9
1970-01-01 00:00:00.000000134,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2025-09-30,10-K,2025-11-20,1856.0,,-394.5,-877.0,12037300000.0,222588256.0,15024.9,41059.5,23709.7
