,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000032,AMZN,AMAZON COM INC,2011-12-31,10-K,2015-01-30,5269.0,384000000.0,631.0,862.0,,455000000.0,7757.0,25278.0
1970-01-01 00:00:00.000000042,AMZN,AMAZON COM INC,2012-12-31,10-K,2016-01-29,8084.0,3691000000.0,-39.0,676.0,,454000000.0,8192.0,32555.0
1970-01-01 00:00:00.000000052,AMZN,AMAZON COM INC,2013-12-31,10-K,2017-02-10,8658.0,3967000000.0,274.0,745.0,,459000000.0,9746.0,40159.0
1970-01-01 00:00:00.000000062,AMZN,AMAZON COM INC,2014-12-31,10-K,2018-02-02,14557.0,9881000000.0,-241.0,178.0,,465000000.0,10741.0,54505.0
1970-01-01 00:00:00.000000072,AMZN,AMAZON COM INC,2015-12-31,10-K,2019-02-01,15890.0,8562000000.0,596.0,2233.0,,471000000.0,13384.0,64747.0
1970-01-01 00:00:00.000000082,AMZN,AMAZON COM INC,2016-12-31,10-K,2020-01-31,19334.0,8838000000.0,2371.0,4186.0,135987000000.0,477000000.0,19285.0,83402.0
1970-01-01 00:00:00.000000092,AMZN,AMAZON COM INC,2017-12-31,10-K,2021-02-03,20522.0,24942000000.0,3033.0,4106.0,177866000000.0,484000000.0,27709.0,131310.0
1970-01-01 00:00:00.000000102,AMZN,AMAZON COM INC,2018-12-31,10-K,2022-02-04,31750.0,24965000000.0,10073.0,12421.0,232887000000.0,491000000.0,43549.0,162648.0
1970-01-01 00:00:00.000000112,AMZN,AMAZON COM INC,2019-12-31,10-K,2023-02-03,36092.0,24820000000.0,11588.0,14541.0,280522000000.0,498000000.0,62060.0,225248.0
1970-01-01 00:00:00.000000119,AMZN,AMAZON COM INC,2020-12-31,10-K,2024-02-02,42122.0,33174000000.0,21331.0,22899.0,386064000000.0,503000000.0,93404.0,321195.0
1970-01-01 00:00:00.000000123,AMZN,AMAZON COM INC,2021-12-31,10-K,2025-02-07,36220.0,50553000000.0,33364.0,24879.0,469822000000.0,10175000000.0,138245.0,420549.0
1970-01-01 00:00:00.000000127,AMZN,AMAZON COM INC,2022-12-31,10-K,2026-02-06,53888.0,70542000000.0,-2722.0,12248.0,513983000000.0,10242000000.0,146043.0,462675.0
1970-01-01 00:00:00.000000130,AMZN,AMAZON COM INC,2023-12-31,10-K,2026-02-06,73387.0,67182000000.0,30425.0,36852.0,574785000000.0,10383000000.0,201875.0,527854.0
1970-01-01 00:00:00.000000132,AMZN,AMAZON COM INC,2024-12-31,10-K,2026-02-06,78779.0,58000000000.0,59248.0,68593.0,637959000000.0,10593000000.0,285970.0,624894.0
1970-01-01 00:00:00.000000133,AMZN,AMAZON COM INC,2025-12-31,10-K,2026-02-06,86810.0,68836000000.0,77670.0,79975.0,716924000000.0,10731000000.0,411065.0,818042.0
