,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,BALL,Ball Corporation,2009-12-31,10-K,2013-02-22,210.6,,387.9,653.8,1583.0,6488.3,4905.3
1970-01-01 00:00:00.000000009,BALL,Ball Corporation,2010-12-31,10-K,2014-02-24,152.0,2736100000.0,468.0,764.6,1518.0,6927.7,5269.6
1970-01-01 00:00:00.000000013,BALL,Ball Corporation,2011-12-31,10-K,2015-02-20,165.8,2764500000.0,,836.9,1219.1,7284.6,5906.6
1970-01-01 00:00:00.000000017,BALL,Ball Corporation,2012-12-31,10-K,2016-02-16,174.1,3189400000.0,,790.5,1114.6,7520.7,6206.5
1970-01-01 00:00:00.000000021,BALL,Ball Corporation,2013-12-31,10-K,2017-03-02,416.0,3547800000.0,,795.4,1224.6,7820.4,6404.4
1970-01-01 00:00:00.000000025,BALL,Ball Corporation,2014-12-31,10-K,2018-03-01,191.0,3048800000.0,,839.0,1033.1,7571.0,6331.4
1970-01-01 00:00:00.000000028,BALL,Ball Corporation,2015-12-31,10-K,2018-03-01,224.0,5028000000.0,,606.0,1251.0,9697.0,8436.0
1970-01-01 00:00:00.000000030,BALL,Ball Corporation,2016-09-30,10-K,2017-03-02,597.0,7389000000.0,,132.0,3435.0,16173.0,12632.0
1970-01-01 00:00:00.000000033,BALL,Ball Corporation,2016-12-31,10-K,2019-02-22,597.0,7389000000.0,,463.0,3435.0,16173.0,12632.0
1970-01-01 00:00:00.000000036,BALL,Ball Corporation,2017-12-31,10-K,2020-02-19,448.0,6631000000.0,,802.0,3941.0,17169.0,13123.0
1970-01-01 00:00:00.000000039,BALL,Ball Corporation,2018-12-31,10-K,2021-02-17,721.0,6518000000.0,,935.0,3458.0,16554.0,12992.0
1970-01-01 00:00:00.000000042,BALL,Ball Corporation,2019-12-31,10-K,2022-02-16,1798.0,7791000000.0,,932.0,2949.0,17360.0,14341.0
