,ticker,company,end_date,form,filed,net_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000026,ARES,ARES MANAGEMENT CORPORATION,2016-12-31,10-K,2018-03-01,34.019,358195000.0,244244000.0,,292.851,5829.712,4452.45
1970-01-01 00:00:00.000000033,ARES,ARES MANAGEMENT CORPORATION,2017-09-30,10-K,2019-02-26,27.838,283671000.0,288402000.0,,1460.292,8563.522,7103.23
1970-01-01 00:00:00.000000036,ARES,ARES MANAGEMENT CORPORATION,2017-12-31,10-K,2020-02-28,76.178,1085043000.0,1479943000.0,0.0,1460.292,8563.522,7103.23
1970-01-01 00:00:00.000000041,ARES,ARES MANAGEMENT CORPORATION,2018-09-30,10-K,2019-02-26,15.91,1218239000.0,240777000.0,101595096.0,587.924,10154.692,8760.351
1970-01-01 00:00:00.000000045,ARES,ARES MANAGEMENT CORPORATION,2018-12-31,10-K,2021-02-25,57.02,1218239000.0,958461000.0,101595096.0,587.924,10154.692,8760.351
1970-01-01 00:00:00.000000048,ARES,ARES MANAGEMENT CORPORATION,2019-09-30,10-K,2020-02-28,33.331,1433126000.0,466490000.0,115243029.0,768.29,12014.196,10155.598
1970-01-01 00:00:00.000000051,ARES,ARES MANAGEMENT CORPORATION,2019-12-31,10-K,2022-02-28,148.884,1433126000.0,1765438000.0,115243029.0,768.29,12014.196,10155.598
1970-01-01 00:00:00.000000054,ARES,ARES MANAGEMENT CORPORATION,2020-12-31,10-K,2023-02-24,152.142,1753729000.0,1764046000.0,259631180.0,1193.685,15168.992,12596.852
1970-01-01 00:00:00.000000057,ARES,ARES MANAGEMENT CORPORATION,2021-12-31,10-K,2024-02-27,408.837,2288876000.0,4212091000.0,290451548.0,1825.227,21605.164,16694.73
1970-01-01 00:00:00.000000060,ARES,ARES MANAGEMENT CORPORATION,2022-12-31,10-K,2025-02-27,167.541,2880007000.0,3055443000.0,294614235.0,1589.239,22002.839,17097.81
1970-01-01 00:00:00.000000063,ARES,ARES MANAGEMENT CORPORATION,2023-12-31,10-K,2026-02-25,474.326,3236285000.0,3631884000.0,307585576.0,1893.399,24730.5,19709.151
1970-01-01 00:00:00.000000065,ARES,ARES MANAGEMENT CORPORATION,2024-12-31,10-K,2026-02-25,463.742,3690668000.0,3884781000.0,313170171.0,3543.646,24884.308,17485.922
1970-01-01 00:00:00.000000066,ARES,ARES MANAGEMENT CORPORATION,2025-12-31,10-K,2026-02-25,527.362,4755618000.0,5601482000.0,,4275.463,28633.369,19931.981
