,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000018,FANG,"Diamondback Energy, Inc.",2012-12-31,10-K,2016-02-19,26.358,338000.0,-36.521,17.307,,,36986532.0,462.068,606.701,144.633
1970-01-01 00:00:00.000000028,FANG,"Diamondback Energy, Inc.",2013-12-31,10-K,2017-02-15,15.555,460000000.0,54.587,95.194,,,47106216.0,845.541,1521.614,676.073
1970-01-01 00:00:00.000000038,FANG,"Diamondback Energy, Inc.",2014-12-31,10-K,2018-02-15,30.183,673500000.0,193.755,212.67,,,56887583.0,1751.011,3095.481,1110.268
1970-01-01 00:00:00.000000048,FANG,"Diamondback Energy, Inc.",2015-12-31,10-K,2019-02-25,20.115,487807000.0,-550.628,-740.269,,,66797041.0,1875.972,2750.719,641.746
1970-01-01 00:00:00.000000053,FANG,"Diamondback Energy, Inc.",2016-09-30,10-K,2017-02-15,1666.574,1105912000.0,-2.23,6.693,,,90143934.0,3697.462,5349.68,1331.388
1970-01-01 00:00:00.000000057,FANG,"Diamondback Energy, Inc.",2016-12-31,10-K,2019-02-25,1666.574,1105912000.0,-165.034,-68.617,,,90143934.0,3697.462,5349.68,1331.388
1970-01-01 00:00:00.000000062,FANG,"Diamondback Energy, Inc.",2017-09-30,10-K,2018-02-15,112.446,1477347000.0,73.024,142.639,1205000000.0,,98167289.0,5254.86,7771.0,2189.248
1970-01-01 00:00:00.000000066,FANG,"Diamondback Energy, Inc.",2017-12-31,10-K,2020-02-27,112.446,1477347000.0,482.0,605.0,1205000000.0,,98167289.0,5254.86,7771.0,2189.248
1970-01-01 00:00:00.000000071,FANG,"Diamondback Energy, Inc.",2018-09-30,10-K,2019-02-25,215.0,4464000000.0,157.054,266.851,2176000000.0,2130000000.0,164273447.0,13700.0,21596.0,7429.0
1970-01-01 00:00:00.000000075,FANG,"Diamondback Energy, Inc.",2018-12-31,10-K,2021-02-25,215.0,4464000000.0,846.0,1011.0,2176000000.0,2130000000.0,164273447.0,13700.0,21596.0,7429.0
1970-01-01 00:00:00.000000078,FANG,"Diamondback Energy, Inc.",2019-09-30,10-K,2020-02-27,123.0,5371000000.0,368.0,349.0,975000000.0,3887000000.0,159002338.0,13249.0,23531.0,8625.0
1970-01-01 00:00:00.000000081,FANG,"Diamondback Energy, Inc.",2019-12-31,10-K,2022-02-24,123.0,5371000000.0,240.0,695.0,3964000000.0,3887000000.0,159002338.0,13249.0,23531.0,8625.0
1970-01-01 00:00:00.000000084,FANG,"Diamondback Energy, Inc.",2020-12-31,10-K,2023-02-23,104.0,5624000000.0,-4517.0,-5476.0,2813000000.0,2756000000.0,158088182.0,8794.0,17619.0,7815.0
1970-01-01 00:00:00.000000087,FANG,"Diamondback Energy, Inc.",2021-12-31,10-K,2024-02-22,654.0,6642000000.0,2182.0,4001.0,6797000000.0,6747000000.0,177551347.0,12088.0,22898.0,9653.0
1970-01-01 00:00:00.000000090,FANG,"Diamondback Energy, Inc.",2022-12-31,10-K,2025-02-26,157.0,6238000000.0,4386.0,6508.0,9643000000.0,9566000000.0,179840797.0,15009.0,26209.0,10519.0
1970-01-01 00:00:00.000000093,FANG,"Diamondback Energy, Inc.",2023-12-31,10-K,2026-02-25,582.0,6641000000.0,3143.0,4570.0,8412000000.0,,178723871.0,16625.0,29001.0,11571.0
1970-01-01 00:00:00.000000095,FANG,"Diamondback Energy, Inc.",2024-12-31,10-K,2026-02-25,161.0,12075000000.0,3338.0,4396.0,11066000000.0,,290984373.0,37736.0,67292.0,27430.0
1970-01-01 00:00:00.000000096,FANG,"Diamondback Energy, Inc.",2025-12-31,10-K,2026-02-25,104.0,13726000000.0,1664.0,1266.0,15026000000.0,,284594908.0,36972.0,71059.0,28092.0
