,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000028,CLX,THE CLOROX COMPANY,2011-06-30,10-K,2014-08-25,259.0,2125000000.0,557.0,5231000000.0,,131066864.0,-86.0,4163.0,4249.0
1970-01-01 00:00:00.000000038,CLX,THE CLOROX COMPANY,2012-06-30,10-K,2015-08-21,267.0,2421000000.0,541.0,5468000000.0,,129562082.0,-135.0,4355.0,4490.0
1970-01-01 00:00:00.000000047,CLX,THE CLOROX COMPANY,2013-06-30,10-K,2015-08-21,299.0,2170000000.0,572.0,5623000000.0,,130366911.0,146.0,4311.0,4165.0
1970-01-01 00:00:00.000000070,CLX,THE CLOROX COMPANY,2015-06-30,10-K,2018-08-14,382.0,2096000000.0,580.0,5655000000.0,,128614310.0,118.0,4154.0,4046.0
1970-01-01 00:00:00.000000081,CLX,THE CLOROX COMPANY,2016-06-30,10-K,2019-08-14,401.0,1789000000.0,648.0,5761000000.0,,129355263.0,297.0,4510.0,4213.0
1970-01-01 00:00:00.000000092,CLX,THE CLOROX COMPANY,2017-06-30,10-K,2020-08-13,418.0,1791000000.0,701.0,5973000000.0,,129014172.0,542.0,4573.0,4031.0
1970-01-01 00:00:00.000000103,CLX,THE CLOROX COMPANY,2018-06-30,10-K,2021-08-10,131.0,2284000000.0,823.0,6124000000.0,,127982767.0,726.0,5060.0,4334.0
1970-01-01 00:00:00.000000108,CLX,THE CLOROX COMPANY,2019-03-31,10-K,2019-08-14,111.0,2287000000.0,187.0,,1551000000.0,125686325.0,559.0,5116.0,4557.0
1970-01-01 00:00:00.000000112,CLX,THE CLOROX COMPANY,2019-06-30,10-K,2021-08-10,111.0,2287000000.0,820.0,,6214000000.0,125686325.0,559.0,5116.0,4557.0
1970-01-01 00:00:00.000000117,CLX,THE CLOROX COMPANY,2020-03-31,10-K,2020-08-13,871.0,2780000000.0,241.0,,1783000000.0,126198606.0,908.0,6213.0,5305.0
1970-01-01 00:00:00.000000121,CLX,THE CLOROX COMPANY,2020-06-30,10-K,2022-08-10,871.0,2780000000.0,939.0,,6721000000.0,126198606.0,908.0,6213.0,5305.0
1970-01-01 00:00:00.000000124,CLX,THE CLOROX COMPANY,2021-03-31,10-K,2021-08-10,319.0,2784000000.0,-61.0,,1781000000.0,122780220.0,411.0,6334.0,5742.0
1970-01-01 00:00:00.000000127,CLX,THE CLOROX COMPANY,2021-06-30,10-K,2023-08-10,319.0,2784000000.0,710.0,,7341000000.0,122780220.0,411.0,6334.0,5742.0
1970-01-01 00:00:00.000000130,CLX,THE CLOROX COMPANY,2022-06-30,10-K,2024-08-08,183.0,2474000000.0,462.0,,7107000000.0,123152132.0,556.0,6158.0,5429.0
1970-01-01 00:00:00.000000133,CLX,THE CLOROX COMPANY,2023-06-30,10-K,2025-08-08,367.0,2477000000.0,149.0,,7389000000.0,123820022.0,220.0,5945.0,5557.0
1970-01-01 00:00:00.000000135,CLX,THE CLOROX COMPANY,2024-06-30,10-K,2025-08-08,202.0,2481000000.0,280.0,,7093000000.0,124201807.0,328.0,5751.0,5259.0
1970-01-01 00:00:00.000000136,CLX,THE CLOROX COMPANY,2025-06-30,10-K,2025-08-08,167.0,2484000000.0,810.0,,7104000000.0,122694263.0,321.0,5561.0,5079.0
