,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2010-06-30,10-K,2013-08-08,412.6,324100000.0,,342.1,2209200000.0,,129200000.0,807.1,1794.4,987.3
1970-01-01 00:00:00.000000012,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2011-06-30,10-K,2014-08-07,241.5,124300000.0,169.6,269.7,2166900000.0,,123700000.0,797.3,1904.0,1106.7
1970-01-01 00:00:00.000000022,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-06-30,10-K,2015-08-07,320.5,524400000.0,123.6,200.9,2303500000.0,,124800000.0,850.5,1987.6,1137.1
1970-01-01 00:00:00.000000032,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-06-30,10-K,2016-08-09,266.0,524500000.0,,323.2,2430800000.0,,119000000.0,816.0,2018.2,1202.2
1970-01-01 00:00:00.000000042,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-06-30,10-K,2017-08-10,347.6,524100000.0,,395.5,2558000000.0,,119500000.0,961.7,2192.1,1230.4
1970-01-01 00:00:00.000000052,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-06-30,10-K,2018-08-07,324.1,689400000.0,,261.8,2694200000.0,,118200000.0,927.8,2364.8,1440.3
1970-01-01 00:00:00.000000062,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-06-30,10-K,2019-08-06,727.7,1015500000.0,,270.3,974500000.0,2897000000.0,118300000.0,1045.5,2872.7,1827.3
1970-01-01 00:00:00.000000071,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2017-06-30,10-K,2019-08-06,271.1,1102100000.0,,297.0,1345700000.0,4142600000.0,116500000.0,1003.8,3149.8,2146.0
1970-01-01 00:00:00.000000082,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2018-06-30,10-K,2021-08-12,263.9,,427.9,598.1,,4329900000.0,116300000.0,1094.3,3304.7,2210.4
1970-01-01 00:00:00.000000092,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2019-06-30,10-K,2022-08-12,273.2,,482.1,652.7,,4362200000.0,114300000.0,1127.5,3880.7,2753.2
1970-01-01 00:00:00.000000102,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020-06-30,10-K,2023-08-08,476.6,1787500000.0,462.5,624.9,,4529000000.0,115100000.0,1346.5,4889.8,3543.2
1970-01-01 00:00:00.000000109,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2021-06-30,10-K,2024-08-06,274.5,3887600000.0,547.5,678.7,,4993700000.0,116100000.0,1809.1,8119.8,6310.6
1970-01-01 00:00:00.000000113,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2022-06-30,10-K,2025-08-05,224.7,3793000000.0,539.1,759.9,,5709100000.0,117300000.0,1919.1,8168.8,6249.8
1970-01-01 00:00:00.000000116,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2023-06-30,10-K,2025-08-05,252.3,3413300000.0,630.6,936.4,,6060900000.0,118100000.0,2240.6,8233.2,5992.6
1970-01-01 00:00:00.000000118,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2024-06-30,10-K,2025-08-05,304.4,3355100000.0,698.1,1017.1,,6506800000.0,116700000.0,2168.2,8242.4,6074.2
1970-01-01 00:00:00.000000119,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2025-06-30,10-K,2025-08-05,561.5,3252300000.0,839.5,1188.6,,6889100000.0,117100000.0,2655.1,8545.0,5889.9
