,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000062,AXON,"Axon Enterprise, Inc.",2016-12-31,10-K,2020-02-28,40.651,,17.297,31.851,268245000.0,52325251.0,150.888,278.163,127.275
1970-01-01 00:00:00.000000072,AXON,"Axon Enterprise, Inc.",2017-12-31,10-K,2021-02-26,75.105,,5.207,13.023,343798000.0,52969869.0,167.444,338.112,170.668
1970-01-01 00:00:00.000000083,AXON,"Axon Enterprise, Inc.",2018-12-31,10-K,2022-02-25,349.462,,29.205,24.841,420068000.0,58810637.0,467.324,719.54,252.216
1970-01-01 00:00:00.000000091,AXON,"Axon Enterprise, Inc.",2019-12-31,10-K,2023-02-28,172.25,,0.882,-6.394,530860000.0,59497759.0,543.495,845.639,302.144
1970-01-01 00:00:00.000000095,AXON,"Axon Enterprise, Inc.",2020-12-31,10-K,2024-02-27,155.44,,-1.724,-14.15,681003000.0,63766555.0,976.255,1381.023,404.768
1970-01-01 00:00:00.000000099,AXON,"Axon Enterprise, Inc.",2021-12-31,10-K,2025-02-28,356.332,,-60.018,-168.123,863381000.0,70896856.0,1050.233,1688.21,640.361
1970-01-01 00:00:00.000000103,AXON,"Axon Enterprise, Inc.",2022-12-31,10-K,2026-02-25,353.684,,146.93,92.973,1187143000.0,71474581.0,1270.666,2851.894,1583.403
1970-01-01 00:00:00.000000106,AXON,"Axon Enterprise, Inc.",2023-09-30,10-K,2025-02-28,598.545,,61.309,57.419,413278000.0,75301424.0,1615.765,3409.174,1793.409
1970-01-01 00:00:00.000000109,AXON,"Axon Enterprise, Inc.",2023-12-31,10-K,2026-02-25,598.545,,175.783,156.85,1560699000.0,75301424.0,1615.765,3409.174,1793.409
1970-01-01 00:00:00.000000110,AXON,"Axon Enterprise, Inc.",2024-03-31,10-K,2025-02-28,454.844,680289000.0,133.352,16.456,459871000.0,76619331.0,2327.665,4474.588,2146.923
1970-01-01 00:00:00.000000111,AXON,"Axon Enterprise, Inc.",2024-06-30,10-K,2025-02-28,454.844,680289000.0,41.473,33.758,503236000.0,76619331.0,2327.665,4474.588,2146.923
1970-01-01 00:00:00.000000113,AXON,"Axon Enterprise, Inc.",2024-12-31,10-K,2026-02-25,454.844,680289000.0,377.034,58.54,2082526000.0,76619331.0,2327.665,4474.588,2146.923
1970-01-01 00:00:00.000000114,AXON,"Axon Enterprise, Inc.",2025-12-31,10-K,2026-02-25,1201.147,1810722000.0,124.656,-62.076,2779536000.0,80211537.0,3242.658,7000.313,3757.655
