,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000009,CVX,Chevron Corp,2009-12-31,10-K,2013-02-22,8716.0,5705000000.0,10483.0,171636000000.0,,91914.0,164621.0,72060.0
1970-01-01 00:00:00.000000013,CVX,Chevron Corp,2010-12-31,10-K,2014-02-21,14060.0,5636000000.0,19024.0,204928000000.0,,105081.0,184769.0,78958.0
1970-01-01 00:00:00.000000017,CVX,Chevron Corp,2011-12-31,10-K,2015-02-20,15864.0,4101000000.0,26895.0,253706000000.0,,121382.0,209474.0,87293.0
1970-01-01 00:00:00.000000021,CVX,Chevron Corp,2012-12-31,10-K,2016-02-25,20939.0,6086000000.0,26179.0,241909000000.0,,136524.0,232982.0,95150.0
1970-01-01 00:00:00.000000025,CVX,Chevron Corp,2013-12-31,10-K,2017-02-23,16245.0,11960000000.0,21423.0,228848000000.0,,149113.0,253753.0,103326.0
1970-01-01 00:00:00.000000029,CVX,Chevron Corp,2014-12-31,10-K,2018-02-22,12785.0,15960000000.0,19241.0,211970000000.0,,155028.0,266026.0,109835.0
1970-01-01 00:00:00.000000033,CVX,Chevron Corp,2015-12-31,10-K,2019-02-22,11022.0,27071000000.0,4587.0,138477000000.0,,152716.0,264540.0,110654.0
1970-01-01 00:00:00.000000036,CVX,Chevron Corp,2016-12-31,10-K,2019-02-22,6988.0,32490000000.0,-497.0,114472000000.0,,145556.0,260078.0,113356.0
1970-01-01 00:00:00.000000039,CVX,Chevron Corp,2017-12-31,10-K,2020-02-21,4813.0,30234000000.0,9195.0,141722000000.0,,148124.0,253806.0,104487.0
1970-01-01 00:00:00.000000042,CVX,Chevron Corp,2018-12-31,10-K,2021-02-25,9342.0,23730000000.0,14824.0,166339000000.0,158902000000.0,154554.0,253863.0,98221.0
1970-01-01 00:00:00.000000045,CVX,Chevron Corp,2019-12-31,10-K,2022-02-24,,18730000000.0,2924.0,146516000000.0,139865000000.0,144213.0,237428.0,92220.0
1970-01-01 00:00:00.000000048,CVX,Chevron Corp,2020-12-31,10-K,2023-02-23,5596.0,25676000000.0,-5543.0,94692000000.0,94471000000.0,131688.0,239790.0,107064.0
1970-01-01 00:00:00.000000051,CVX,Chevron Corp,2021-12-31,10-K,2024-02-26,5640.0,25676000000.0,15625.0,162465000000.0,155606000000.0,139067.0,239535.0,99595.0
1970-01-01 00:00:00.000000054,CVX,Chevron Corp,2022-12-31,10-K,2025-02-21,17678.0,,35465.0,246252000000.0,235717000000.0,159282.0,257709.0,97467.0
1970-01-01 00:00:00.000000057,CVX,Chevron Corp,2023-12-31,10-K,2026-02-24,8178.0,,21369.0,200949000000.0,196913000000.0,160957.0,261632.0,99703.0
