,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,DLR,"DIGITAL REALTY TRUST, INC.",2010-12-31,10-K,2014-03-03,11.719,2806954000.0,102.294,242.306,865401000.0,91159221.0,1962.518,5329.483,3274.82
1970-01-01 00:00:00.000000012,DLR,"DIGITAL REALTY TRUST, INC.",2011-12-31,10-K,2015-03-02,40.631,,156.265,304.31,1062710000.0,106039279.0,2522.917,6098.566,3518.155
1970-01-01 00:00:00.000000022,DLR,"DIGITAL REALTY TRUST, INC.",2012-12-31,10-K,2016-02-29,52.467,,210.334,366.078,1279067000.0,125140783.0,3468.305,8819.214,5320.83
1970-01-01 00:00:00.000000033,DLR,"DIGITAL REALTY TRUST, INC.",2013-12-31,10-K,2016-09-28,50.08,,314.488,381.812,1482259000.0,128455350.0,3610.516,9626.83,5980.318
1970-01-01 00:00:00.000000041,DLR,"DIGITAL REALTY TRUST, INC.",2014-09-30,10-K,2015-03-02,34.814,,127.769,258.666,412186000.0,135626255.0,3878.256,9526.784,5612.546
1970-01-01 00:00:00.000000047,DLR,"DIGITAL REALTY TRUST, INC.",2014-12-31,10-K,2017-03-01,34.814,,200.183,258.666,1616438000.0,135626255.0,3878.256,9526.784,5612.546
1970-01-01 00:00:00.000000054,DLR,"DIGITAL REALTY TRUST, INC.",2015-09-30,10-K,2016-02-29,57.053,,56.978,401.911,435989000.0,146384247.0,4500.132,11416.063,6879.561
1970-01-01 00:00:00.000000060,DLR,"DIGITAL REALTY TRUST, INC.",2015-12-31,10-K,2018-03-01,57.053,,296.689,401.911,1763336000.0,146384247.0,4500.132,11416.063,6879.561
1970-01-01 00:00:00.000000065,DLR,"DIGITAL REALTY TRUST, INC.",2016-09-30,10-K,2017-03-01,10.528,,219.188,497.286,546293000.0,159019118.0,5096.015,12192.585,7060.288
1970-01-01 00:00:00.000000069,DLR,"DIGITAL REALTY TRUST, INC.",2016-12-31,10-K,2019-02-25,10.528,,426.187,497.286,2142213000.0,159019118.0,5096.015,12192.585,7060.288
1970-01-01 00:00:00.000000074,DLR,"DIGITAL REALTY TRUST, INC.",2017-09-30,10-K,2018-03-01,0.051,,12.435,451.295,609925000.0,205470300.0,10349.081,21404.345,10300.993
1970-01-01 00:00:00.000000078,DLR,"DIGITAL REALTY TRUST, INC.",2017-12-31,10-K,2020-03-02,0.051,,248.259,451.295,2457928000.0,205470300.0,10349.081,21404.345,10300.993
1970-01-01 00:00:00.000000083,DLR,"DIGITAL REALTY TRUST, INC.",2018-09-30,10-K,2019-02-25,126.7,,87.597,549.787,768924000.0,206425656.0,9858.644,23766.695,12892.653
1970-01-01 00:00:00.000000087,DLR,"DIGITAL REALTY TRUST, INC.",2018-12-31,10-K,2021-03-01,126.7,,331.246,549.787,3046478000.0,206425656.0,9858.644,23766.695,12892.653
1970-01-01 00:00:00.000000092,DLR,"DIGITAL REALTY TRUST, INC.",2019-09-30,10-K,2020-03-02,89.817,,66.497,594.215,806466000.0,208900758.0,9879.312,23068.131,12418.566
1970-01-01 00:00:00.000000096,DLR,"DIGITAL REALTY TRUST, INC.",2019-12-31,10-K,2022-02-25,89.817,,579.761,594.215,3209241000.0,208900758.0,9879.312,23068.131,12418.566
1970-01-01 00:00:00.000000099,DLR,"DIGITAL REALTY TRUST, INC.",2020-09-30,10-K,2021-03-01,108.501,,-0.138,557.526,1024668000.0,280289726.0,17717.697,36076.291,17587.944
1970-01-01 00:00:00.000000102,DLR,"DIGITAL REALTY TRUST, INC.",2020-12-31,10-K,2023-02-27,108.501,,356.398,557.526,3903609000.0,280289726.0,17717.697,36076.291,17587.944
1970-01-01 00:00:00.000000105,DLR,"DIGITAL REALTY TRUST, INC.",2021-12-31,10-K,2024-02-23,142.698,,1709.259,694.009,4427882000.0,284415000.0,18004.568,36369.56,17845.778
1970-01-01 00:00:00.000000108,DLR,"DIGITAL REALTY TRUST, INC.",2022-12-31,10-K,2025-02-25,141.773,,377.684,589.968,4691834000.0,291148000.0,17583.334,41484.998,21862.854
1970-01-01 00:00:00.000000111,DLR,"DIGITAL REALTY TRUST, INC.",2023-12-31,10-K,2026-02-13,1625.495,,948.838,524.461,5477061000.0,311608000.0,19117.534,44113.258,23116.937
1970-01-01 00:00:00.000000113,DLR,"DIGITAL REALTY TRUST, INC.",2024-12-31,10-K,2026-02-13,3870.891,,602.49,471.864,5554968000.0,336637.0,21340.397,45283.616,22107.836
1970-01-01 00:00:00.000000114,DLR,"DIGITAL REALTY TRUST, INC.",2025-12-31,10-K,2026-02-13,3451.647,,1308.589,658.492,6112692000.0,343557000.0,22925.663,49410.468,24564.494
