,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,BF-B,Brown-Forman Corporation,2010-04-30,10-K,2013-06-27,232.0,511000000.0,449.0,710.0,,146963000.0,1895.0,3383.0,1488.0
1970-01-01 00:00:00.000000009,BF-B,Brown-Forman Corporation,2011-04-30,10-K,2014-06-20,567.0,759000000.0,572.0,855.0,,144990000.0,2060.0,3712.0,1652.0
1970-01-01 00:00:00.000000013,BF-B,Brown-Forman Corporation,2012-04-30,10-K,2015-06-18,338.0,506000000.0,513.0,788.0,,142074000.0,2069.0,3477.0,1408.0
1970-01-01 00:00:00.000000017,BF-B,Brown-Forman Corporation,2013-04-30,10-K,2016-06-16,204.0,999000000.0,591.0,898.0,,213707000.0,1628.0,3626.0,1998.0
1970-01-01 00:00:00.000000021,BF-B,Brown-Forman Corporation,2014-04-30,10-K,2017-06-15,437.0,997000000.0,659.0,971.0,,426910000.0,2032.0,4103.0,2071.0
1970-01-01 00:00:00.000000025,BF-B,Brown-Forman Corporation,2015-04-30,10-K,2018-06-13,370.0,993000000.0,684.0,1027.0,,521749000.0,1905.0,4188.0,2283.0
1970-01-01 00:00:00.000000029,BF-B,Brown-Forman Corporation,2016-04-30,10-K,2019-06-13,263.0,1230000000.0,1067.0,1533.0,,494353000.0,1562.0,4183.0,2621.0
1970-01-01 00:00:00.000000033,BF-B,Brown-Forman Corporation,2017-04-30,10-K,2020-06-19,182.0,1938000000.0,669.0,1010.0,2994000000.0,480106000.0,1370.0,4625.0,3255.0
1970-01-01 00:00:00.000000037,BF-B,Brown-Forman Corporation,2018-04-30,10-K,2021-06-21,239.0,2341000000.0,717.0,1048.0,3248000000.0,481001000.0,1316.0,4976.0,3660.0
1970-01-01 00:00:00.000000041,BF-B,Brown-Forman Corporation,2019-04-30,10-K,2022-06-17,307.0,2290000000.0,835.0,1144.0,3324000000.0,477172000.0,1647.0,5139.0,3492.0
1970-01-01 00:00:00.000000045,BF-B,Brown-Forman Corporation,2020-04-30,10-K,2023-06-16,675.0,2269000000.0,827.0,1091.0,3363000000.0,478209000.0,1975.0,5766.0,3791.0
1970-01-01 00:00:00.000000049,BF-B,Brown-Forman Corporation,2021-04-30,10-K,2024-06-14,1150.0,2354000000.0,903.0,1166.0,3461000000.0,478729000.0,2656.0,6522.0,3866.0
1970-01-01 00:00:00.000000053,BF-B,Brown-Forman Corporation,2022-04-30,10-K,2025-06-13,868.0,2269000000.0,838.0,1204.0,3933000000.0,479020000.0,2737.0,6373.0,3636.0
1970-01-01 00:00:00.000000056,BF-B,Brown-Forman Corporation,2023-04-30,10-K,2025-06-13,374.0,2678000000.0,783.0,1127.0,4228000000.0,479316000.0,3268.0,7777.0,4509.0
1970-01-01 00:00:00.000000058,BF-B,Brown-Forman Corporation,2024-04-30,10-K,2025-06-13,446.0,2672000000.0,1024.0,1414.0,4178000000.0,472600000.0,3517.0,8166.0,4649.0
1970-01-01 00:00:00.000000059,BF-B,Brown-Forman Corporation,2025-04-30,10-K,2025-06-13,444.0,2421000000.0,869.0,1107.0,3975000000.0,472669000.0,3993.0,8086.0,4093.0
