,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000000,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2020-12-31,10-K,2023-03-01,1556.0,3134000000.0,157.0,2354000000.0,,3789.0,30502.0,18538.0
1970-01-01 00:00:00.000000002,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2021-12-31,10-K,2024-02-27,917.0,3134000000.0,1839.0,5951000000.0,,3789.0,30502.0,18538.0
1970-01-01 00:00:00.000000005,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-09-30,10-K,2024-02-27,,6472000000.0,-563.0,2979000000.0,570276188.0,6640.0,257217.0,241819.0
1970-01-01 00:00:00.000000008,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2022-12-31,10-K,2025-02-24,8980.0,6472000000.0,-1961.0,10968000000.0,570276188.0,6640.0,257217.0,241819.0
1970-01-01 00:00:00.000000011,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2023-12-31,10-K,2026-02-25,,8092000000.0,5047.0,32644000000.0,567762932.0,14044.0,313488.0,288243.0
1970-01-01 00:00:00.000000013,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2024-12-31,10-K,2026-02-25,,10588000000.0,4577.0,26114000000.0,565738933.0,17253.0,377895.0,346915.0
1970-01-01 00:00:00.000000014,APO,"APOLLO GLOBAL MANAGEMENT, INC.",2025-12-31,10-K,2026-02-25,,13364000000.0,3492.0,32049000000.0,578981398.0,23341.0,460949.0,418434.0
