,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-12-31,10-K,2013-02-26,490.0,17498000000.0,1360.0,2771.0,13489000000.0,,13140.0,48348.0,35147.0
1970-01-01 00:00:00.000000022,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-12-31,10-K,2014-02-25,294.0,16811000000.0,1214.0,2663.0,14427000000.0,,13622.0,50455.0,36773.0
1970-01-01 00:00:00.000000032,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-12-31,10-K,2015-02-20,221.0,16516000000.0,1946.0,2782.0,15116000000.0,,14664.0,52223.0,37558.0
1970-01-01 00:00:00.000000042,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2012-12-31,10-K,2016-02-24,278.7,17757000000.0,1259.0,2656.0,14945000000.0,,15237.0,54367.0,39130.0
1970-01-01 00:00:00.000000051,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2013-12-31,10-K,2016-02-24,117.5,18377000000.0,1480.0,2822.5,14813500000.0,,16085.0,56321.0,40328.0
1970-01-01 00:00:00.000000108,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2021-12-31,10-K,2023-02-23,403.4,33454500000.0,,3411.3,16792000000.0,19391700000.0,22433.2,87668.7,64945.2
1970-01-01 00:00:00.000000112,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2022-12-31,10-K,2025-02-13,509.4,36801000000.0,,3482.7,19639500000.0,19391700000.0,23893.4,93403.3,69235.0
1970-01-01 00:00:00.000000115,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2023-12-31,10-K,2026-02-12,330.1,40143200000.0,,3556.0,18982000000.0,19456000000.0,25246.7,96684.0,71355.6
1970-01-01 00:00:00.000000117,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2024-12-31,10-K,2026-02-12,203.0,42643000000.0,,4304.0,19721000000.0,19970000000.0,26944.0,103078.0,76054.0
1970-01-01 00:00:00.000000118,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2025-12-31,10-K,2026-02-12,197.0,47322000000.0,,5319.0,21876000000.0,21702000000.0,31138.0,114460.0,82204.0
