,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000044,BKNG,Booking Holdings Inc.,2015-12-31,10-K,2016-02-17,1477.265,6158443000.0,,3258.907,10743000000.0,8795.469,17420.575,8625.106
1970-01-01 00:00:00.000000051,BKNG,Booking Holdings Inc.,2016-12-31,10-K,2020-02-26,2081.075,6170522000.0,,2906.0,10743000000.0,9820.0,19838.973,9990.293
1970-01-01 00:00:00.000000058,BKNG,Booking Holdings Inc.,2017-12-31,10-K,2021-02-24,2542.0,8810000000.0,,4538.0,12681000000.0,11261.0,25451.0,14187.0
1970-01-01 00:00:00.000000068,BKNG,Booking Holdings Inc.,2018-12-31,10-K,2022-02-23,2624.0,8649000000.0,,5341.0,14527000000.0,8785.0,22687.0,13902.0
1970-01-01 00:00:00.000000074,BKNG,Booking Holdings Inc.,2019-12-31,10-K,2022-02-23,6312.0,7640000000.0,,5345.0,15066000000.0,5933.0,21402.0,15469.0
1970-01-01 00:00:00.000000087,BKNG,Booking Holdings Inc.,2022-12-31,10-K,2026-02-18,12221.0,12485000000.0,,5102.0,17090000000.0,2782.0,25361.0,22579.0
1970-01-01 00:00:00.000000090,BKNG,Booking Holdings Inc.,2023-12-31,10-K,2026-02-18,12107.0,14184000000.0,,5835.0,21365000000.0,-2744.0,24342.0,27086.0
1970-01-01 00:00:00.000000092,BKNG,Booking Holdings Inc.,2024-12-31,10-K,2026-02-18,16164.0,16598000000.0,,7555.0,23739000000.0,-4020.0,27708.0,31728.0
1970-01-01 00:00:00.000000093,BKNG,Booking Holdings Inc.,2025-12-31,10-K,2026-02-18,17203.0,18736000000.0,,8825.0,26917000000.0,-5578.0,29264.0,34842.0
