,ticker,company,end_date,form,filed,long_term_debt,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000003,FOXA,FOX CORPORATION,2018-03-31,10-K,2019-08-09,0.0,2463000000.0,,9594.0,13121.0
1970-01-01 00:00:00.000000005,FOXA,FOX CORPORATION,2018-06-30,10-K,2020-08-10,0.0,10153000000.0,,9594.0,13121.0
1970-01-01 00:00:00.000000010,FOXA,FOX CORPORATION,2019-03-31,10-K,2019-08-09,6751000000.0,2752000000.0,,9947.0,19509.0
1970-01-01 00:00:00.000000014,FOXA,FOX CORPORATION,2019-06-30,10-K,2021-08-10,6751000000.0,11389000000.0,,9947.0,19509.0
1970-01-01 00:00:00.000000019,FOXA,FOX CORPORATION,2020-03-31,10-K,2020-08-10,7946000000.0,3440000000.0,12303000000.0,10094.0,21750.0
1970-01-01 00:00:00.000000023,FOXA,FOX CORPORATION,2020-06-30,10-K,2022-08-12,7946000000.0,12303000000.0,12303000000.0,10094.0,21750.0
1970-01-01 00:00:00.000000026,FOXA,FOX CORPORATION,2021-03-31,10-K,2021-08-10,7951000000.0,3215000000.0,12909000000.0,11123.0,22926.0
1970-01-01 00:00:00.000000029,FOXA,FOX CORPORATION,2021-06-30,10-K,2023-08-11,7951000000.0,12909000000.0,12909000000.0,11123.0,22926.0
1970-01-01 00:00:00.000000032,FOXA,FOX CORPORATION,2022-06-30,10-K,2024-08-08,7206000000.0,13974000000.0,13974000000.0,11339.0,22185.0
1970-01-01 00:00:00.000000035,FOXA,FOX CORPORATION,2023-06-30,10-K,2025-08-06,7210000000.0,14913000000.0,14913000000.0,10378.0,21866.0
1970-01-01 00:00:00.000000037,FOXA,FOX CORPORATION,2024-06-30,10-K,2025-08-06,7197000000.0,,13980000000.0,10714.0,21972.0
1970-01-01 00:00:00.000000038,FOXA,FOX CORPORATION,2025-06-30,10-K,2025-08-06,6602000000.0,,16300000000.0,11962.0,23195.0
