,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000008,ACN,Accenture plc,2009-08-31,10-K,2012-10-30,4541.662,1589.963,2643.865,23170968000.0,2835.221,12255.734
1970-01-01 00:00:00.000000018,ACN,Accenture plc,2010-08-31,10-K,2013-10-29,4838.292,1780.656,2914.845,23094078000.0,2835.746,12835.253
1970-01-01 00:00:00.000000028,ACN,Accenture plc,2011-08-31,10-K,2014-10-24,5701.078,2277.677,3470.457,27352914000.0,3878.951,15731.51
1970-01-01 00:00:00.000000038,ACN,Accenture plc,2012-08-31,10-K,2015-10-30,6640.526,2553.51,3871.548,29777985000.0,4145.833,16665.415
1970-01-01 00:00:00.000000048,ACN,Accenture plc,2013-08-31,10-K,2016-10-28,5631.885,3281.878,4338.68,30394285000.0,4960.186,16867.049
1970-01-01 00:00:00.000000058,ACN,Accenture plc,2014-08-31,10-K,2017-10-26,4921.305,2941.498,4300.512,31874678000.0,5732.035,17930.452
1970-01-01 00:00:00.000000068,ACN,Accenture plc,2015-08-31,10-K,2018-10-24,4360.766,3053.581,4435.869,32914424000.0,6133.725,18202.647
1970-01-01 00:00:00.000000078,ACN,Accenture plc,2016-08-31,10-K,2019-10-29,4905.609,4111.892,4810.445,34797661000.0,7555.262,20609.004
1970-01-01 00:00:00.000000088,ACN,Accenture plc,2017-08-31,10-K,2020-10-22,4126.86,3445.149,5191.402,36176841000.0,8949.477,22689.89
1970-01-01 00:00:00.000000093,ACN,Accenture plc,2018-05-31,10-K,2018-10-24,5061.36,1043.02,1619.726,10838854000.0,10364.753,24449.083
1970-01-01 00:00:00.000000097,ACN,Accenture plc,2018-08-31,10-K,2020-10-22,5061.36,4059.907,5898.779,40992534000.0,10364.753,24449.083
1970-01-01 00:00:00.000000102,ACN,Accenture plc,2019-05-31,10-K,2019-10-29,6126.853,1249.516,1717.943,11099688000.0,14409.008,29789.88
1970-01-01 00:00:00.000000106,ACN,Accenture plc,2019-08-31,10-K,2021-10-15,6126.853,4779.112,6305.074,43215013000.0,14409.008,29789.88
1970-01-01 00:00:00.000000111,ACN,Accenture plc,2020-05-31,10-K,2020-10-22,8415.33,1228.202,1712.733,10991305000.0,17000.536,37078.593
1970-01-01 00:00:00.000000115,ACN,Accenture plc,2020-08-31,10-K,2022-10-12,8415.33,5107.839,6513.644,44327039000.0,17000.536,37078.593
1970-01-01 00:00:00.000000120,ACN,Accenture plc,2021-05-31,10-K,2021-10-15,8168.174,1549.426,2118.656,13263795000.0,19529.454,43175.843
1970-01-01 00:00:00.000000124,ACN,Accenture plc,2021-08-31,10-K,2023-10-12,8168.174,5906.809,7621.529,50533389000.0,19529.454,43175.843
1970-01-01 00:00:00.000000129,ACN,Accenture plc,2022-05-31,10-K,2022-10-12,7889.833,1786.075,2603.118,16158803000.0,22106.097,47263.39
1970-01-01 00:00:00.000000133,ACN,Accenture plc,2022-08-31,10-K,2024-10-10,7889.833,6877.169,9367.181,61594305000.0,22106.097,47263.39
1970-01-01 00:00:00.000000138,ACN,Accenture plc,2023-05-31,10-K,2023-10-12,9045.032,2009.996,2359.288,16564585000.0,25692.839,51245.305
1970-01-01 00:00:00.000000142,ACN,Accenture plc,2023-08-31,10-K,2025-10-10,9045.032,6871.557,8809.889,64111745000.0,25692.839,51245.305
1970-01-01 00:00:00.000000148,ACN,Accenture plc,2024-05-31,10-K,2025-10-10,5004.469,1932.183,2630.865,16466828000.0,28288.646,55932.363
1970-01-01 00:00:00.000000150,ACN,Accenture plc,2024-08-31,10-K,2025-10-10,5004.469,1684.301,2353.668,16405819000.0,28288.646,55932.363
1970-01-01 00:00:00.000000152,ACN,Accenture plc,2025-02-28,10-K,2025-10-10,11478.729,1788.075,2244.714,16659301000.0,31195.446,65394.897
1970-01-01 00:00:00.000000153,ACN,Accenture plc,2025-05-31,10-K,2025-10-10,11478.729,2197.501,2982.782,17727871000.0,31195.446,65394.897
1970-01-01 00:00:00.000000154,ACN,Accenture plc,2025-08-31,10-K,2025-10-10,11478.729,1413.963,2049.691,17596260000.0,31195.446,65394.897
