,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000008,CCL,Carnival Corporation,2009-11-30,10-K,2012-01-30,538.0,10047000000.0,1790.0,2154.0,13157000000.0,,22039.0,36835.0
1970-01-01 00:00:00.000000022,CCL,Carnival Corporation,2013-11-30,10-K,2014-01-29,462.0,9560000000.0,1078.0,1352.0,15884000000.0,,24556.0,40104.0
1970-01-01 00:00:00.000000034,CCL,Carnival Corporation,2016-11-30,10-K,2017-01-30,603.0,,2779.0,3071.0,16389000000.0,17510000000.0,22597.0,38936.0
1970-01-01 00:00:00.000000041,CCL,Carnival Corporation,2017-11-30,10-K,2021-01-26,395.0,,2606.0,2809.0,17510000000.0,17510000000.0,24216.0,40778.0
1970-01-01 00:00:00.000000044,CCL,Carnival Corporation,2018-11-30,10-K,2021-01-26,982.0,,3152.0,3325.0,18881000000.0,18881000000.0,24443.0,42401.0
1970-01-01 00:00:00.000000060,CCL,Carnival Corporation,2022-11-30,10-K,2025-01-27,4029.0,35615000000.0,-6093.0,-4379.0,,12168000000.0,7065.0,51703.0
1970-01-01 00:00:00.000000064,CCL,Carnival Corporation,2023-11-30,10-K,2026-01-27,2415.0,31339000000.0,-74.0,1956.0,,21593000000.0,6882.0,49120.0
1970-01-01 00:00:00.000000066,CCL,Carnival Corporation,2024-11-30,10-K,2026-01-27,1210.0,28213000000.0,1916.0,3574.0,,25021000000.0,9251.0,49057.0
1970-01-01 00:00:00.000000067,CCL,Carnival Corporation,2025-11-30,10-K,2026-01-27,1928.0,27383000000.0,2760.0,4483.0,,26622000000.0,12284.0,51687.0
