,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,ACGL,Arch Capital Group Ltd.,2009-12-31,10-K,2013-03-01,334.571,876.945,3501622000.0,164285034.0,,15375.79,11052.441
1970-01-01 00:00:00.000000012,ACGL,Arch Capital Group Ltd.,2010-12-31,10-K,2014-03-03,362.74,842.672,3244067000.0,139632225.0,,16279.228,11766.225
1970-01-01 00:00:00.000000022,ACGL,Arch Capital Group Ltd.,2011-12-31,10-K,2015-02-27,351.699,436.163,3063307000.0,134358345.0,4592.074,17105.357,12513.283
1970-01-01 00:00:00.000000027,ACGL,Arch Capital Group Ltd.,2012-09-30,10-K,2013-03-01,371.041,189.656,3482381000.0,133842613.0,5168.878,17816.762,12647.884
1970-01-01 00:00:00.000000032,ACGL,Arch Capital Group Ltd.,2012-12-31,10-K,2016-02-26,371.041,593.397,3482381000.0,133842613.0,5168.878,17816.762,12647.884
1970-01-01 00:00:00.000000035,ACGL,Arch Capital Group Ltd.,2013-09-30,10-K,2014-03-03,434.057,114.825,3526157000.0,133674884.0,5647.496,19557.054,13909.558
1970-01-01 00:00:00.000000039,ACGL,Arch Capital Group Ltd.,2013-12-31,10-K,2017-03-01,434.057,709.731,3526157000.0,133674884.0,5647.496,19557.054,13909.558
1970-01-01 00:00:00.000000043,ACGL,Arch Capital Group Ltd.,2014-12-31,10-K,2018-02-28,485.702,834.355,3988873000.0,127367934.0,6091.714,21967.742,14887.435
1970-01-01 00:00:00.000000046,ACGL,Arch Capital Group Ltd.,2015-12-31,10-K,2018-02-28,553.326,537.738,3936590000.0,122627783.0,6166.542,23138.931,16028.376
1970-01-01 00:00:00.000000049,ACGL,Arch Capital Group Ltd.,2016-12-31,10-K,2019-02-28,842.942,692.738,4463556000.0,368362551.0,8253.718,29372.109,20060.984
1970-01-01 00:00:00.000000052,ACGL,Arch Capital Group Ltd.,2017-12-31,10-K,2020-02-28,606.199,619.278,5627375000.0,392933817.0,9196.602,32051.658,21805.723
1970-01-01 00:00:00.000000055,ACGL,Arch Capital Group Ltd.,2018-12-31,10-K,2021-02-26,646.556,757.971,5450568000.0,402454834.0,9439.827,32218.329,21780.65
1970-01-01 00:00:00.000000057,ACGL,Arch Capital Group Ltd.,2019-06-30,10-K,2021-02-26,726.23,468.954,6925967000.0,405619201.0,11497.371,37885.361,25569.809
1970-01-01 00:00:00.000000058,ACGL,Arch Capital Group Ltd.,2019-09-30,10-K,2021-02-26,726.23,392.453,6925967000.0,405619201.0,11497.371,37885.361,25569.809
1970-01-01 00:00:00.000000061,ACGL,Arch Capital Group Ltd.,2019-12-31,10-K,2022-02-25,726.23,1636.319,6925967000.0,405619201.0,11497.371,37885.361,25569.809
1970-01-01 00:00:00.000000063,ACGL,Arch Capital Group Ltd.,2020-06-30,10-K,2021-02-26,906.448,298.821,8508509000.0,406720642.0,13105.886,43282.297,29294.856
1970-01-01 00:00:00.000000064,ACGL,Arch Capital Group Ltd.,2020-09-30,10-K,2021-02-26,906.448,419.039,8508509000.0,406720642.0,13105.886,43282.297,29294.856
1970-01-01 00:00:00.000000067,ACGL,Arch Capital Group Ltd.,2020-12-31,10-K,2023-02-24,906.448,1405.521,8508509000.0,406720642.0,13105.886,43282.297,29294.856
1970-01-01 00:00:00.000000070,ACGL,Arch Capital Group Ltd.,2021-12-31,10-K,2024-02-23,859.0,2157.0,9248000000.0,378900000.0,13546.0,45101.0,31546.0
1970-01-01 00:00:00.000000073,ACGL,Arch Capital Group Ltd.,2022-12-31,10-K,2025-02-27,855.0,1476.0,9613000000.0,370400000.0,12910.0,47990.0,35069.0
1970-01-01 00:00:00.000000076,ACGL,Arch Capital Group Ltd.,2023-12-31,10-K,2026-02-26,917.0,4443.0,13634000000.0,373400000.0,18353.0,58906.0,40551.0
1970-01-01 00:00:00.000000078,ACGL,Arch Capital Group Ltd.,2024-12-31,10-K,2026-02-26,979.0,4312.0,17440000000.0,376400000.0,20820.0,70906.0,50086.0
1970-01-01 00:00:00.000000079,ACGL,Arch Capital Group Ltd.,2025-12-31,10-K,2026-02-26,993.0,4399.0,19929000000.0,359000000.0,24206.0,79241.0,55035.0
