,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000027,AOS,A. O. Smith Corporation,2013-12-31,10-K,2017-02-17,380.7,191900000.0,169.7,299.9,,1328.7,2391.5,1062.8
1970-01-01 00:00:00.000000034,AOS,A. O. Smith Corporation,2014-12-31,10-K,2018-02-16,319.4,223800000.0,207.8,345.3,,1381.3,2498.1,1134.0
1970-01-01 00:00:00.000000044,AOS,A. O. Smith Corporation,2015-12-31,10-K,2019-02-15,323.6,249000000.0,282.9,452.9,,1442.3,2629.2,1186.9
1970-01-01 00:00:00.000000054,AOS,A. O. Smith Corporation,2016-12-31,10-K,2020-02-24,330.4,323600000.0,326.5,515.0,2685900000.0,1511.4,2891.0,1375.7
1970-01-01 00:00:00.000000059,AOS,A. O. Smith Corporation,2017-09-30,10-K,2018-02-16,346.6,410400000.0,93.7,577.9,2996700000.0,1644.9,3197.4,1552.5
1970-01-01 00:00:00.000000063,AOS,A. O. Smith Corporation,2017-12-31,10-K,2020-02-24,346.6,410400000.0,296.5,577.9,2996700000.0,1644.9,3197.4,1552.5
1970-01-01 00:00:00.000000068,AOS,A. O. Smith Corporation,2018-09-30,10-K,2019-02-15,259.7,221400000.0,104.6,613.4,754100000.0,1717.0,3071.5,1354.5
1970-01-01 00:00:00.000000072,AOS,A. O. Smith Corporation,2018-12-31,10-K,2021-02-12,259.7,221400000.0,444.2,613.4,3187900000.0,1717.0,3071.5,1354.5
1970-01-01 00:00:00.000000077,AOS,A. O. Smith Corporation,2019-09-30,10-K,2020-02-24,374.0,284000000.0,87.3,529.1,728200000.0,1666.8,3058.0,1391.2
1970-01-01 00:00:00.000000081,AOS,A. O. Smith Corporation,2019-12-31,10-K,2022-02-11,374.0,284000000.0,370.0,529.1,2992700000.0,1666.8,3058.0,1391.2
1970-01-01 00:00:00.000000084,AOS,A. O. Smith Corporation,2020-09-30,10-K,2021-02-12,573.1,113200000.0,105.4,503.2,760000000.0,1848.3,3160.7,1312.4
1970-01-01 00:00:00.000000087,AOS,A. O. Smith Corporation,2020-12-31,10-K,2023-02-14,573.1,113200000.0,344.9,503.2,2895300000.0,1848.3,3160.7,1312.4
1970-01-01 00:00:00.000000090,AOS,A. O. Smith Corporation,2021-12-31,10-K,2024-02-13,443.3,196700000.0,487.1,682.0,3538900000.0,1832.2,3474.4,1642.2
1970-01-01 00:00:00.000000092,AOS,A. O. Smith Corporation,2022-12-31,10-K,2024-02-13,391.2,344500000.0,235.7,362.0,3753900000.0,1747.7,3332.3,1584.6
1970-01-01 00:00:00.000000094,AOS,A. O. Smith Corporation,2023-12-31,10-K,2026-02-10,339.9,127300000.0,556.6,745.5,3852800000.0,1844.4,3213.9,1369.5
1970-01-01 00:00:00.000000095,AOS,A. O. Smith Corporation,2024-12-31,10-K,2026-02-10,239.6,193200000.0,533.6,707.7,3818100000.0,1883.5,3240.0,1356.5
1970-01-01 00:00:00.000000096,AOS,A. O. Smith Corporation,2025-12-31,10-K,2026-02-10,174.5,155000000.0,546.2,728.6,3830200000.0,1858.0,3142.8,1284.8
