,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000008,ANET,"ARISTA NETWORKS, INC.",2013-12-31,10-K,2017-02-17,113.664,42.46,66.148,,31927000.0,77.732,364.52,286.788
1970-01-01 00:00:00.000000016,ANET,"ARISTA NETWORKS, INC.",2014-12-31,10-K,2018-02-20,240.031,86.85,125.513,,65528000.0,555.658,811.023,255.365
1970-01-01 00:00:00.000000026,ANET,"ARISTA NETWORKS, INC.",2015-12-31,10-K,2019-02-15,687.326,121.102,149.308,,68132000.0,788.152,1159.89,371.738
1970-01-01 00:00:00.000000036,ANET,"ARISTA NETWORKS, INC.",2016-12-31,10-K,2020-02-14,567.923,184.189,243.409,1129167000.0,70811000.0,1107.82,1729.007,621.187
1970-01-01 00:00:00.000000046,ANET,"ARISTA NETWORKS, INC.",2017-12-31,10-K,2021-02-19,859.192,423.201,470.272,1646186000.0,73706000.0,1661.914,2460.86,798.946
1970-01-01 00:00:00.000000056,ANET,"ARISTA NETWORKS, INC.",2018-12-31,10-K,2022-02-15,649.95,328.115,273.347,2151369000.0,75668000.0,2143.389,3081.983,938.594
1970-01-01 00:00:00.000000066,ANET,"ARISTA NETWORKS, INC.",2019-12-31,10-K,2023-02-14,1111.286,859.867,805.774,2410706000.0,76389000.0,2894.686,4185.29,1290.604
1970-01-01 00:00:00.000000073,ANET,"ARISTA NETWORKS, INC.",2020-12-31,10-K,2024-02-13,893.219,634.557,699.684,2317512000.0,304696000.0,3320.291,4738.919,1418.628
1970-01-01 00:00:00.000000077,ANET,"ARISTA NETWORKS, INC.",2021-12-31,10-K,2025-02-19,620.813,840.854,924.739,2948037000.0,307681000.0,3978.6,5734.429,1755.829
1970-01-01 00:00:00.000000081,ANET,"ARISTA NETWORKS, INC.",2022-12-31,10-K,2026-02-17,671.707,1352.446,1527.106,4381310000.0,306890000.0,4885.8,6775.41,1889.59
1970-01-01 00:00:00.000000084,ANET,"ARISTA NETWORKS, INC.",2023-12-31,10-K,2026-02-17,1938.606,2087.3,2257.3,5860200000.0,1248982000.0,7219.0,9956.635,2737.576
1970-01-01 00:00:00.000000086,ANET,"ARISTA NETWORKS, INC.",2024-12-31,10-K,2026-02-17,2762.4,2852.1,2944.6,7003100000.0,1261300000.0,9994.8,14043.9,4049.1
1970-01-01 00:00:00.000000087,ANET,"ARISTA NETWORKS, INC.",2025-12-31,10-K,2026-02-17,1963.9,3511.4,3856.1,9005700000.0,1256500000.0,12370.5,19448.6,7078.1
