,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000004,AMP,"AMERIPRISE FINANCIAL, INC.",2008-12-31,10-K,2012-02-24,6228.0,2027000000.0,-36.0,7097000000.0,6178.0,95577.0,89110.0
1970-01-01 00:00:00.000000011,AMP,"AMERIPRISE FINANCIAL, INC.",2009-12-31,10-K,2013-02-27,3097.0,,237.0,7538000000.0,9269.0,113770.0,103898.0
1970-01-01 00:00:00.000000017,AMP,"AMERIPRISE FINANCIAL, INC.",2010-12-31,10-K,2013-02-27,2861.0,,280.0,9582000000.0,10725.0,131214.0,119929.0
1970-01-01 00:00:00.000000019,AMP,"AMERIPRISE FINANCIAL, INC.",2011-12-31,10-K,2012-02-24,2781.0,,1029.0,10239000000.0,10255.0,133986.0,123025.0
1970-01-01 00:00:00.000000026,AMP,"AMERIPRISE FINANCIAL, INC.",2012-12-31,10-K,2016-02-25,2371.0,,1029.0,10259000000.0,9092.0,134729.0,125017.0
1970-01-01 00:00:00.000000030,AMP,"AMERIPRISE FINANCIAL, INC.",2013-12-31,10-K,2017-02-23,2632.0,,1334.0,11230000000.0,8192.0,144576.0,135344.0
1970-01-01 00:00:00.000000033,AMP,"AMERIPRISE FINANCIAL, INC.",2014-12-31,10-K,2017-02-23,2638.0,,1619.0,12296000000.0,8124.0,148810.0,139505.0
1970-01-01 00:00:00.000000036,AMP,"AMERIPRISE FINANCIAL, INC.",2015-12-31,10-K,2018-02-23,2357.0,,1562.0,12200000000.0,7191.0,145339.0,136960.0
1970-01-01 00:00:00.000000039,AMP,"AMERIPRISE FINANCIAL, INC.",2016-12-31,10-K,2019-02-27,2318.0,,1313.0,11839000000.0,6292.0,139821.0,133529.0
