,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000001,AES,AES CORP,2007-12-31,10-K,2010-02-26,2035.0,-95.0,,662786745.0,3669.0,34806.0
1970-01-01 00:00:00.000000004,AES,AES CORP,2008-12-31,10-K,2011-02-28,865.0,1234.0,,662786745.0,3669.0,34806.0
1970-01-01 00:00:00.000000011,AES,AES CORP,2009-12-31,10-K,2013-02-27,1745.0,658.0,13110000000.0,667679913.0,4675.0,39535.0
1970-01-01 00:00:00.000000021,AES,AES CORP,2010-12-31,10-K,2014-02-26,2360.0,9.0,15443000000.0,787607240.0,6473.0,40511.0
1970-01-01 00:00:00.000000031,AES,AES CORP,2011-12-31,10-K,2015-02-26,1624.0,58.0,16098000000.0,765186316.0,5946.0,45346.0
1970-01-01 00:00:00.000000041,AES,AES CORP,2012-12-31,10-K,2016-02-24,1900.0,-912.0,17164000000.0,744263855.0,4569.0,41830.0
1970-01-01 00:00:00.000000046,AES,AES CORP,2013-09-30,10-K,2014-02-26,1642.0,71.0,15891000000.0,722508342.0,4330.0,40411.0
1970-01-01 00:00:00.000000050,AES,AES CORP,2013-12-31,10-K,2016-02-24,1642.0,114.0,15891000000.0,722508342.0,4330.0,40411.0
1970-01-01 00:00:00.000000056,AES,AES CORP,2014-09-30,10-K,2015-02-26,1517.0,488.0,16124000000.0,703851297.0,4272.0,38562.0
1970-01-01 00:00:00.000000060,AES,AES CORP,2014-12-31,10-K,2017-02-27,1517.0,769.0,16124000000.0,703851297.0,4272.0,38562.0
1970-01-01 00:00:00.000000067,AES,AES CORP,2015-09-30,10-K,2016-02-24,1218.0,180.0,11260000000.0,666808790.0,,36545.0
1970-01-01 00:00:00.000000071,AES,AES CORP,2015-12-31,10-K,2018-02-27,1218.0,306.0,11260000000.0,666808790.0,3149.0,36545.0
1970-01-01 00:00:00.000000077,AES,AES CORP,2016-09-30,10-K,2017-02-27,1244.0,175.0,3542000000.0,659182232.0,2794.0,36124.0
1970-01-01 00:00:00.000000081,AES,AES CORP,2016-12-31,10-K,2019-02-27,1244.0,-1130.0,10281000000.0,659182232.0,2794.0,36124.0
1970-01-01 00:00:00.000000086,AES,AES CORP,2017-09-30,10-K,2018-02-27,949.0,152.0,2693000000.0,660388128.0,2465.0,33112.0
1970-01-01 00:00:00.000000090,AES,AES CORP,2017-12-31,10-K,2020-02-28,949.0,-1161.0,10530000000.0,660388128.0,2465.0,33112.0
1970-01-01 00:00:00.000000095,AES,AES CORP,2018-09-30,10-K,2019-02-27,1166.0,101.0,2837000000.0,662298096.0,3208.0,32521.0
1970-01-01 00:00:00.000000099,AES,AES CORP,2018-12-31,10-K,2021-02-25,1166.0,1203.0,10736000000.0,662298096.0,3208.0,32521.0
1970-01-01 00:00:00.000000104,AES,AES CORP,2019-09-30,10-K,2020-02-28,1029.0,210.0,2625000000.0,663952656.0,2996.0,33648.0
1970-01-01 00:00:00.000000108,AES,AES CORP,2019-12-31,10-K,2022-02-28,1029.0,303.0,10189000000.0,663952656.0,2996.0,33648.0
1970-01-01 00:00:00.000000113,AES,AES CORP,2020-09-30,10-K,2021-02-25,1089.0,-333.0,2545000000.0,665370128.0,2634.0,34603.0
1970-01-01 00:00:00.000000117,AES,AES CORP,2020-12-31,10-K,2023-03-01,1089.0,46.0,9660000000.0,665370128.0,2634.0,34603.0
1970-01-01 00:00:00.000000122,AES,AES CORP,2021-09-30,10-K,2022-02-28,943.0,343.0,3036000000.0,666793625.0,2798.0,32963.0
1970-01-01 00:00:00.000000126,AES,AES CORP,2021-12-31,10-K,2024-02-26,943.0,-409.0,11141000000.0,666793625.0,2798.0,32963.0
1970-01-01 00:00:00.000000129,AES,AES CORP,2022-09-30,10-K,2023-03-01,1374.0,421.0,3627000000.0,668743464.0,2437.0,38363.0
1970-01-01 00:00:00.000000132,AES,AES CORP,2022-12-31,10-K,2025-03-11,1374.0,-546.0,12617000000.0,668743464.0,2437.0,38363.0
1970-01-01 00:00:00.000000135,AES,AES CORP,2023-12-31,10-K,2026-03-02,1426.0,249.0,12668000000.0,669693234.0,2488.0,44799.0
1970-01-01 00:00:00.000000136,AES,AES CORP,2024-06-30,10-K,2025-03-11,1773.0,276.0,2942000000.0,710823239.0,3175.0,47915.0
1970-01-01 00:00:00.000000137,AES,AES CORP,2024-09-30,10-K,2025-03-11,1919.0,504.0,3289000000.0,711027043.0,3378.0,50265.0
1970-01-01 00:00:00.000000139,AES,AES CORP,2024-12-31,10-K,2026-03-02,1524.0,1679.0,12278000000.0,711074269.0,3644.0,47406.0
1970-01-01 00:00:00.000000140,AES,AES CORP,2025-12-31,10-K,2026-03-02,1382.0,910.0,12233000000.0,712201777.0,4063.0,51768.0
