,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000008,ADP,"AUTOMATIC DATA PROCESSING, INC.",2009-06-30,10-K,2012-08-20,2265.3,45500000.0,1332.6,8838400000.0,,501700000.0,5322.6,25351.7,20029.1
1970-01-01 00:00:00.000000018,ADP,"AUTOMATIC DATA PROCESSING, INC.",2010-06-30,10-K,2013-08-19,1643.3,42600000.0,1211.4,8927700000.0,,492000000.0,5478.9,26862.2,21383.3
1970-01-01 00:00:00.000000027,ADP,"AUTOMATIC DATA PROCESSING, INC.",2011-06-30,10-K,2013-08-19,1389.4,37000000.0,1254.2,9833000000.0,,490800000.0,6010.4,34112.3,28227.9
1970-01-01 00:00:00.000000079,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-03-31,10-K,2017-08-04,2780.4,,587.9,3410800000.0,12372000000.0,445000000.0,3977.0,38886.9,33203.0
1970-01-01 00:00:00.000000083,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-06-30,10-K,2019-08-09,2780.4,,1787.8,12372000000.0,12372000000.0,445000000.0,3977.0,38886.9,33203.0
1970-01-01 00:00:00.000000088,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-03-31,10-K,2018-08-03,2170.0,,643.1,3693000000.0,13274200000.0,438800000.0,4735.9,38849.1,34113.2
1970-01-01 00:00:00.000000092,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-06-30,10-K,2020-08-05,2170.0,,1884.9,13274200000.0,13274200000.0,438800000.0,4735.9,38849.1,34113.2
1970-01-01 00:00:00.000000097,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-03-31,10-K,2019-08-09,1949.2,,753.7,3847400000.0,14110200000.0,434200000.0,5399.9,41887.7,36487.8
1970-01-01 00:00:00.000000101,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-06-30,10-K,2021-08-04,1949.2,,2292.8,14110200000.0,14110200000.0,434200000.0,5399.9,41887.7,36487.8
1970-01-01 00:00:00.000000104,ADP,"AUTOMATIC DATA PROCESSING, INC.",2020-03-31,10-K,2020-08-05,1908.5,,820.9,4047800000.0,14589800000.0,429900000.0,5752.2,39165.5,33413.3
1970-01-01 00:00:00.000000107,ADP,"AUTOMATIC DATA PROCESSING, INC.",2020-06-30,10-K,2022-08-03,1908.5,,2466.5,14589800000.0,14589800000.0,429900000.0,5752.2,39165.5,33413.3
1970-01-01 00:00:00.000000110,ADP,"AUTOMATIC DATA PROCESSING, INC.",2021-06-30,10-K,2023-08-03,2575.2,,2598.5,15005400000.0,15005400000.0,423700000.0,5670.1,48772.5,43102.4
1970-01-01 00:00:00.000000113,ADP,"AUTOMATIC DATA PROCESSING, INC.",2022-06-30,10-K,2024-08-07,1436.3,,2948.9,16498300000.0,16498300000.0,416100000.0,3225.3,63068.2,59842.9
1970-01-01 00:00:00.000000116,ADP,"AUTOMATIC DATA PROCESSING, INC.",2023-06-30,10-K,2025-08-06,2083.5,,3412.0,18012200000.0,18012200000.0,412100000.0,3509.1,50971.0,47461.9
1970-01-01 00:00:00.000000118,ADP,"AUTOMATIC DATA PROCESSING, INC.",2024-06-30,10-K,2025-08-06,2913.4,,3752.0,19202600000.0,19202600000.0,408100000.0,4547.6,54362.7,49815.1
1970-01-01 00:00:00.000000119,ADP,"AUTOMATIC DATA PROCESSING, INC.",2025-06-30,10-K,2025-08-06,3347.8,,4079.7,20560900000.0,20560900000.0,405300000.0,6188.0,53369.3,47181.3
