,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,revenue,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000000,DOW,Dow Inc.,2017-12-31,10-K,2020-02-07,6189.0,19591000000.0,49604000000.0,31515.0,83699.0
1970-01-01 00:00:00.000000002,DOW,Dow Inc.,2018-12-31,10-K,2021-02-05,2724.0,19591000000.0,49604000000.0,32483.0,83699.0
1970-01-01 00:00:00.000000005,DOW,Dow Inc.,2019-12-31,10-K,2022-02-04,2367.0,16410000000.0,42951000000.0,13541.0,60524.0
1970-01-01 00:00:00.000000008,DOW,Dow Inc.,2020-12-31,10-K,2023-02-01,5104.0,16951000000.0,38542000000.0,12435.0,61470.0
1970-01-01 00:00:00.000000011,DOW,Dow Inc.,2021-12-31,10-K,2024-01-31,2988.0,14511000000.0,54968000000.0,18165.0,62990.0
1970-01-01 00:00:00.000000014,DOW,Dow Inc.,2022-12-31,10-K,2025-02-04,3886.0,15060000000.0,56902000000.0,20718.0,60603.0
1970-01-01 00:00:00.000000017,DOW,Dow Inc.,2023-12-31,10-K,2026-02-03,2987.0,,44622000000.0,18607.0,57967.0
1970-01-01 00:00:00.000000019,DOW,Dow Inc.,2024-12-31,10-K,2026-02-03,2189.0,,42964000000.0,17355.0,57312.0
1970-01-01 00:00:00.000000020,DOW,Dow Inc.,2025-12-31,10-K,2026-02-03,3816.0,,39968000000.0,16008.0,58538.0
