,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000004,AMCR,AMCOR PLC,2018-03-31,10-K,2019-09-03,620.8,3674500000.0,69.1,993.9,2364100000.0,9319100000.0,626.6,9057.5,8362.1
1970-01-01 00:00:00.000000006,AMCR,AMCOR PLC,2018-06-30,10-K,2020-08-27,620.8,3674500000.0,575.2,993.9,2452800000.0,9319100000.0,626.6,9057.5,8362.1
1970-01-01 00:00:00.000000011,AMCR,AMCOR PLC,2019-03-31,10-K,2019-09-03,601.6,,112.6,792.0,2312300000.0,9458000000.0,5609.0,17165.0,11490.3
1970-01-01 00:00:00.000000015,AMCR,AMCOR PLC,2019-06-30,10-K,2021-08-24,601.6,5314400000.0,430.0,792.0,2600500000.0,9458000000.0,5609.0,17165.0,11490.3
1970-01-01 00:00:00.000000018,AMCR,AMCOR PLC,2020-03-31,10-K,2020-08-27,743.0,,181.5,994.0,3141000000.0,12468000000.0,4626.0,16442.0,11755.0
1970-01-01 00:00:00.000000021,AMCR,AMCOR PLC,2020-06-30,10-K,2022-08-18,743.0,,612.0,994.0,3142700000.0,12468000000.0,4626.0,16442.0,11755.0
1970-01-01 00:00:00.000000029,AMCR,AMCOR PLC,2023-06-30,10-K,2024-08-16,689.0,,1048.0,1508.0,3443000000.0,14694000000.0,4026.0,17003.0,12913.0
1970-01-01 00:00:00.000000032,AMCR,AMCOR PLC,2023-12-31,10-K,2025-08-15,588.0,,134.0,1214.0,3251000000.0,13640000000.0,3881.0,16524.0,12571.0
1970-01-01 00:00:00.000000033,AMCR,AMCOR PLC,2024-03-31,10-K,2025-08-15,588.0,,187.0,1214.0,3411000000.0,13640000000.0,3881.0,16524.0,12571.0
1970-01-01 00:00:00.000000035,AMCR,AMCOR PLC,2024-06-30,10-K,2025-08-15,588.0,,257.0,1214.0,3535000000.0,13640000000.0,3881.0,16524.0,12571.0
1970-01-01 00:00:00.000000037,AMCR,AMCOR PLC,2024-12-31,10-K,2025-08-15,827.0,,163.0,1009.0,3241000000.0,15009000000.0,11728.0,37066.0,25326.0
1970-01-01 00:00:00.000000038,AMCR,AMCOR PLC,2025-03-31,10-K,2025-08-15,827.0,,196.0,1009.0,3333000000.0,15009000000.0,11728.0,37066.0,25326.0
1970-01-01 00:00:00.000000039,AMCR,AMCOR PLC,2025-06-30,10-K,2025-08-15,827.0,,-39.0,1009.0,5082000000.0,15009000000.0,11728.0,37066.0,25326.0
