,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000051,CHD,"CHURCH & DWIGHT CO., INC.",2013-12-31,10-K,2017-02-24,496.9,649500000.0,92.2,622.2,,2299.9,4237.3,1959.7
1970-01-01 00:00:00.000000060,CHD,"CHURCH & DWIGHT CO., INC.",2014-12-31,10-K,2017-02-24,423.0,939900000.0,106.6,641.2,,2101.9,4359.2,2257.3
1970-01-01 00:00:00.000000080,CHD,"CHURCH & DWIGHT CO., INC.",2016-12-31,10-K,2019-02-21,187.8,,110.4,724.2,3493100000.0,1977.9,4354.1,2376.2
1970-01-01 00:00:00.000000091,CHD,"CHURCH & DWIGHT CO., INC.",2017-12-31,10-K,2021-02-18,278.9,2103400000.0,743.4,732.7,3776200000.0,2218.0,6014.8,3796.8
1970-01-01 00:00:00.000000101,CHD,"CHURCH & DWIGHT CO., INC.",2018-12-31,10-K,2022-02-17,316.7,2105300000.0,568.6,791.7,4145900000.0,2453.8,6069.2,3615.4
1970-01-01 00:00:00.000000111,CHD,"CHURCH & DWIGHT CO., INC.",2019-12-31,10-K,2023-02-16,155.7,,615.9,840.2,4357700000.0,2667.8,6657.4,3989.6
1970-01-01 00:00:00.000000118,CHD,"CHURCH & DWIGHT CO., INC.",2020-12-31,10-K,2024-02-15,183.1,1812500000.0,785.9,1029.7,4895800000.0,3020.4,7414.5,4394.1
1970-01-01 00:00:00.000000122,CHD,"CHURCH & DWIGHT CO., INC.",2021-12-31,10-K,2025-02-13,240.6,2310100000.0,827.5,1079.1,5190100000.0,3233.2,7996.5,4763.3
1970-01-01 00:00:00.000000126,CHD,"CHURCH & DWIGHT CO., INC.",2022-12-31,10-K,2026-02-12,270.3,2599500000.0,413.9,597.8,5375600000.0,3489.9,8345.6,4855.7
1970-01-01 00:00:00.000000129,CHD,"CHURCH & DWIGHT CO., INC.",2023-12-31,10-K,2026-02-12,344.5,2402100000.0,755.6,1057.4,5867900000.0,3855.4,8569.2,4713.8
1970-01-01 00:00:00.000000131,CHD,"CHURCH & DWIGHT CO., INC.",2024-12-31,10-K,2026-02-12,964.1,2204600000.0,585.3,807.1,6107100000.0,4360.8,8883.1,4522.3
1970-01-01 00:00:00.000000132,CHD,"CHURCH & DWIGHT CO., INC.",2025-12-31,10-K,2026-02-12,409.0,2205100000.0,736.8,1077.6,6203200000.0,4002.2,8912.4,4910.2
