,ticker,company,end_date,form,filed,long_term_debt,net_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000089,ALL,ALLSTATE CORP,2018-12-31,10-K,2021-02-22,6451000000.0,2160.0,39815000000.0,332000000.0,21312.0,112249.0,90937.0
1970-01-01 00:00:00.000000094,ALL,ALLSTATE CORP,2019-09-30,10-K,2020-02-21,6631000000.0,4847.0,11069000000.0,319000000.0,25998.0,119950.0,93952.0
1970-01-01 00:00:00.000000098,ALL,ALLSTATE CORP,2019-12-31,10-K,2022-02-18,6631000000.0,4847.0,41541000000.0,319000000.0,25998.0,119950.0,93952.0
1970-01-01 00:00:00.000000103,ALL,ALLSTATE CORP,2020-09-30,10-K,2021-02-22,7825000000.0,5576.0,11500000000.0,304000000.0,30217.0,125987.0,95770.0
1970-01-01 00:00:00.000000107,ALL,ALLSTATE CORP,2020-12-31,10-K,2023-02-16,7825000000.0,5576.0,41909000000.0,304000000.0,30217.0,125987.0,95770.0
1970-01-01 00:00:00.000000112,ALL,ALLSTATE CORP,2021-09-30,10-K,2022-02-18,7976000000.0,1614.0,12480000000.0,281000000.0,24944.0,99440.0,74313.0
1970-01-01 00:00:00.000000116,ALL,ALLSTATE CORP,2021-12-31,10-K,2024-02-21,7976000000.0,1614.0,50601000000.0,281000000.0,24944.0,99440.0,74313.0
1970-01-01 00:00:00.000000121,ALL,ALLSTATE CORP,2022-09-30,10-K,2023-02-16,7964000000.0,-1289.0,13208000000.0,263000000.0,17488.0,97989.0,80626.0
1970-01-01 00:00:00.000000125,ALL,ALLSTATE CORP,2022-12-31,10-K,2025-02-24,7964000000.0,-1289.0,51411000000.0,263000000.0,17488.0,97989.0,80626.0
1970-01-01 00:00:00.000000130,ALL,ALLSTATE CORP,2023-09-30,10-K,2024-02-21,7942000000.0,-188.0,14497000000.0,262000000.0,17770.0,103362.0,85732.0
1970-01-01 00:00:00.000000134,ALL,ALLSTATE CORP,2023-12-31,10-K,2026-02-20,7942000000.0,-188.0,57094000000.0,262000000.0,17770.0,103362.0,85732.0
1970-01-01 00:00:00.000000140,ALL,ALLSTATE CORP,2024-09-30,10-K,2026-02-20,8085000000.0,4667.0,16627000000.0,265000000.0,21442.0,111617.0,90250.0
1970-01-01 00:00:00.000000142,ALL,ALLSTATE CORP,2024-12-31,10-K,2026-02-20,8085000000.0,4667.0,16506000000.0,265000000.0,21442.0,111617.0,90250.0
1970-01-01 00:00:00.000000144,ALL,ALLSTATE CORP,2025-06-30,10-K,2026-02-20,7490000000.0,10282.0,16633000000.0,260000000.0,30610.0,119758.0,89169.0
1970-01-01 00:00:00.000000145,ALL,ALLSTATE CORP,2025-09-30,10-K,2026-02-20,7490000000.0,10282.0,17255000000.0,260000000.0,30610.0,119758.0,89169.0
1970-01-01 00:00:00.000000146,ALL,ALLSTATE CORP,2025-12-31,10-K,2026-02-20,7490000000.0,10282.0,17345000000.0,260000000.0,30610.0,119758.0,89169.0
