,ticker,company,end_date,form,filed,long_term_debt,net_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000000,ALL,ALLSTATE CORP,2007-12-31,10-K,2010-02-25,5659000000.0,,36769000000.0,536000000.0,12641.0,134798.0,122125.0
1970-01-01 00:00:00.000000002,ALL,ALLSTATE CORP,2008-12-31,10-K,2011-02-24,5659000000.0,,29394000000.0,536000000.0,12641.0,134798.0,122125.0
1970-01-01 00:00:00.000000005,ALL,ALLSTATE CORP,2009-09-30,10-K,2011-02-24,5910000000.0,854.0,7582000000.0,537000000.0,16692.0,132652.0,115931.0
1970-01-01 00:00:00.000000008,ALL,ALLSTATE CORP,2009-12-31,10-K,2012-02-22,5910000000.0,854.0,32013000000.0,537000000.0,16692.0,132652.0,115931.0
1970-01-01 00:00:00.000000013,ALL,ALLSTATE CORP,2010-09-30,10-K,2011-02-24,5908000000.0,911.0,7908000000.0,533000000.0,19016.0,130500.0,111830.0
1970-01-01 00:00:00.000000017,ALL,ALLSTATE CORP,2010-12-31,10-K,2013-02-20,5908000000.0,911.0,31400000000.0,533000000.0,19016.0,130500.0,111830.0
1970-01-01 00:00:00.000000022,ALL,ALLSTATE CORP,2011-09-30,10-K,2012-02-22,5908000000.0,165.0,8242000000.0,501000000.0,18298.0,125193.0,106867.0
1970-01-01 00:00:00.000000026,ALL,ALLSTATE CORP,2011-12-31,10-K,2014-02-20,5908000000.0,787.0,32654000000.0,501000000.0,18298.0,125193.0,106867.0
1970-01-01 00:00:00.000000031,ALL,ALLSTATE CORP,2012-09-30,10-K,2013-02-20,6057000000.0,723.0,8128000000.0,479000000.0,20580.0,126947.0,106367.0
1970-01-01 00:00:00.000000035,ALL,ALLSTATE CORP,2012-12-31,10-K,2015-02-19,6057000000.0,2306.0,33315000000.0,479000000.0,20580.0,126947.0,106367.0
1970-01-01 00:00:00.000000040,ALL,ALLSTATE CORP,2013-09-30,10-K,2014-02-20,6201000000.0,2280.0,8465000000.0,449000000.0,21480.0,123460.0,102040.0
1970-01-01 00:00:00.000000044,ALL,ALLSTATE CORP,2013-12-31,10-K,2016-02-19,6201000000.0,2280.0,34507000000.0,449000000.0,21480.0,123460.0,102040.0
1970-01-01 00:00:00.000000049,ALL,ALLSTATE CORP,2014-09-30,10-K,2015-02-19,5140000000.0,2850.0,8936000000.0,418000000.0,22304.0,108479.0,86175.0
1970-01-01 00:00:00.000000053,ALL,ALLSTATE CORP,2014-12-31,10-K,2017-02-17,5140000000.0,2850.0,35239000000.0,418000000.0,22304.0,108479.0,86175.0
1970-01-01 00:00:00.000000058,ALL,ALLSTATE CORP,2015-09-30,10-K,2016-02-19,5124000000.0,2171.0,9028000000.0,381000000.0,20025.0,104656.0,84631.0
1970-01-01 00:00:00.000000062,ALL,ALLSTATE CORP,2015-12-31,10-K,2018-02-26,5124000000.0,2171.0,35653000000.0,381000000.0,20025.0,104656.0,84631.0
1970-01-01 00:00:00.000000067,ALL,ALLSTATE CORP,2016-09-30,10-K,2017-02-17,6347000000.0,1877.0,9221000000.0,366000000.0,20573.0,108610.0,88037.0
1970-01-01 00:00:00.000000071,ALL,ALLSTATE CORP,2016-12-31,10-K,2019-02-15,6347000000.0,1877.0,37399000000.0,366000000.0,20573.0,108610.0,88037.0
1970-01-01 00:00:00.000000076,ALL,ALLSTATE CORP,2017-09-30,10-K,2018-02-26,6350000000.0,3554.0,9660000000.0,355000000.0,22551.0,112422.0,89871.0
1970-01-01 00:00:00.000000080,ALL,ALLSTATE CORP,2017-12-31,10-K,2020-02-21,6350000000.0,3554.0,39407000000.0,355000000.0,22551.0,112422.0,89871.0
1970-01-01 00:00:00.000000085,ALL,ALLSTATE CORP,2018-09-30,10-K,2019-02-15,6451000000.0,2160.0,10465000000.0,332000000.0,21312.0,112249.0,90937.0
