,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000040,CTRA,COTERRA ENERGY INC.,2016-12-31,10-K,2020-02-25,498.542,1520530000.0,,-564.945,1155677000.0,1194627000.0,2567.667,5122.569,2554.902
1970-01-01 00:00:00.000000045,CTRA,COTERRA ENERGY INC.,2017-12-31,10-K,2021-02-26,480.047,1521891000.0,,-151.26,1764219000.0,1747293000.0,2523.905,4727.344,2203.439
1970-01-01 00:00:00.000000049,CTRA,COTERRA ENERGY INC.,2018-12-31,10-K,2022-03-01,2.287,1226104000.0,,771.801,2188148000.0,2143716000.0,2088.0,4198.829,2110.67
1970-01-01 00:00:00.000000056,CTRA,COTERRA ENERGY INC.,2019-12-31,10-K,2023-02-27,200.227,1220025000.0,681.0,956.0,2066000000.0,1985000000.0,2151.0,4487.245,2335.758
1970-01-01 00:00:00.000000063,CTRA,COTERRA ENERGY INC.,2020-12-31,10-K,2024-02-23,140.0,1134000000.0,201.0,296.0,1466000000.0,1405000000.0,2216.0,4524.0,2308.0
1970-01-01 00:00:00.000000067,CTRA,COTERRA ENERGY INC.,2021-12-31,10-K,2025-02-25,1036.0,3125000000.0,1158.0,1564.0,3449000000.0,3670000000.0,11738.0,19900.0,8112.0
1970-01-01 00:00:00.000000071,CTRA,COTERRA ENERGY INC.,2022-12-31,10-K,2026-02-27,673.0,2181000000.0,4065.0,5209.0,9051000000.0,9514000000.0,12659.0,20154.0,7484.0
1970-01-01 00:00:00.000000074,CTRA,COTERRA ENERGY INC.,2023-12-31,10-K,2026-02-27,956.0,2161000000.0,1625.0,2154.0,5914000000.0,5684000000.0,13039.0,20415.0,7368.0
1970-01-01 00:00:00.000000076,CTRA,COTERRA ENERGY INC.,2024-12-31,10-K,2026-02-27,2038.0,3535000000.0,1121.0,1389.0,5458000000.0,5461000000.0,13122.0,21625.0,8495.0
1970-01-01 00:00:00.000000077,CTRA,COTERRA ENERGY INC.,2025-12-31,10-K,2026-02-27,114.0,3818000000.0,1717.0,2452.0,7645000000.0,7294000000.0,14838.0,24241.0,9395.0
