,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000008,LYV,"LIVE NATION ENTERTAINMENT, INC.",2010-12-31,10-K,2014-02-24,892.758,1731864000.0,-228.39,-63.7,5063748000.0,175418857.0,1364.416,5195.56
1970-01-01 00:00:00.000000018,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-12-31,10-K,2015-02-26,844.253,,-83.016,18.337,5383998000.0,189536279.0,1461.103,5077.344
1970-01-01 00:00:00.000000028,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-12-31,10-K,2016-02-25,1001.055,,-163.227,-21.639,5819047000.0,190853380.0,1355.418,5290.806
1970-01-01 00:00:00.000000038,LYV,"LIVE NATION ENTERTAINMENT, INC.",2013-12-31,10-K,2017-02-23,1299.184,,-43.378,139.66,6478547000.0,199566136.0,1409.228,5683.521
1970-01-01 00:00:00.000000048,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-12-31,10-K,2018-02-27,1382.029,,-90.807,7.164,6866964000.0,201193835.0,1296.954,5968.361
1970-01-01 00:00:00.000000053,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-09-30,10-K,2016-02-25,1303.125,,89.049,153.51,2622917000.0,202483207.0,1236.953,6156.241
1970-01-01 00:00:00.000000057,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-12-31,10-K,2018-02-27,1303.125,,-32.508,131.372,7245731000.0,202483207.0,1236.953,6156.241
1970-01-01 00:00:00.000000062,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-09-30,10-K,2017-02-23,1526.591,,111.079,191.286,3170416000.0,204067825.0,1126.016,6764.266
1970-01-01 00:00:00.000000066,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-12-31,10-K,2019-02-28,1526.591,,2.942,194.94,7826336000.0,204067825.0,1126.016,6764.266
1970-01-01 00:00:00.000000071,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-09-30,10-K,2018-02-27,1825.322,,136.393,201.347,3559418000.0,208075969.0,1181.196,7504.263
1970-01-01 00:00:00.000000075,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-12-31,10-K,2020-02-27,1825.322,,-6.015,91.397,9687222000.0,208075969.0,1181.196,7504.263
1970-01-01 00:00:00.000000080,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-09-30,10-K,2019-02-28,2371.54,,172.683,234.219,3835246000.0,210326738.0,1098.981,8496.886
1970-01-01 00:00:00.000000084,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-12-31,10-K,2021-03-01,2371.54,,60.249,272.536,10787800000.0,210326738.0,1098.981,8496.886
1970-01-01 00:00:00.000000087,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-09-30,10-K,2020-02-27,2470.362,,178.925,260.041,3773684000.0,213709620.0,1145.82,10975.615
1970-01-01 00:00:00.000000090,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-12-31,10-K,2022-02-23,2470.362,,69.889,324.844,11547969000.0,213709620.0,1145.82,10975.615
1970-01-01 00:00:00.000000093,LYV,"LIVE NATION ENTERTAINMENT, INC.",2020-12-31,10-K,2023-02-23,2537.787,,-1724.535,-1653.192,1861178000.0,218015037.0,-471.772,10589.303
1970-01-01 00:00:00.000000096,LYV,"LIVE NATION ENTERTAINMENT, INC.",2021-12-31,10-K,2024-02-22,4884.729,,-650.904,-417.858,6268447000.0,224674579.0,-582.651,14402.318
1970-01-01 00:00:00.000000099,LYV,"LIVE NATION ENTERTAINMENT, INC.",2022-12-31,10-K,2025-02-21,5606.457,,266.44,722.031,16681254000.0,231263623.0,-367.569,16460.841
1970-01-01 00:00:00.000000101,LYV,"LIVE NATION ENTERTAINMENT, INC.",2023-06-30,10-K,2025-02-21,6231.866,,270.02,381.599,5628514000.0,233303152.0,-52.305,19029.64
1970-01-01 00:00:00.000000104,LYV,"LIVE NATION ENTERTAINMENT, INC.",2023-12-31,10-K,2026-02-19,6231.866,,556.893,1084.933,22726317000.0,233303152.0,-52.305,19029.64
1970-01-01 00:00:00.000000105,LYV,"LIVE NATION ENTERTAINMENT, INC.",2024-03-31,10-K,2025-02-21,6095.424,,-54.475,-41.39,23155625000.0,234363735.0,173.263,19638.771
1970-01-01 00:00:00.000000106,LYV,"LIVE NATION ENTERTAINMENT, INC.",2024-06-30,10-K,2025-02-21,6095.424,,297.97,465.819,23155625000.0,234363735.0,173.263,19638.771
1970-01-01 00:00:00.000000108,LYV,"LIVE NATION ENTERTAINMENT, INC.",2024-12-31,10-K,2026-02-19,6095.424,,896.287,824.51,23155625000.0,234363735.0,173.263,19638.771
1970-01-01 00:00:00.000000109,LYV,"LIVE NATION ENTERTAINMENT, INC.",2025-12-31,10-K,2026-02-19,7094.2,,495.972,1251.217,25201406000.0,235421446.0,271.007,22912.533
