,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000004,CTVA,"Corteva, Inc.",2018-09-30,10-K,2020-02-14,2270.0,-5121.0,1947000000.0,,74660.0,108683.0
1970-01-01 00:00:00.000000006,CTVA,"Corteva, Inc.",2018-12-31,10-K,2021-02-11,2270.0,-5065.0,14287000000.0,,74660.0,108683.0
1970-01-01 00:00:00.000000019,CTVA,"Corteva, Inc.",2019-12-31,10-K,2023-02-09,1764.0,-959.0,13846000000.0,748577000.0,24309.0,42397.0
1970-01-01 00:00:00.000000026,CTVA,"Corteva, Inc.",2020-12-31,10-K,2024-02-08,3526.0,681.0,14217000000.0,743458000.0,24824.0,42649.0
1970-01-01 00:00:00.000000030,CTVA,"Corteva, Inc.",2021-12-31,10-K,2025-02-14,4459.0,1759.0,15655000000.0,726527000.0,25384.0,42344.0
1970-01-01 00:00:00.000000034,CTVA,"Corteva, Inc.",2022-12-31,10-K,2026-02-12,3191.0,1147.0,17455000000.0,713419000.0,25302.0,42618.0
1970-01-01 00:00:00.000000037,CTVA,"Corteva, Inc.",2023-12-31,10-K,2026-02-12,2644.0,735.0,17226000000.0,701260000.0,25037.0,42996.0
1970-01-01 00:00:00.000000039,CTVA,"Corteva, Inc.",2024-12-31,10-K,2026-02-12,3106.0,907.0,16908000000.0,685595000.0,23789.0,40825.0
1970-01-01 00:00:00.000000040,CTVA,"Corteva, Inc.",2025-12-31,10-K,2026-02-12,4521.0,1094.0,17401000000.0,672163000.0,24144.0,42845.0
