,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000078,ADI,"Analog Devices, Inc.",2016-07-30,10-K,2016-11-22,921.132,861.664,268.707,3421409000.0,,368635788.0,5165.618,7970.278
1970-01-01 00:00:00.000000082,ADI,"Analog Devices, Inc.",2016-10-29,10-K,2018-11-27,921.132,861.664,1028.112,3421409000.0,,368635788.0,5165.618,7970.278
1970-01-01 00:00:00.000000087,ADI,"Analog Devices, Inc.",2017-07-29,10-K,2017-11-22,1047.838,805.379,194.821,1541170000.0,5246354000.0,,10161.54,21141.294
1970-01-01 00:00:00.000000091,ADI,"Analog Devices, Inc.",2017-10-28,10-K,2019-11-26,1047.838,805.379,1162.761,1541170000.0,5246354000.0,368635788.0,10161.54,21141.294
1970-01-01 00:00:00.000000096,ADI,"Analog Devices, Inc.",2018-08-04,10-K,2018-11-27,816.591,1506.98,499.039,1572679000.0,6224689000.0,370159553.0,11268.173,20438.366
1970-01-01 00:00:00.000000100,ADI,"Analog Devices, Inc.",2018-11-03,10-K,2020-11-24,816.591,1506.98,1899.589,1596586000.0,6224689000.0,370159553.0,11268.173,20438.366
1970-01-01 00:00:00.000000103,ADI,"Analog Devices, Inc.",2019-08-03,10-K,2019-11-26,648.322,1363.011,446.726,,1480143000.0,368302369.0,11709.188,21392.641
1970-01-01 00:00:00.000000106,ADI,"Analog Devices, Inc.",2019-11-02,10-K,2021-12-03,648.322,1363.011,1710.608,,5991065000.0,368302369.0,11709.188,21392.641
1970-01-01 00:00:00.000000109,ADI,"Analog Devices, Inc.",2020-10-31,10-K,2022-11-22,1055.86,1220.761,1498.244,,5603056000.0,369484899.0,11997.945,21468.603
1970-01-01 00:00:00.000000112,ADI,"Analog Devices, Inc.",2021-10-30,10-K,2023-11-21,1977.964,1390.422,1692.201,,7318286000.0,525330672.0,37992.542,52322.071
1970-01-01 00:00:00.000000115,ADI,"Analog Devices, Inc.",2022-10-29,10-K,2024-11-26,1470.572,2748.561,3278.7,,12013953000.0,509295941.0,36465.323,50302.35
1970-01-01 00:00:00.000000118,ADI,"Analog Devices, Inc.",2023-10-28,10-K,2025-11-25,958.061,3314.579,3823.112,,12305539000.0,496261678.0,35565.122,48794.478
1970-01-01 00:00:00.000000120,ADI,"Analog Devices, Inc.",2024-11-02,10-K,2025-11-25,1991.342,1635.273,2032.798,,9427157000.0,496296854.0,35176.317,48228.277
1970-01-01 00:00:00.000000121,ADI,"Analog Devices, Inc.",2025-11-01,10-K,2025-11-25,2499.406,2267.342,2932.496,,11019707000.0,489654097.0,33815.755,47992.712
