,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2009-12-31,10-K,2013-02-26,70.628,,127.969,43846050.0,2323.408,5457.227,3051.148
1970-01-01 00:00:00.000000009,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2010-12-31,10-K,2014-03-03,91.232,,122.796,54966925.0,2928.825,5905.861,2919.533
1970-01-01 00:00:00.000000013,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2011-12-31,10-K,2015-02-24,78.539,,113.341,61560472.0,3374.301,6574.129,3141.236
1970-01-01 00:00:00.000000017,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2012-12-31,10-K,2016-02-03,140.971,,93.31,63244645.0,3441.851,7150.116,3647.058
1970-01-01 00:00:00.000000021,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2013-12-31,10-K,2017-01-31,57.696,,136.217,71172197.0,3916.789,7529.764,3550.823
1970-01-01 00:00:00.000000025,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2014-12-31,10-K,2018-01-30,86.011,,101.574,71172197.0,3828.439,8136.036,4226.478
1970-01-01 00:00:00.000000028,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2015-12-31,10-K,2018-01-30,125.098,3965795000.0,144.217,72548693.0,3975.087,8881.017,4587.053
1970-01-01 00:00:00.000000031,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2016-12-31,10-K,2019-02-05,125.032,4164025000.0,-65.901,87665880.0,4895.796,10354.888,4972.61
1970-01-01 00:00:00.000000034,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2017-12-31,10-K,2020-02-04,254.381,4764807000.0,169.093,99783686.0,5949.666,12103.953,5620.784
1970-01-01 00:00:00.000000037,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2018-12-31,10-K,2021-02-01,234.181,5478255000.0,379.312,111011816.0,7341.965,14464.956,6570.242
1970-01-01 00:00:00.000000040,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2019-12-31,10-K,2022-01-31,189.681,6777479000.0,363.165,120800315.0,8865.826,18390.503,8224.025
1970-01-01 00:00:00.000000043,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2020-12-31,10-K,2023-01-30,568.532,7563286000.0,770.959,136690329.0,11725.712,22827.878,9384.1
1970-01-01 00:00:00.000000046,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2021-12-31,10-K,2024-01-29,361.348,8791866000.0,571.247,158043880.0,16189.542,30219.373,11186.123
1970-01-01 00:00:00.000000049,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2022-12-31,10-K,2025-01-27,825.193,10159762000.0,521.66,170748395.0,18972.387,35523.399,12840.152
1970-01-01 00:00:00.000000052,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2023-12-31,10-K,2026-01-26,618.19,11315642000.0,103.639,171910599.0,18471.175,36771.402,14148.409
1970-01-01 00:00:00.000000054,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2024-12-31,10-K,2026-01-26,552.146,12244374000.0,322.949,172203443.0,17889.042,37527.449,15128.988
1970-01-01 00:00:00.000000055,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2025-12-31,10-K,2026-01-26,549.062,12400555000.0,-1429.57,170537867.0,15470.07,34081.835,14925.399
