,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000005,CMCSA,Comcast Corporation,2008-12-31,10-K,2012-02-23,1195.0,2547.0,6732.0,34423000000.0,,40450.0,113017.0
1970-01-01 00:00:00.000000012,CMCSA,Comcast Corporation,2009-12-31,10-K,2013-02-21,671.0,3638.0,7214.0,35756000000.0,,42721.0,112733.0
1970-01-01 00:00:00.000000022,CMCSA,Comcast Corporation,2010-12-31,10-K,2014-02-12,5984.0,3635.0,7980.0,37937000000.0,,44354.0,118534.0
1970-01-01 00:00:00.000000032,CMCSA,Comcast Corporation,2011-12-31,10-K,2015-02-27,1620.0,4160.0,10721.0,55842000000.0,,47274.0,157818.0
1970-01-01 00:00:00.000000042,CMCSA,Comcast Corporation,2012-12-31,10-K,2016-02-05,10951.0,6203.0,12179.0,62570000000.0,,49356.0,164971.0
1970-01-01 00:00:00.000000052,CMCSA,Comcast Corporation,2013-12-31,10-K,2017-02-03,1718.0,6816.0,13563.0,64657000000.0,,50694.0,158813.0
1970-01-01 00:00:00.000000062,CMCSA,Comcast Corporation,2014-12-31,10-K,2018-01-31,3910.0,8380.0,14904.0,68775000000.0,,52711.0,159186.0
1970-01-01 00:00:00.000000067,CMCSA,Comcast Corporation,2015-09-30,10-K,2016-02-05,2295.0,1996.0,4001.0,18669000000.0,,52269.0,166574.0
1970-01-01 00:00:00.000000071,CMCSA,Comcast Corporation,2015-12-31,10-K,2018-01-31,2295.0,8163.0,15998.0,74510000000.0,,52269.0,166574.0
1970-01-01 00:00:00.000000076,CMCSA,Comcast Corporation,2016-09-30,10-K,2017-02-03,3301.0,2237.0,4440.0,21319000000.0,,53943.0,180500.0
1970-01-01 00:00:00.000000080,CMCSA,Comcast Corporation,2016-12-31,10-K,2019-01-31,3301.0,8678.0,16831.0,80736000000.0,,53943.0,180500.0
1970-01-01 00:00:00.000000085,CMCSA,Comcast Corporation,2017-09-30,10-K,2018-01-31,3428.0,2650.0,4792.0,20983000000.0,,68616.0,187462.0
1970-01-01 00:00:00.000000089,CMCSA,Comcast Corporation,2017-12-31,10-K,2020-01-30,3428.0,22735.0,18018.0,85029000000.0,,68616.0,187462.0
1970-01-01 00:00:00.000000094,CMCSA,Comcast Corporation,2018-09-30,10-K,2019-01-31,3814.0,2886.0,4836.0,22135000000.0,,71613.0,251684.0
1970-01-01 00:00:00.000000098,CMCSA,Comcast Corporation,2018-12-31,10-K,2021-02-04,3814.0,11731.0,19009.0,94507000000.0,,71613.0,251684.0
1970-01-01 00:00:00.000000103,CMCSA,Comcast Corporation,2019-09-30,10-K,2020-01-30,5500.0,3217.0,5340.0,26827000000.0,,82726.0,263414.0
1970-01-01 00:00:00.000000107,CMCSA,Comcast Corporation,2019-12-31,10-K,2022-02-02,5500.0,13057.0,21125.0,108942000000.0,,82726.0,263414.0
1970-01-01 00:00:00.000000110,CMCSA,Comcast Corporation,2020-09-30,10-K,2021-02-04,11740.0,2019.0,4076.0,25532000000.0,,90323.0,273869.0
1970-01-01 00:00:00.000000113,CMCSA,Comcast Corporation,2020-12-31,10-K,2023-02-03,11740.0,10534.0,17493.0,103564000000.0,,90323.0,273869.0
1970-01-01 00:00:00.000000116,CMCSA,Comcast Corporation,2021-12-31,10-K,2024-01-31,8711.0,14159.0,20817.0,116385000000.0,,96092.0,275905.0
1970-01-01 00:00:00.000000119,CMCSA,Comcast Corporation,2022-12-31,10-K,2025-01-31,4749.0,5370.0,14041.0,121427000000.0,121427000000.0,80943.0,257275.0
1970-01-01 00:00:00.000000122,CMCSA,Comcast Corporation,2023-12-31,10-K,2026-02-03,6215.0,15388.0,23314.0,121572000000.0,121572000000.0,82703.0,264811.0
1970-01-01 00:00:00.000000124,CMCSA,Comcast Corporation,2024-12-31,10-K,2026-02-03,7322.0,16192.0,23297.0,,123731000000.0,85560.0,266211.0
1970-01-01 00:00:00.000000125,CMCSA,Comcast Corporation,2025-12-31,10-K,2026-02-03,9481.0,19998.0,20672.0,,123707000000.0,96903.0,272631.0
