,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000036,BSX,BOSTON SCIENTIFIC CORPORATION,2015-12-31,10-K,2017-02-23,319.0,5650000000.0,-327.0,8068000000.0,8386000000.0,1346647516.0,,18133.0
1970-01-01 00:00:00.000000040,BSX,BOSTON SCIENTIFIC CORPORATION,2016-12-31,10-K,2019-02-19,196.0,5420000000.0,447.0,9076000000.0,8386000000.0,1362104547.0,,18096.0
