,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000065,EXE,EXPAND ENERGY CORPORATION,2020-12-31,10-K,2022-02-24,279.0,1313000000.0,-9734.0,-8703.0,5240000000.0,,-5341.0,6584.0,11925.0
1970-01-01 00:00:00.000000070,EXE,EXPAND ENERGY CORPORATION,2021-02-09,10-K,2024-02-21,40.0,1313000000.0,5383.0,-234.0,260000000.0,,3586.0,6814.0,3228.0
1970-01-01 00:00:00.000000077,EXE,EXPAND ENERGY CORPORATION,2022-12-31,10-K,2025-02-26,130.0,3000000000.0,4936.0,3780.0,11743000000.0,,9124.0,15468.0,6344.0
1970-01-01 00:00:00.000000081,EXE,EXPAND ENERGY CORPORATION,2023-12-31,10-K,2026-02-18,1079.0,2028000000.0,2419.0,3142.0,8721000000.0,,10729.0,14376.0,3647.0
1970-01-01 00:00:00.000000083,EXE,EXPAND ENERGY CORPORATION,2024-12-31,10-K,2026-02-18,317.0,5680000000.0,-714.0,-803.0,4235000000.0,,17565.0,27894.0,10329.0
1970-01-01 00:00:00.000000084,EXE,EXPAND ENERGY CORPORATION,2025-12-31,10-K,2026-02-18,616.0,5009000000.0,1819.0,2471.0,12124000000.0,,18578.0,28287.0,9709.0
