,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000005,APA,APA CORPORATION,2020-12-31,10-K,2024-02-22,262.0,,-4102.0,377482630.0,-1639.0,12746.0
1970-01-01 00:00:00.000000009,APA,APA CORPORATION,2021-12-31,10-K,2025-02-28,302.0,,2860.0,346930765.0,-1595.0,13303.0
1970-01-01 00:00:00.000000013,APA,APA CORPORATION,2022-12-31,10-K,2026-02-26,245.0,,5565.0,311559149.0,423.0,13147.0
1970-01-01 00:00:00.000000016,APA,APA CORPORATION,2023-12-31,10-K,2026-02-26,87.0,2855.0,3696.0,303575901.0,2655.0,15244.0
1970-01-01 00:00:00.000000018,APA,APA CORPORATION,2024-12-31,10-K,2026-02-26,625.0,804.0,2444.0,365397149.0,5280.0,19390.0
1970-01-01 00:00:00.000000019,APA,APA CORPORATION,2025-12-31,10-K,2026-02-26,516.0,1434.0,3087.0,352964646.0,6093.0,17761.0
