,ticker,company,end_date,form,filed,cash_usd_m,eps_basic,eps_diluted,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000013,AME,"AMETEK, Inc.",2009-12-31,10-K,2013-02-21,246.356,1.28,1.27,1041681000.0,205.77,366.05,,161800000.0,1567.024,3246.032,1679.008
1970-01-01 00:00:00.000000022,AME,"AMETEK, Inc.",2010-12-31,10-K,2013-02-21,163.208,0.51,0.5,1168512000.0,283.932,482.158,,160700000.0,1775.204,3818.915,2043.711
1970-01-01 00:00:00.000000112,AME,"AMETEK, Inc.",2021-12-31,10-K,2023-02-21,346.772,,,2544241000.0,990.053,1308.67,6150530000.0,231700000.0,6871.884,11898.187,5026.303
1970-01-01 00:00:00.000000116,AME,"AMETEK, Inc.",2022-12-31,10-K,2025-02-20,345.386,,,2385007000.0,1159.542,1500.692,6150530000.0,230100000.0,7476.512,12431.12,4954.608
1970-01-01 00:00:00.000000119,AME,"AMETEK, Inc.",2023-12-31,10-K,2026-02-17,409.804,,,3313347000.0,1313.188,1707.459,6596950000.0,230900000.0,8730.191,15023.533,6293.342
1970-01-01 00:00:00.000000121,AME,"AMETEK, Inc.",2024-12-31,10-K,2026-02-17,373.999,,,2079721000.0,1376.124,1779.562,6941180000.0,230700000.0,9655.304,14631.169,4975.865
1970-01-01 00:00:00.000000122,AME,"AMETEK, Inc.",2025-12-31,10-K,2026-02-17,457.951,,,2283309000.0,1480.142,1910.317,7401116000.0,229000000.0,10628.786,16067.543,5438.757
