,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,BXP,"BXP, INC.",2008-12-31,10-K,2012-02-28,241.51,,105.27,577.39,1469442000.0,121180655.0,3688.993,10917.476,6602.719
1970-01-01 00:00:00.000000012,BXP,"BXP, INC.",2009-12-31,10-K,2013-02-28,1448.933,,231.014,567.531,1518190000.0,138880010.0,4446.002,12348.703,7223.992
1970-01-01 00:00:00.000000018,BXP,"BXP, INC.",2010-09-30,10-K,2011-02-25,478.948,,57.668,609.072,386410000.0,140199105.0,4372.643,13348.263,8328.418
1970-01-01 00:00:00.000000022,BXP,"BXP, INC.",2010-12-31,10-K,2013-02-28,478.948,,159.072,609.072,1543310000.0,140199105.0,4372.643,13348.263,8328.418
1970-01-01 00:00:00.000000029,BXP,"BXP, INC.",2011-12-31,10-K,2015-03-02,1823.208,,272.679,605.166,1722792000.0,148107611.0,4865.998,14782.966,9313.798
1970-01-01 00:00:00.000000036,BXP,"BXP, INC.",2012-12-31,10-K,2016-02-29,1041.978,,289.65,640.321,1847186000.0,151601209.0,5097.065,15462.321,9619.033
1970-01-01 00:00:00.000000046,BXP,"BXP, INC.",2013-12-31,10-K,2017-02-28,2365.137,,749.811,678.12,2135539000.0,152983101.0,5741.153,20176.264,12981.725
1970-01-01 00:00:00.000000056,BXP,"BXP, INC.",2014-12-31,10-K,2018-02-28,1763.079,,443.611,801.822,2396998000.0,153113945.0,5697.298,19886.767,11878.506
1970-01-01 00:00:00.000000066,BXP,"BXP, INC.",2015-12-31,10-K,2019-02-28,723.718,,583.106,849.365,2490821000.0,153579966.0,5709.435,18351.486,10464.559
1970-01-01 00:00:00.000000076,BXP,"BXP, INC.",2016-12-31,10-K,2020-03-02,356.914,,512.785,825.784,2550820000.0,153790175.0,5786.295,18851.643,10919.719
1970-01-01 00:00:00.000000085,BXP,"BXP, INC.",2017-12-31,10-K,2020-03-02,434.767,3013961000.0,462.439,908.11,2602076000.0,154325286.0,5813.957,19372.233,11269.777
1970-01-01 00:00:00.000000095,BXP,"BXP, INC.",2018-12-31,10-K,2021-02-26,543.359,2995328000.0,582.847,,2717076000.0,154458478.0,5883.171,20256.477,12042.509
1970-01-01 00:00:00.000000102,BXP,"BXP, INC.",2019-12-31,10-K,2022-02-25,644.95,2949154000.0,521.534,,2960562000.0,154790298.0,5684.687,21284.905,13262.304
1970-01-01 00:00:00.000000106,BXP,"BXP, INC.",2020-12-31,10-K,2023-02-27,1668.742,2931986000.0,872.727,,2765686000.0,155718825.0,5996.083,22858.19,14511.681
1970-01-01 00:00:00.000000110,BXP,"BXP, INC.",2021-12-31,10-K,2024-02-27,452.692,3300000000.0,505.195,,2888621000.0,156544849.0,5834.02,22365.258,14322.462
