,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000001,ARM,ARM HOLDINGS PLC /UK,2022-03-31,20-F,2024-05-29,1554.0,549.0,633.0,2703000000.0,1025234000.0,3548.0,6866.0,2815.0
1970-01-01 00:00:00.000000004,ARM,ARM HOLDINGS PLC /UK,2023-03-31,20-F,2025-05-28,1554.0,524.0,671.0,2679000000.0,1025234000.0,4051.0,6866.0,2815.0
1970-01-01 00:00:00.000000006,ARM,ARM HOLDINGS PLC /UK,2024-03-31,20-F,2025-05-28,1923.0,306.0,111.0,3233000000.0,1040000000.0,5295.0,7927.0,2632.0
1970-01-01 00:00:00.000000007,ARM,ARM HOLDINGS PLC /UK,2025-03-31,20-F,2025-05-28,2085.0,792.0,831.0,4007000000.0,1057000000.0,6839.0,8932.0,2093.0
