,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000068,MSTR,STRATEGY INC,2016-12-31,10-K,2020-02-14,401.975,,92.239,109.512,513589000.0,513589000.0,566.317,768.319,216.142
1970-01-01 00:00:00.000000078,MSTR,STRATEGY INC,2017-12-31,10-K,2021-02-12,420.244,,18.195,73.222,503843000.0,503843000.0,605.726,933.219,327.493
1970-01-01 00:00:00.000000088,MSTR,STRATEGY INC,2018-12-31,10-K,2022-02-16,109.924,,22.501,3.981,497638000.0,497638000.0,529.731,855.768,326.037
1970-01-01 00:00:00.000000098,MSTR,STRATEGY INC,2019-12-31,10-K,2023-02-16,456.727,,34.355,-1.002,486327000.0,486327000.0,508.559,916.571,408.012
1970-01-01 00:00:00.000000105,MSTR,STRATEGY INC,2020-12-31,10-K,2024-02-15,59.675,,-7.524,-13.625,480735000.0,480735000.0,446.192,1465.612,912.567
1970-01-01 00:00:00.000000109,MSTR,STRATEGY INC,2021-12-31,10-K,2025-02-18,63.356,2155151000.0,-535.48,-784.527,510762000.0,510762000.0,978.958,3557.124,2578.166
1970-01-01 00:00:00.000000113,MSTR,STRATEGY INC,2022-12-31,10-K,2026-02-19,43.835,2378560000.0,-1469.797,-1275.742,499264000.0,499264000.0,-383.12,2410.272,2793.392
1970-01-01 00:00:00.000000116,MSTR,STRATEGY INC,2023-12-31,10-K,2026-02-19,46.817,2182591000.0,429.121,-115.047,496261000.0,496261000.0,2164.972,4762.528,2597.556
1970-01-01 00:00:00.000000118,MSTR,STRATEGY INC,2024-12-31,10-K,2026-02-19,38.117,7191675000.0,-1166.661,-1852.978,463456000.0,463456000.0,18229.984,25843.685,7613.701
1970-01-01 00:00:00.000000119,MSTR,STRATEGY INC,2025-12-31,10-K,2026-02-19,2301.47,8190155000.0,-3848.152,-5444.385,,477233000.0,44123.458,61641.082,10598.11
