,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000012,AMT,AMERICAN TOWER CORP /MA/,2009-12-31,10-K,2013-02-27,247.293,4211581000.0,246.595,672.258,,,401596984.0,3315.082,8519.931,5201.806
1970-01-01 00:00:00.000000022,AMT,AMERICAN TOWER CORP /MA/,2010-12-31,10-K,2014-02-26,883.963,5587388000.0,372.936,784.378,,,398677234.0,3501.444,10370.084,6865.526
1970-01-01 00:00:00.000000032,AMT,AMERICAN TOWER CORP /MA/,2011-12-31,10-K,2015-02-24,330.191,7236308000.0,396.462,920.132,,,393642079.0,3287.22,12242.395,8832.253
1970-01-01 00:00:00.000000042,AMT,AMERICAN TOWER CORP /MA/,2012-12-31,10-K,2016-02-26,368.618,8753376000.0,637.283,1119.719,,,395091213.0,3573.101,14089.429,10405.248
1970-01-01 00:00:00.000000052,AMT,AMERICAN TOWER CORP /MA/,2013-12-31,10-K,2017-02-27,293.576,14478278000.0,551.333,1214.305,,,394864324.0,3534.165,20213.937,16693.625
1970-01-01 00:00:00.000000061,AMT,AMERICAN TOWER CORP /MA/,2014-12-31,10-K,2017-02-27,313.492,14608708000.0,824.91,1486.922,,,396698725.0,3953.56,21263.565,17210.213
1970-01-01 00:00:00.000000070,AMT,AMERICAN TOWER CORP /MA/,2015-12-31,10-K,2018-02-28,320.7,17119009000.0,685.1,1612.8,,,423885253.0,6651.679,26904.3,20191.454
1970-01-01 00:00:00.000000075,AMT,AMERICAN TOWER CORP /MA/,2016-09-30,10-K,2017-02-27,787.2,,264.509,479.074,5785700000.0,,427103000.0,6763.9,30879.2,22811.7
1970-01-01 00:00:00.000000079,AMT,AMERICAN TOWER CORP /MA/,2016-12-31,10-K,2019-02-27,787.2,18533465000.0,956.4,1853.0,5785700000.0,,427103000.0,6763.9,30879.2,22811.7
1970-01-01 00:00:00.000000084,AMT,AMERICAN TOWER CORP /MA/,2017-09-30,10-K,2018-02-28,802.1,,317.3,561.1,6663900000.0,,428820000.0,6241.5,33214.3,25260.0
1970-01-01 00:00:00.000000088,AMT,AMERICAN TOWER CORP /MA/,2017-12-31,10-K,2020-02-25,802.1,20205100000.0,1238.9,1998.4,6663900000.0,,428820000.0,6241.5,33214.3,25260.0
1970-01-01 00:00:00.000000093,AMT,AMERICAN TOWER CORP /MA/,2018-09-30,10-K,2019-02-27,1208.7,,366.9,567.2,1785500000.0,491300000.0,441060000.0,5336.1,33010.4,26106.0
1970-01-01 00:00:00.000000097,AMT,AMERICAN TOWER CORP /MA/,2018-12-31,10-K,2021-02-25,1208.7,21159900000.0,1236.4,1905.0,7440100000.0,491300000.0,441060000.0,5336.1,33010.4,26106.0
1970-01-01 00:00:00.000000100,AMT,AMERICAN TOWER CORP /MA/,2019-09-30,10-K,2020-02-25,1501.2,1900000.0,498.6,728.3,1953600000.0,527200000.0,442890000.0,5055.4,42801.6,36214.7
1970-01-01 00:00:00.000000103,AMT,AMERICAN TOWER CORP /MA/,2019-12-31,10-K,2022-02-25,1501.2,1900000.0,1887.8,2688.4,7580300000.0,527200000.0,442890000.0,5055.4,42801.6,36214.7
1970-01-01 00:00:00.000000106,AMT,AMERICAN TOWER CORP /MA/,2020-12-31,10-K,2023-02-23,1746.3,,1690.6,2887.5,8041500000.0,495700000.0,444330000.0,4093.5,47233.5,42453.0
1970-01-01 00:00:00.000000109,AMT,AMERICAN TOWER CORP /MA/,2021-12-31,10-K,2024-02-27,1949.9,43497500000.0,,3132.0,9356900000.0,717200000.0,455772000.0,5081.2,69887.9,60818.3
1970-01-01 00:00:00.000000112,AMT,AMERICAN TOWER CORP /MA/,2022-12-31,10-K,2025-02-25,1548.9,38901800000.0,,2738.6,9645400000.0,840700000.0,465619000.0,5572.4,67194.5,54786.0
1970-01-01 00:00:00.000000115,AMT,AMERICAN TOWER CORP /MA/,2023-09-30,10-K,2025-02-25,1753.7,,,913.0,2521100000.0,747300000.0,466296000.0,4198.2,66027.6,55162.2
1970-01-01 00:00:00.000000118,AMT,AMERICAN TOWER CORP /MA/,2023-12-31,10-K,2026-02-24,1753.7,,,3125.5,10012200000.0,747300000.0,466296000.0,4198.2,66027.6,55162.2
1970-01-01 00:00:00.000000120,AMT,AMERICAN TOWER CORP /MA/,2024-06-30,10-K,2025-02-25,1999.6,,,1156.2,2544700000.0,774600000.0,467384000.0,3382.2,61077.4,51428.7
1970-01-01 00:00:00.000000121,AMT,AMERICAN TOWER CORP /MA/,2024-09-30,10-K,2025-02-25,1999.6,,,1139.2,2522300000.0,774600000.0,467384000.0,3382.2,61077.4,51428.7
1970-01-01 00:00:00.000000123,AMT,AMERICAN TOWER CORP /MA/,2024-12-31,10-K,2026-02-24,1999.6,,,4516.5,10127200000.0,774600000.0,467384000.0,3382.2,61077.4,51428.7
1970-01-01 00:00:00.000000124,AMT,AMERICAN TOWER CORP /MA/,2025-12-31,10-K,2026-02-24,1474.8,,,4845.8,10644600000.0,935900000.0,466318000.0,3652.5,63190.4,52835.1
