,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000021,AJG,ARTHUR J. GALLAGHER & CO.,2011-12-31,10-K,2014-02-07,291.2,17400000.0,144.1,2134700000.0,,114700000.0,1243.6,4483.5,3239.9
1970-01-01 00:00:00.000000031,AJG,ARTHUR J. GALLAGHER & CO.,2012-12-31,10-K,2015-02-13,302.1,32400000.0,195.0,2520300000.0,,125600000.0,1658.6,5352.3,3693.7
1970-01-01 00:00:00.000000041,AJG,ARTHUR J. GALLAGHER & CO.,2013-12-31,10-K,2016-02-10,298.1,36500000.0,268.6,3179600000.0,,133600000.0,2085.5,6860.5,4775.0
1970-01-01 00:00:00.000000051,AJG,ARTHUR J. GALLAGHER & CO.,2014-12-31,10-K,2017-02-13,314.4,46100000.0,303.4,4626500000.0,,164600000.0,3229.4,10010.0,6704.9
1970-01-01 00:00:00.000000060,AJG,ARTHUR J. GALLAGHER & CO.,2015-12-31,10-K,2018-02-12,480.4,62800000.0,356.8,5392400000.0,,176900000.0,3638.3,10913.8,7222.3
1970-01-01 00:00:00.000000065,AJG,ARTHUR J. GALLAGHER & CO.,2016-09-30,10-K,2017-02-13,545.5,,122.8,1482300000.0,5680500000.0,178300000.0,3596.6,13528.2,7833.8
1970-01-01 00:00:00.000000069,AJG,ARTHUR J. GALLAGHER & CO.,2016-12-31,10-K,2019-02-08,545.5,26900000.0,396.8,1385000000.0,5680500000.0,178300000.0,3596.6,13528.2,7833.8
1970-01-01 00:00:00.000000074,AJG,ARTHUR J. GALLAGHER & CO.,2017-09-30,10-K,2018-02-12,681.2,,130.4,1584500000.0,6249000000.0,181000000.0,4235.6,14909.7,10610.0
1970-01-01 00:00:00.000000078,AJG,ARTHUR J. GALLAGHER & CO.,2017-12-31,10-K,2020-02-07,681.2,19700000.0,481.3,1519400000.0,6249000000.0,181000000.0,4235.6,14909.7,10610.0
1970-01-01 00:00:00.000000083,AJG,ARTHUR J. GALLAGHER & CO.,2018-09-30,10-K,2019-02-08,607.2,,127.6,1778500000.0,6934000000.0,184000000.0,4498.9,16334.0,11764.3
1970-01-01 00:00:00.000000087,AJG,ARTHUR J. GALLAGHER & CO.,2018-12-31,10-K,2021-02-08,607.2,19900000.0,633.5,1657400000.0,6934000000.0,184000000.0,4498.9,16334.0,11764.3
1970-01-01 00:00:00.000000092,AJG,ARTHUR J. GALLAGHER & CO.,2019-09-30,10-K,2020-02-07,604.8,,126.1,1825200000.0,7195000000.0,188100000.0,5155.5,19634.8,14419.3
1970-01-01 00:00:00.000000096,AJG,ARTHUR J. GALLAGHER & CO.,2019-12-31,10-K,2022-02-18,604.8,18500000.0,668.8,1721400000.0,7195000000.0,188100000.0,5155.5,19634.8,14419.3
1970-01-01 00:00:00.000000102,AJG,ARTHUR J. GALLAGHER & CO.,2020-12-31,10-K,2023-02-10,664.6,19600000.0,818.8,,7003600000.0,193700000.0,6186.2,22331.4,16098.7
1970-01-01 00:00:00.000000105,AJG,ARTHUR J. GALLAGHER & CO.,2021-12-31,10-K,2024-02-09,402.6,22600000.0,906.8,,8209400000.0,208500000.0,8508.4,33236.1,24784.9
1970-01-01 00:00:00.000000108,AJG,ARTHUR J. GALLAGHER & CO.,2022-12-31,10-K,2025-02-18,738.4,16800000.0,1114.2,,8550600000.0,211900000.0,9143.6,38358.4,29168.2
