,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000066,CNP,"CENTERPOINT ENERGY, INC.",2016-09-30,10-K,2017-02-28,341.0,,179.0,284.0,1889000000.0,5711000000.0,430682504.0,3460.0,21829.0
1970-01-01 00:00:00.000000070,CNP,"CENTERPOINT ENERGY, INC.",2016-12-31,10-K,2019-02-28,341.0,,432.0,1023.0,7528000000.0,5711000000.0,430682504.0,3460.0,21829.0
1970-01-01 00:00:00.000000075,CNP,"CENTERPOINT ENERGY, INC.",2017-09-30,10-K,2018-02-22,260.0,8195000000.0,169.0,279.0,2098000000.0,6124000000.0,431044845.0,4688.0,22736.0
1970-01-01 00:00:00.000000079,CNP,"CENTERPOINT ENERGY, INC.",2017-12-31,10-K,2020-02-27,260.0,8195000000.0,1792.0,1136.0,9614000000.0,6124000000.0,431044845.0,4688.0,22736.0
1970-01-01 00:00:00.000000084,CNP,"CENTERPOINT ENERGY, INC.",2018-09-30,10-K,2019-02-28,4231.0,8682000000.0,368.0,226.0,2212000000.0,6282000000.0,501197784.0,8058.0,27093.0
1970-01-01 00:00:00.000000088,CNP,"CENTERPOINT ENERGY, INC.",2018-12-31,10-K,2021-02-25,4231.0,8682000000.0,368.0,868.0,6277000000.0,6282000000.0,501197784.0,8058.0,27093.0
1970-01-01 00:00:00.000000091,CNP,"CENTERPOINT ENERGY, INC.",2019-09-30,10-K,2020-02-27,241.0,14244000000.0,791.0,392.0,2742000000.0,7511000000.0,502242061.0,8359.0,35529.0
1970-01-01 00:00:00.000000094,CNP,"CENTERPOINT ENERGY, INC.",2019-12-31,10-K,2022-02-22,241.0,14244000000.0,791.0,1071.0,7564000000.0,7511000000.0,502242061.0,8359.0,35529.0
1970-01-01 00:00:00.000000097,CNP,"CENTERPOINT ENERGY, INC.",2020-12-31,10-K,2023-02-17,147.0,11521000000.0,-773.0,1039.0,7418000000.0,7350000000.0,551355861.0,8348.0,33471.0
1970-01-01 00:00:00.000000100,CNP,"CENTERPOINT ENERGY, INC.",2021-12-31,10-K,2024-02-20,230.0,15558000000.0,1486.0,1363.0,8352000000.0,8256000000.0,628923534.0,9415.0,37679.0
1970-01-01 00:00:00.000000103,CNP,"CENTERPOINT ENERGY, INC.",2022-12-31,10-K,2025-02-20,74.0,14836000000.0,1057.0,1566.0,9321000000.0,9327000000.0,629535631.0,10042.0,38546.0
1970-01-01 00:00:00.000000106,CNP,"CENTERPOINT ENERGY, INC.",2023-12-31,10-K,2026-02-19,90.0,17559000000.0,917.0,1760.0,8696000000.0,8612000000.0,631225829.0,9667.0,39715.0
1970-01-01 00:00:00.000000108,CNP,"CENTERPOINT ENERGY, INC.",2024-12-31,10-K,2026-02-19,24.0,20397000000.0,1019.0,1990.0,8643000000.0,8552000000.0,651727276.0,10666.0,43768.0
1970-01-01 00:00:00.000000109,CNP,"CENTERPOINT ENERGY, INC.",2025-12-31,10-K,2026-02-19,38.0,20566000000.0,1052.0,2110.0,9357000000.0,9337000000.0,652869575.0,11153.0,46534.0
