,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000010,ABT,ABBOTT LABORATORIES,2010-12-31,10-K,2011-02-18,3648.371,14569000000.0,4728.0,6087.581,,22388.135,59462.266
1970-01-01 00:00:00.000000017,ABT,ABBOTT LABORATORIES,2011-12-31,10-K,2015-02-27,6813.0,13067000000.0,4728.0,1629.0,,24439.833,60277.0
1970-01-01 00:00:00.000000024,ABT,ABBOTT LABORATORIES,2012-12-31,10-K,2016-02-19,10802.0,18394000000.0,5963.0,1360.0,,26721.0,67235.0
1970-01-01 00:00:00.000000034,ABT,ABBOTT LABORATORIES,2013-12-31,10-K,2017-02-17,3475.0,3397000000.0,2576.0,2133.0,,25171.0,42937.0
1970-01-01 00:00:00.000000044,ABT,ABBOTT LABORATORIES,2014-12-31,10-K,2018-02-16,4063.0,3448000000.0,2284.0,2599.0,,21526.0,41207.0
1970-01-01 00:00:00.000000049,ABT,ABBOTT LABORATORIES,2015-09-30,10-K,2016-02-19,5001.0,5874000000.0,580.0,2867.0,,21211.0,41247.0
1970-01-01 00:00:00.000000053,ABT,ABBOTT LABORATORIES,2015-12-31,10-K,2018-02-16,5001.0,5874000000.0,4423.0,2867.0,,21211.0,41247.0
1970-01-01 00:00:00.000000058,ABT,ABBOTT LABORATORIES,2016-09-30,10-K,2017-02-17,18620.0,20684000000.0,-329.0,3026.0,20853000000.0,20538.0,52666.0
1970-01-01 00:00:00.000000062,ABT,ABBOTT LABORATORIES,2016-12-31,10-K,2019-02-22,18620.0,20684000000.0,1400.0,3026.0,20853000000.0,20538.0,52666.0
1970-01-01 00:00:00.000000067,ABT,ABBOTT LABORATORIES,2017-09-30,10-K,2018-02-16,9407.0,27718000000.0,603.0,1564.0,27390000000.0,30897.0,76250.0
1970-01-01 00:00:00.000000071,ABT,ABBOTT LABORATORIES,2017-12-31,10-K,2020-02-21,9407.0,27718000000.0,477.0,1564.0,27390000000.0,30897.0,76250.0
1970-01-01 00:00:00.000000076,ABT,ABBOTT LABORATORIES,2018-09-30,10-K,2019-02-22,3844.0,19366000000.0,563.0,3650.0,7656000000.0,30524.0,67173.0
1970-01-01 00:00:00.000000080,ABT,ABBOTT LABORATORIES,2018-12-31,10-K,2021-02-19,3844.0,19366000000.0,2368.0,3650.0,30578000000.0,30524.0,67173.0
1970-01-01 00:00:00.000000083,ABT,ABBOTT LABORATORIES,2019-09-30,10-K,2020-02-21,3860.0,17938000000.0,960.0,4532.0,8076000000.0,31088.0,67887.0
1970-01-01 00:00:00.000000086,ABT,ABBOTT LABORATORIES,2019-12-31,10-K,2022-02-18,3860.0,17938000000.0,3687.0,4532.0,31904000000.0,31088.0,67887.0
1970-01-01 00:00:00.000000089,ABT,ABBOTT LABORATORIES,2020-12-31,10-K,2023-02-17,6838.0,18534000000.0,4495.0,5357.0,34608000000.0,32784.0,72548.0
1970-01-01 00:00:00.000000092,ABT,ABBOTT LABORATORIES,2021-12-31,10-K,2024-02-16,9799.0,18050000000.0,7071.0,8425.0,43075000000.0,35802.0,75196.0
1970-01-01 00:00:00.000000095,ABT,ABBOTT LABORATORIES,2022-12-31,10-K,2025-02-21,9882.0,16773000000.0,6933.0,8362.0,43653000000.0,36686.0,74438.0
1970-01-01 00:00:00.000000098,ABT,ABBOTT LABORATORIES,2023-12-31,10-K,2026-02-20,6896.0,14679000000.0,5723.0,6478.0,40109000000.0,38603.0,73214.0
1970-01-01 00:00:00.000000100,ABT,ABBOTT LABORATORIES,2024-12-31,10-K,2026-02-20,7616.0,14125000000.0,13402.0,6825.0,41950000000.0,47664.0,81414.0
1970-01-01 00:00:00.000000101,ABT,ABBOTT LABORATORIES,2025-12-31,10-K,2026-02-20,8522.0,12929000000.0,6524.0,8053.0,44328000000.0,52130.0,86713.0
