,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000042,AAPL,Apple Inc.,2012-09-29,10-K,2015-10-28,10746.0,0.0,41733.0,55241.0,,,939208000.0,118210.0,176064.0,57854.0
1970-01-01 00:00:00.000000052,AAPL,Apple Inc.,2013-09-28,10-K,2016-10-26,14259.0,16960000000.0,37037.0,48999.0,,,6294494000.0,123549.0,207000.0,83451.0
1970-01-01 00:00:00.000000061,AAPL,Apple Inc.,2014-09-27,10-K,2016-10-26,13844.0,28987000000.0,39510.0,52503.0,,,5866161000.0,111547.0,231839.0,120292.0
1970-01-01 00:00:00.000000082,AAPL,Apple Inc.,2016-09-24,10-K,2019-10-31,20484.0,,45687.0,60024.0,215639000000.0,,5336166000.0,128249.0,321686.0,193437.0
1970-01-01 00:00:00.000000092,AAPL,Apple Inc.,2017-09-30,10-K,2020-10-30,20289.0,,48351.0,61344.0,52579000000.0,229234000000.0,5126201000.0,134047.0,375319.0,241272.0
1970-01-01 00:00:00.000000102,AAPL,Apple Inc.,2018-09-29,10-K,2021-10-29,25913.0,,59531.0,70898.0,,265595000000.0,4754986000.0,107147.0,365725.0,258578.0
1970-01-01 00:00:00.000000112,AAPL,Apple Inc.,2019-09-28,10-K,2022-10-28,48844.0,,55256.0,63930.0,,260174000000.0,17772945000.0,90488.0,338516.0,248028.0
1970-01-01 00:00:00.000000119,AAPL,Apple Inc.,2020-09-26,10-K,2023-11-03,38016.0,,57411.0,66288.0,,274515000000.0,16976763000.0,65339.0,323888.0,258549.0
1970-01-01 00:00:00.000000123,AAPL,Apple Inc.,2021-09-25,10-K,2024-11-01,34940.0,,94680.0,108949.0,,365817000000.0,16426786000.0,63090.0,351002.0,287912.0
1970-01-01 00:00:00.000000127,AAPL,Apple Inc.,2022-09-24,10-K,2025-10-31,23646.0,110087000000.0,99803.0,119437.0,,394328000000.0,15943425000.0,50672.0,352755.0,302083.0
1970-01-01 00:00:00.000000130,AAPL,Apple Inc.,2023-09-30,10-K,2025-10-31,29965.0,105103000000.0,96995.0,114301.0,,383285000000.0,15550061000.0,62146.0,352583.0,290437.0
1970-01-01 00:00:00.000000132,AAPL,Apple Inc.,2024-09-28,10-K,2025-10-31,29943.0,96662000000.0,93736.0,123216.0,,391035000000.0,15116786000.0,56950.0,364980.0,308030.0
1970-01-01 00:00:00.000000133,AAPL,Apple Inc.,2025-09-27,10-K,2025-10-31,35934.0,90678000000.0,112010.0,133050.0,,416161000000.0,14773260000.0,73733.0,359241.0,285508.0
