,ticker,company,end_date,form,filed,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
46,ARES,ARES MANAGEMENT CORPORATION,2019-03-31,10-K,2020-02-28,44949000.0,,477197000.0,,,,
43,ARES,ARES MANAGEMENT CORPORATION,2018-12-31,10-K,2019-02-26,11937000.0,1218239000.0,247432000.0,101595096.0,587924000.0,10154692000.0,8760351000.0
44,ARES,ARES MANAGEMENT CORPORATION,2018-12-31,10-K,2020-02-28,11937000.0,1218239000.0,247432000.0,101595096.0,587924000.0,10154692000.0,8760351000.0
45,ARES,ARES MANAGEMENT CORPORATION,2018-12-31,10-K,2021-02-25,57020000.0,1218239000.0,958461000.0,,,,
41,ARES,ARES MANAGEMENT CORPORATION,2018-09-30,10-K,2019-02-26,15910000.0,,240777000.0,,,,
42,ARES,ARES MANAGEMENT CORPORATION,2018-09-30,10-K,2020-02-28,15910000.0,,240777000.0,,,,
39,ARES,ARES MANAGEMENT CORPORATION,2018-06-30,10-K,2019-02-26,-11775000.0,,204163000.0,,,,
40,ARES,ARES MANAGEMENT CORPORATION,2018-06-30,10-K,2020-02-28,-11775000.0,,204163000.0,,,,
37,ARES,ARES MANAGEMENT CORPORATION,2018-03-31,10-K,2019-02-26,40948000.0,,266089000.0,,,,
38,ARES,ARES MANAGEMENT CORPORATION,2018-03-31,10-K,2020-02-28,40948000.0,,266089000.0,,,,
34,ARES,ARES MANAGEMENT CORPORATION,2017-12-31,10-K,2018-03-01,39596000.0,356281000.0,,,274857000.0,8563522000.0,7103230000.0
35,ARES,ARES MANAGEMENT CORPORATION,2017-12-31,10-K,2019-02-26,39596000.0,1085043000.0,375100000.0,0.0,573618000.0,8563522000.0,7103230000.0
36,ARES,ARES MANAGEMENT CORPORATION,2017-12-31,10-K,2020-02-28,76178000.0,1085043000.0,1479943000.0,,1460292000.0,8563522000.0,7103230000.0
32,ARES,ARES MANAGEMENT CORPORATION,2017-09-30,10-K,2018-03-01,27838000.0,283671000.0,,,,,
33,ARES,ARES MANAGEMENT CORPORATION,2017-09-30,10-K,2019-02-26,27838000.0,,288402000.0,,,,
30,ARES,ARES MANAGEMENT CORPORATION,2017-06-30,10-K,2018-03-01,49878000.0,533890000.0,,,,,
31,ARES,ARES MANAGEMENT CORPORATION,2017-06-30,10-K,2019-02-26,49878000.0,,572197000.0,,,,
28,ARES,ARES MANAGEMENT CORPORATION,2017-03-31,10-K,2018-03-01,-41134000.0,241657000.0,,,,,
29,ARES,ARES MANAGEMENT CORPORATION,2017-03-31,10-K,2019-02-26,-41134000.0,,244244000.0,,,,
25,ARES,ARES MANAGEMENT CORPORATION,2016-12-31,10-K,2017-02-27,34019000.0,358195000.0,,,292851000.0,5829712000.0,4452450000.0
26,ARES,ARES MANAGEMENT CORPORATION,2016-12-31,10-K,2018-03-01,34019000.0,358195000.0,,,292851000.0,5829712000.0,4452450000.0
27,ARES,ARES MANAGEMENT CORPORATION,2016-12-31,10-K,2019-02-26,111808000.0,964800000.0,,,,5829712000.0,
23,ARES,ARES MANAGEMENT CORPORATION,2016-09-30,10-K,2017-02-27,43305000.0,335460000.0,,,,,
24,ARES,ARES MANAGEMENT CORPORATION,2016-09-30,10-K,2018-03-01,43305000.0,335460000.0,,,,,
21,ARES,ARES MANAGEMENT CORPORATION,2016-06-30,10-K,2017-02-27,37574000.0,369535000.0,,,,,
22,ARES,ARES MANAGEMENT CORPORATION,2016-06-30,10-K,2018-03-01,37574000.0,369535000.0,,,,,
19,ARES,ARES MANAGEMENT CORPORATION,2016-03-31,10-K,2017-02-27,-3090000.0,136015000.0,,,,,
20,ARES,ARES MANAGEMENT CORPORATION,2016-03-31,10-K,2018-03-01,-3090000.0,136015000.0,,,,,
16,ARES,ARES MANAGEMENT CORPORATION,2015-12-31,10-K,2016-02-29,185000.0,159519000.0,,,246917000.0,4321408000.0,3329497000.0
17,ARES,ARES MANAGEMENT CORPORATION,2015-12-31,10-K,2017-02-27,185000.0,159519000.0,,,246918000.0,4321408000.0,3329497000.0
18,ARES,ARES MANAGEMENT CORPORATION,2015-12-31,10-K,2018-03-01,19378000.0,814442000.0,,,,4321408000.0,
14,ARES,ARES MANAGEMENT CORPORATION,2015-09-30,10-K,2016-02-29,-11349000.0,143854000.0,,,,,
15,ARES,ARES MANAGEMENT CORPORATION,2015-09-30,10-K,2017-02-27,-11349000.0,143854000.0,,,,,
12,ARES,ARES MANAGEMENT CORPORATION,2015-06-30,10-K,2016-02-29,12086000.0,241164000.0,,,,,
13,ARES,ARES MANAGEMENT CORPORATION,2015-06-30,10-K,2017-02-27,12086000.0,241164000.0,,,,,
10,ARES,ARES MANAGEMENT CORPORATION,2015-03-31,10-K,2016-02-29,18456000.0,269905000.0,,,,,
11,ARES,ARES MANAGEMENT CORPORATION,2015-03-31,10-K,2017-02-27,18456000.0,269905000.0,,,,,
7,ARES,ARES MANAGEMENT CORPORATION,2014-12-31,10-K,2015-03-20,3175000.0,163482000.0,,,283639000.0,21641253000.0,14881880000.0
8,ARES,ARES MANAGEMENT CORPORATION,2014-12-31,10-K,2016-02-29,3175000.0,163482000.0,,,283639000.0,21638992000.0,14879619000.0
9,ARES,ARES MANAGEMENT CORPORATION,2014-12-31,10-K,2017-02-27,34988000.0,603889000.0,,,,21638992000.0,
5,ARES,ARES MANAGEMENT CORPORATION,2014-09-30,10-K,2015-03-20,13971000.0,175161000.0,,,,,
6,ARES,ARES MANAGEMENT CORPORATION,2014-09-30,10-K,2016-02-29,13971000.0,175161000.0,,,,,
3,ARES,ARES MANAGEMENT CORPORATION,2014-06-30,10-K,2015-03-20,17842000.0,131618000.0,,,,,
4,ARES,ARES MANAGEMENT CORPORATION,2014-06-30,10-K,2016-02-29,17842000.0,131618000.0,,,,,
1,ARES,ARES MANAGEMENT CORPORATION,2013-12-31,10-K,2015-03-20,,478655000.0,,,,23705384000.0,16030319000.0
2,ARES,ARES MANAGEMENT CORPORATION,2013-12-31,10-K,2016-02-29,,478655000.0,,,,23705384000.0,
0,ARES,ARES MANAGEMENT CORPORATION,2012-12-31,10-K,2015-03-20,,334046000.0,,,,24495877000.0,
