,ticker,company,end_date,form,filed,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
66,ARES,ARES MANAGEMENT CORPORATION,2025-12-31,10-K,2026-02-25,527362000.0,4755618000.0,5601482000.0,,4275463000.0,28633369000.0,19931981000.0
64,ARES,ARES MANAGEMENT CORPORATION,2024-12-31,10-K,2025-02-27,463742000.0,3690668000.0,3884781000.0,313170171.0,3543646000.0,24884308000.0,17485922000.0
65,ARES,ARES MANAGEMENT CORPORATION,2024-12-31,10-K,2026-02-25,463742000.0,3690668000.0,3884781000.0,,3543646000.0,24884308000.0,17485922000.0
61,ARES,ARES MANAGEMENT CORPORATION,2023-12-31,10-K,2024-02-27,474326000.0,3236285000.0,3631884000.0,307585576.0,1893399000.0,24730500000.0,19709151000.0
62,ARES,ARES MANAGEMENT CORPORATION,2023-12-31,10-K,2025-02-27,474326000.0,3236285000.0,3631884000.0,307585576.0,1893399000.0,24730500000.0,19709151000.0
63,ARES,ARES MANAGEMENT CORPORATION,2023-12-31,10-K,2026-02-25,474326000.0,3236285000.0,3631884000.0,,,,
58,ARES,ARES MANAGEMENT CORPORATION,2022-12-31,10-K,2023-02-24,167541000.0,2880007000.0,3055443000.0,294614235.0,1589239000.0,22002839000.0,17097810000.0
59,ARES,ARES MANAGEMENT CORPORATION,2022-12-31,10-K,2024-02-27,167541000.0,2880007000.0,3055443000.0,294614235.0,1589239000.0,22002839000.0,17097810000.0
60,ARES,ARES MANAGEMENT CORPORATION,2022-12-31,10-K,2025-02-27,167541000.0,2880007000.0,3055443000.0,,,,
55,ARES,ARES MANAGEMENT CORPORATION,2021-12-31,10-K,2022-02-28,408837000.0,2288876000.0,4212091000.0,290451548.0,1825227000.0,21605164000.0,16694730000.0
56,ARES,ARES MANAGEMENT CORPORATION,2021-12-31,10-K,2023-02-24,408837000.0,2288876000.0,4212091000.0,290451548.0,1825227000.0,21605164000.0,16694730000.0
57,ARES,ARES MANAGEMENT CORPORATION,2021-12-31,10-K,2024-02-27,408837000.0,2288876000.0,4212091000.0,,,,
52,ARES,ARES MANAGEMENT CORPORATION,2020-12-31,10-K,2021-02-25,152142000.0,1753729000.0,1764046000.0,259631180.0,1193685000.0,15168992000.0,12596852000.0
53,ARES,ARES MANAGEMENT CORPORATION,2020-12-31,10-K,2022-02-28,152142000.0,1753729000.0,1764046000.0,259631180.0,1193685000.0,15168992000.0,12596852000.0
54,ARES,ARES MANAGEMENT CORPORATION,2020-12-31,10-K,2023-02-24,152142000.0,1753729000.0,1764046000.0,,,,
49,ARES,ARES MANAGEMENT CORPORATION,2019-12-31,10-K,2020-02-28,38465000.0,1433126000.0,436929000.0,115243029.0,768290000.0,12014196000.0,10155598000.0
50,ARES,ARES MANAGEMENT CORPORATION,2019-12-31,10-K,2021-02-25,148884000.0,1433126000.0,1765438000.0,115243029.0,768290000.0,12014196000.0,10155598000.0
51,ARES,ARES MANAGEMENT CORPORATION,2019-12-31,10-K,2022-02-28,148884000.0,1433126000.0,1765438000.0,,,,
48,ARES,ARES MANAGEMENT CORPORATION,2019-09-30,10-K,2020-02-28,33331000.0,,466490000.0,,,,
47,ARES,ARES MANAGEMENT CORPORATION,2019-06-30,10-K,2020-02-28,32139000.0,,384822000.0,,,,
