,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
117,LNT,ALLIANT ENERGY CORP,2025-12-31,10-K,2026-02-20,556000000.0,,810000000.0,1025000000.0,4362000000.0,4362000000.0,257137261.0,7334000000.0,24991000000.0
115,LNT,ALLIANT ENERGY CORP,2024-12-31,10-K,2025-02-21,81000000.0,,690000000.0,886000000.0,3981000000.0,3981000000.0,256690222.0,7004000000.0,22714000000.0
116,LNT,ALLIANT ENERGY CORP,2024-12-31,10-K,2026-02-20,81000000.0,,690000000.0,886000000.0,3981000000.0,3981000000.0,256690222.0,7004000000.0,22714000000.0
112,LNT,ALLIANT ENERGY CORP,2023-12-31,10-K,2024-02-16,62000000.0,,703000000.0,943000000.0,4027000000.0,4027000000.0,256096848.0,6777000000.0,21237000000.0
113,LNT,ALLIANT ENERGY CORP,2023-12-31,10-K,2025-02-21,62000000.0,,703000000.0,943000000.0,4027000000.0,4027000000.0,256096848.0,6777000000.0,21237000000.0
114,LNT,ALLIANT ENERGY CORP,2023-12-31,10-K,2026-02-20,,,703000000.0,943000000.0,4027000000.0,4027000000.0,256096848.0,,21237000000.0
108,LNT,ALLIANT ENERGY CORP,2022-12-31,10-K,2023-02-24,20000000.0,,686000000.0,928000000.0,4205000000.0,4205000000.0,251134966.0,6276000000.0,20163000000.0
109,LNT,ALLIANT ENERGY CORP,2022-12-31,10-K,2024-02-16,20000000.0,,686000000.0,928000000.0,4205000000.0,4205000000.0,251134966.0,6276000000.0,20163000000.0
110,LNT,ALLIANT ENERGY CORP,2022-12-31,10-K,2025-02-21,,,686000000.0,928000000.0,4205000000.0,4205000000.0,251134966.0,,20163000000.0
111,LNT,ALLIANT ENERGY CORP,2022-12-31,10-K,2026-02-20,,,,,,,251134966.0,,
104,LNT,ALLIANT ENERGY CORP,2021-12-31,10-K,2022-02-18,39000000.0,,674000000.0,795000000.0,3669000000.0,3669000000.0,250474529.0,5990000000.0,18553000000.0
105,LNT,ALLIANT ENERGY CORP,2021-12-31,10-K,2023-02-24,39000000.0,,674000000.0,795000000.0,3669000000.0,3669000000.0,250474529.0,5990000000.0,18553000000.0
106,LNT,ALLIANT ENERGY CORP,2021-12-31,10-K,2024-02-16,,,674000000.0,795000000.0,3669000000.0,3669000000.0,250474529.0,,18553000000.0
107,LNT,ALLIANT ENERGY CORP,2021-12-31,10-K,2025-02-21,,,,,,,250474529.0,,
100,LNT,ALLIANT ENERGY CORP,2020-12-31,10-K,2021-02-19,54000000.0,,624000000.0,740000000.0,3416000000.0,3416000000.0,249868415.0,5688000000.0,17710000000.0
101,LNT,ALLIANT ENERGY CORP,2020-12-31,10-K,2022-02-18,54000000.0,,624000000.0,740000000.0,3416000000.0,3416000000.0,249868415.0,5688000000.0,17710000000.0
102,LNT,ALLIANT ENERGY CORP,2020-12-31,10-K,2023-02-24,,,624000000.0,740000000.0,3416000000.0,3416000000.0,249868415.0,,17710000000.0
103,LNT,ALLIANT ENERGY CORP,2020-12-31,10-K,2024-02-16,,,,,,,249868415.0,,
96,LNT,ALLIANT ENERGY CORP,2019-12-31,10-K,2020-02-21,16300000.0,,567400000.0,160900000.0,880100000.0,3647700000.0,245022800.0,5205100000.0,16700700000.0
97,LNT,ALLIANT ENERGY CORP,2019-12-31,10-K,2021-02-19,16000000.0,,567000000.0,778000000.0,3648000000.0,3648000000.0,245022800.0,5205000000.0,16701000000.0
98,LNT,ALLIANT ENERGY CORP,2019-12-31,10-K,2022-02-18,,,567000000.0,778000000.0,3648000000.0,3648000000.0,245022800.0,,16701000000.0
99,LNT,ALLIANT ENERGY CORP,2019-12-31,10-K,2023-02-24,,,,,,,245022800.0,,
95,LNT,ALLIANT ENERGY CORP,2019-09-30,10-K,2020-02-21,,,,290200000.0,990200000.0,,,,
