,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
107,CPT,CAMDEN PROPERTY TRUST,2025-12-31,10-K,2026-02-12,25203000.0,3900800000.0,384462000.0,12967000.0,104300000.0,4362523000.0,9042989000.0,4604736000.0
105,CPT,CAMDEN PROPERTY TRUST,2024-12-31,10-K,2025-02-20,21045000.0,3485600000.0,163293000.0,7137000.0,106700000.0,4675198000.0,8852144000.0,4104955000.0
106,CPT,CAMDEN PROPERTY TRUST,2024-12-31,10-K,2026-02-12,21045000.0,,163293000.0,7137000.0,,4675198000.0,8852144000.0,4104955000.0
102,CPT,CAMDEN PROPERTY TRUST,2023-12-31,10-K,2024-02-22,259686000.0,3715400000.0,403309000.0,3451000.0,106800000.0,4980757000.0,9383737000.0,4331966000.0
103,CPT,CAMDEN PROPERTY TRUST,2023-12-31,10-K,2025-02-20,259686000.0,,403309000.0,3451000.0,,4980757000.0,9383737000.0,4331966000.0
104,CPT,CAMDEN PROPERTY TRUST,2023-12-31,10-K,2026-02-12,259686000.0,,403309000.0,3451000.0,,,,
99,CPT,CAMDEN PROPERTY TRUST,2022-12-31,10-K,2023-02-23,10687000.0,3680900000.0,653613000.0,5188000.0,106500000.0,4986620000.0,9327935000.0,4271014000.0
100,CPT,CAMDEN PROPERTY TRUST,2022-12-31,10-K,2024-02-22,10687000.0,,653613000.0,5188000.0,,4986620000.0,9327935000.0,4271014000.0
101,CPT,CAMDEN PROPERTY TRUST,2022-12-31,10-K,2025-02-20,10687000.0,,653613000.0,5188000.0,,,,
96,CPT,CAMDEN PROPERTY TRUST,2021-12-31,10-K,2022-02-17,613391000.0,3170400000.0,303907000.0,10532000.0,103300000.0,4197490000.0,7976784000.0,3710529000.0
97,CPT,CAMDEN PROPERTY TRUST,2021-12-31,10-K,2023-02-23,613391000.0,,303907000.0,10532000.0,,4197490000.0,7976784000.0,3710529000.0
98,CPT,CAMDEN PROPERTY TRUST,2021-12-31,10-K,2024-02-22,613391000.0,,303907000.0,10532000.0,,,,
93,CPT,CAMDEN PROPERTY TRUST,2020-12-31,10-K,2021-02-18,420441000.0,3166600000.0,123911000.0,10800000.0,97400000.0,3444905000.0,7198952000.0,3682365000.0
94,CPT,CAMDEN PROPERTY TRUST,2020-12-31,10-K,2022-02-17,420441000.0,,123911000.0,10800000.0,,3444905000.0,7198952000.0,3682365000.0
95,CPT,CAMDEN PROPERTY TRUST,2020-12-31,10-K,2023-02-23,420441000.0,,123911000.0,10800000.0,,,,
90,CPT,CAMDEN PROPERTY TRUST,2019-12-31,10-K,2020-02-20,23184000.0,2524100000.0,95014000.0,8696000.0,97200000.0,3628685000.0,6748504000.0,3046780000.0
91,CPT,CAMDEN PROPERTY TRUST,2019-12-31,10-K,2021-02-18,23184000.0,,219623000.0,8696000.0,,3628685000.0,6748504000.0,3046780000.0
92,CPT,CAMDEN PROPERTY TRUST,2019-12-31,10-K,2022-02-17,23184000.0,,219623000.0,8696000.0,,,,
89,CPT,CAMDEN PROPERTY TRUST,2019-09-30,10-K,2020-02-20,,,43597000.0,,,,,
88,CPT,CAMDEN PROPERTY TRUST,2019-06-30,10-K,2020-02-20,,,42399000.0,,,,,
87,CPT,CAMDEN PROPERTY TRUST,2019-03-31,10-K,2020-02-20,,,38613000.0,,,,,
84,CPT,CAMDEN PROPERTY TRUST,2018-12-31,10-K,2019-02-15,34378000.0,2321600000.0,39196000.0,244919000.0,93200000.0,3311423000.0,6219586000.0,2781808000.0
85,CPT,CAMDEN PROPERTY TRUST,2018-12-31,10-K,2020-02-20,34378000.0,,39196000.0,7231000.0,,3311423000.0,6219586000.0,2781808000.0
86,CPT,CAMDEN PROPERTY TRUST,2018-12-31,10-K,2021-02-18,34378000.0,,156128000.0,7231000.0,,,,
82,CPT,CAMDEN PROPERTY TRUST,2018-09-30,10-K,2019-02-15,,,38866000.0,241770000.0,,,,
83,CPT,CAMDEN PROPERTY TRUST,2018-09-30,10-K,2020-02-20,,,38866000.0,,,,,
80,CPT,CAMDEN PROPERTY TRUST,2018-06-30,10-K,2019-02-15,,,38671000.0,237133000.0,,,,
81,CPT,CAMDEN PROPERTY TRUST,2018-06-30,10-K,2020-02-20,,,38671000.0,,,,,
78,CPT,CAMDEN PROPERTY TRUST,2018-03-31,10-K,2019-02-15,,,39395000.0,230683000.0,,,,
79,CPT,CAMDEN PROPERTY TRUST,2018-03-31,10-K,2020-02-20,,,39395000.0,,,,,
75,CPT,CAMDEN PROPERTY TRUST,2017-12-31,10-K,2018-02-16,368492000.0,2204600000.0,87989000.0,,92700000.0,3405363000.0,6173748000.0,2611804000.0
76,CPT,CAMDEN PROPERTY TRUST,2017-12-31,10-K,2019-02-15,368492000.0,,87989000.0,229827000.0,,3405363000.0,6173748000.0,2611804000.0
77,CPT,CAMDEN PROPERTY TRUST,2017-12-31,10-K,2020-02-20,368492000.0,,196422000.0,8176000.0,,,,
73,CPT,CAMDEN PROPERTY TRUST,2017-09-30,10-K,2018-02-16,,,34384000.0,,,,,
74,CPT,CAMDEN PROPERTY TRUST,2017-09-30,10-K,2019-02-15,,,34384000.0,228178000.0,,,,
71,CPT,CAMDEN PROPERTY TRUST,2017-06-30,10-K,2018-02-16,,,39188000.0,,,,,
72,CPT,CAMDEN PROPERTY TRUST,2017-06-30,10-K,2019-02-15,,,39188000.0,223370000.0,,,,
69,CPT,CAMDEN PROPERTY TRUST,2017-03-31,10-K,2018-02-16,,,34861000.0,,,,,
70,CPT,CAMDEN PROPERTY TRUST,2017-03-31,10-K,2019-02-15,,,34861000.0,219521000.0,,,,
66,CPT,CAMDEN PROPERTY TRUST,2016-12-31,10-K,2017-02-13,237364000.0,2480600000.0,40893000.0,,87500000.0,3014873000.0,6028152000.0,2855562000.0
67,CPT,CAMDEN PROPERTY TRUST,2016-12-31,10-K,2018-02-16,237364000.0,,40893000.0,,,3014873000.0,6028152000.0,2855562000.0
68,CPT,CAMDEN PROPERTY TRUST,2016-12-31,10-K,2019-02-15,237364000.0,,819823000.0,876447000.0,,,,
64,CPT,CAMDEN PROPERTY TRUST,2016-09-30,10-K,2017-02-13,,,290898000.0,,,,,
65,CPT,CAMDEN PROPERTY TRUST,2016-09-30,10-K,2018-02-16,,,290898000.0,,,,,
62,CPT,CAMDEN PROPERTY TRUST,2016-06-30,10-K,2017-02-13,,,446302000.0,,,,,
63,CPT,CAMDEN PROPERTY TRUST,2016-06-30,10-K,2018-02-16,,,446302000.0,,,,,
60,CPT,CAMDEN PROPERTY TRUST,2016-03-31,10-K,2017-02-13,,,41730000.0,,,,,
61,CPT,CAMDEN PROPERTY TRUST,2016-03-31,10-K,2018-02-16,,,41730000.0,,,,,
57,CPT,CAMDEN PROPERTY TRUST,2015-12-31,10-K,2016-02-19,10617000.0,2724700000.0,60593000.0,,86900000.0,2816557000.0,6037612000.0,3065352000.0
58,CPT,CAMDEN PROPERTY TRUST,2015-12-31,10-K,2017-02-13,10617000.0,,60593000.0,,,2816557000.0,6037612000.0,3065352000.0
59,CPT,CAMDEN PROPERTY TRUST,2015-12-31,10-K,2018-02-16,10617000.0,,249315000.0,,,,,
55,CPT,CAMDEN PROPERTY TRUST,2015-09-30,10-K,2016-02-19,,,37044000.0,,,,,
56,CPT,CAMDEN PROPERTY TRUST,2015-09-30,10-K,2017-02-13,,,37044000.0,,,,,
53,CPT,CAMDEN PROPERTY TRUST,2015-06-30,10-K,2016-02-19,,,36079000.0,,,,,
54,CPT,CAMDEN PROPERTY TRUST,2015-06-30,10-K,2017-02-13,,,36079000.0,,,,,
51,CPT,CAMDEN PROPERTY TRUST,2015-03-31,10-K,2016-02-19,,,115599000.0,,,,,
52,CPT,CAMDEN PROPERTY TRUST,2015-03-31,10-K,2017-02-13,,,115599000.0,,,,,
